code;type;discipline;class;result;sex
DMU23;GER;100;MU23;10,90;M
DMU23;GER;200;MU23;22,20;M
DMU23;GER;400;MU23;49,50;M
DMU23;GER;800;MU23;1:54,00;M
DMU23;GER;1K5;MU23;3:57,50;M
DMU23;GER;5K0;MU23;15:00,00;M
DMU23;GER;11H;MU23;15,50;M
DMU23;GER;40H;MU23;55,80;M
DMU23;GER;3KH;MU23;9:50,00;M
DMU23;GER;4X1;MU23;43,20;M
DMU23;GER;HOC;MU23;1,98;M
DMU23;GER;STA;MU23;4,90;M
DMU23;GER;WEI;MU23;7,20;M
DMU23;GER;DRE;MU23;14,00;M
DMU23;GER;KUG;MU23;14,50;M
DMU23;GER;DIS;MU23;46,00;M
DMU23;GER;HAM;MU23;51,00;M
DMU23;GER;SPE;MU23;61,50;M
DMU23;GER;100;WU23;12,10;W
DMU23;GER;200;WU23;25,10;W
DMU23;GER;400;WU23;58,00;W
DMU23;GER;800;WU23;2:16,50;W
DMU23;GER;1K5;WU23;4:48,00;W
DMU23;GER;5K0;WU23;18:20,00;W
DMU23;GER;10H;WU23;14,80;W
DMU23;GER;40H;WU23;64,50;W
DMU23;GER;3KH;WU23;12:00,00;W
DMU23;GER;4X1;WU23;49,00;W
DMU23;GER;HOC;WU23;1,72;W
DMU23;GER;STA;WU23;3,80;W
DMU23;GER;WEI;WU23;5,95;W
DMU23;GER;DRE;WU23;12,00;W
DMU23;GER;KUG;WU23;13,50;W
DMU23;GER;DIS;WU23;45,00;W
DMU23;GER;HAM;WU23;47,00;W
DMU23;GER;SPE;WU23;46,00;W
