code;type;discipline;class;result;sex
SDMU18;GER;100;MJU18;11,70;M
SDMU18;GER;200;MJU18;23,40;M
SDMU18;GER;400;MJU18;53,00;M
SDMU18;GER;800;MJU18;2:04,00;M
SDMU18;GER;1K5;MJU18;4:25,00;M
SDMU18;GER;3K0;MJU18;9:50,00;M
SDMU18;GER;11H;MJU18;16,00;M
SDMU18;GER;40H;MJU18;61,00;M
SDMU18;GER;4X1;MJU18;49,00;M
SDMU18;GER;HOC;MJU18;1,80;M
SDMU18;GER;STA;MJU18;3,70;M
SDMU18;GER;WEI;MJU18;6,40;M
SDMU18;GER;DRE;MJU18;11,80;M
SDMU18;GER;KUG;MJU18;13,00;M
SDMU18;GER;DIS;MJU18;40,00;M
SDMU18;GER;HAM;MJU18;42,00;M
SDMU18;GER;SPE;MJU18;50,00;M
SDMU18;GER;100;WJU18;13,00;W
SDMU18;GER;200;WJU18;26,40;W
SDMU18;GER;400;WJU18;61,50;W
SDMU18;GER;800;WJU18;2:25,00;W
SDMU18;GER;1K5;WJU18;5:10,00;W
SDMU18;GER;3K0;WJU18;12:00,00;W
SDMU18;GER;10H;WJU18;16,00;W
SDMU18;GER;40H;WJU18;68,00;W
SDMU18;GER;4X1;WJU18;51,50;W
SDMU18;GER;HOC;WJU18;1,62;W
SDMU18;GER;STA;WJU18;3,30;W
SDMU18;GER;WEI;WJU18;5,35;W
SDMU18;GER;DRE;WJU18;10,30;W
SDMU18;GER;KUG;WJU18;12,30;W
SDMU18;GER;DIS;WJU18;34,00;W
SDMU18;GER;HAM;WJU18;39,00;W
SDMU18;GER;SPE;WJU18;38,00;W
