code;type;discipline;class;result;sex
SDMU20;GER;100;MJU20;11,50;M
SDMU20;GER;200;MJU20;23,20;M
SDMU20;GER;400;MJU20;52,00;M
SDMU20;GER;800;MJU20;2:02,20;M
SDMU20;GER;1K5;MJU20;4:20,00;M
SDMU20;GER;3K0;MJU20;9:30,00;M
SDMU20;GER;11H;MJU20;16,40;M
SDMU20;GER;40H;MJU20;60,00;M
SDMU20;GER;4X1;MJU20;47,00;M
SDMU20;GER;HOC;MJU20;1,85;M
SDMU20;GER;STA;MJU20;3,90;M
SDMU20;GER;WEI;MJU20;6,50;M
SDMU20;GER;DRE;MJU20;12,20;M
SDMU20;GER;KUG;MJU20;12,80;M
SDMU20;GER;DIS;MJU20;38,00;M
SDMU20;GER;HAM;MJU20;38,00;M
SDMU20;GER;SPE;MJU20;48,00;M
SDMU20;GER;100;WJU20;12,80;W
SDMU20;GER;200;WJU20;26,40;W
SDMU20;GER;400;WJU20;61,30;W
SDMU20;GER;800;WJU20;2:24,00;W
SDMU20;GER;1K5;WJU20;5:08,00;W
SDMU20;GER;3K0;WJU20;11:30,00;W
SDMU20;GER;10H;WJU20;16,20;W
SDMU20;GER;40H;WJU20;68,50;W
SDMU20;GER;4X1;WJU20;51,00;W
SDMU20;GER;HOC;WJU20;1,62;W
SDMU20;GER;STA;WJU20;3,30;W
SDMU20;GER;WEI;WJU20;5,50;W
SDMU20;GER;DRE;WJU20;10,50;W
SDMU20;GER;KUG;WJU20;10,50;W
SDMU20;GER;DIS;WJU20;33,00;W
SDMU20;GER;HAM;WJU20;33,00;W
SDMU20;GER;SPE;WJU20;35,00;W
