code;type;discipline;class;result;sex
EMU20;GER;100;MJU18;10,85;M
EMU20;GER;200;MJU18;22,10;M
EMU20;GER;400;MJU18;49,40;M
EMU20;GER;800;MJU18;1:54,20;M
EMU20;GER;1K5;MJU18;3:55,00;M
EMU20;GER;3K0;MJU18;8:24,00;M
EMU20;GER;11H;MJU18;14,25;M
EMU20;GER;40H;MJU18;55,00;M
EMU20;GER;2KH;MJU18;6:00,00;M
EMU20;GER;HOC;MJU18;2,01;M
EMU20;GER;STA;MJU18;4,60;M
EMU20;GER;WEI;MJU18;7,00;M
EMU20;GER;DRE;MJU18;14,10;M
EMU20;GER;KUG;MJU18;16,80;M
EMU20;GER;DIS;MJU18;52,50;M
EMU20;GER;HAM;MJU18;63,00;M
EMU20;GER;SPE;MJU18;62,00;M
EMU20;GER;10-K;MJU18;6700;M
EMU20;GER;100;WJU18;12,05;W
EMU20;GER;200;WJU18;25,00;W
EMU20;GER;400;WJU18;57,00;W
EMU20;GER;800;WJU18;2:12,80;W
EMU20;GER;1K5;WJU18;4:30,00;W
EMU20;GER;3K0;WJU18;9:44,00;W
EMU20;GER;10H;WJU18;14,05;W
EMU20;GER;40H;WJU18;62,30;W
EMU20;GER;2KH;WJU18;7:00,00;W
EMU20;GER;HOC;WJU18;1,74;W
EMU20;GER;STA;WJU18;3,65;W
EMU20;GER;WEI;WJU18;5,90;W
EMU20;GER;DRE;WJU18;12,20;W
EMU20;GER;KUG;WJU18;14,40;W
EMU20;GER;DIS;WJU18;40,50;W
EMU20;GER;HAM;WJU18;58,00;W
EMU20;GER;SPE;WJU18;46,00;W
EMU20;GER;7-K;WJU18;5350;W
