result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
42.03,AND,Andorra,AND,2021-05-22,Duna Viñals,2006,Female,300,NR
36.34,AUS,Campbelltown,AUS,2003-02-15,Jana Rawlinson,1982,Female,300,NR
34.41,BAH,Ostrava,CZE,2019-06-20,Shaunae Miller-Uibo,1994,Female,300,NR
36.47,BEL,Kessel-Lo,BEL,2022-08-06,Cynthia Bolingo Mbongo,1993,Female,300,NR
35.82,CAY,Sydney,AUS,2000-09-14,Cydonie Mothersill,1978,Female,300,NR
36.10,CHA,Gateshead,GBR,2001-08-19,Kaltouma Nadjina,1976,Female,300,NR
37.18,FIJ,Brisbane,AUS,2004-06-06,Makelesi Batimala,1977,Female,300,NR
35.46,GBR,London,GBR,1984-08-18,Kathy Cook,1960,Female,300,NR
37.43,HUN,Ciudad de México,MEX,2003-05-03,Barbara Petráhn,1978,Female,300,NR
37.07,IRL,Brasschaat,BEL,2001-08-15,Karen Shinkins,1976,Female,300,NR
36.30,ITA,Viareggio,ITA,2000-08-22,Manuela Levorato,1977,Female,300,NR
37.80,JPN,Izumo,JPN,2009-04-19,Satomi Kubokura,1982,Female,300,NR
38.19,POR,Viseu,POR,2001-05-01,Maria Carmo Tavares,1974,Female,300,NR
36.20,ROU,Ciudad de México,MEX,2003-05-03,Ionela Tîrlea,1976,Female,300,NR
36.77,SLO,Domžale,SLO,2017-08-30,Agata Zupin,1998,Female,300,NR
38.82,SUD,Ljubljana,SLO,2004-08-10,Mona Jabir Ahmed,1987,Female,300,NR
41.12,SWE,Uddevalla,SWE,2021-08-09,Paulina Orell Sahlberg,1981,Female,300,NR
38.65,TUN,Jablonec,CZE,2002-06-11,Aoutef Benhassine,1980,Female,300,NR
36.87,TUR,Istanbul,TUR,2002-05-05,Nora Ivanova-Edletzberger,1977,Female,300,NR
35.46,USA,London,GBR,1984-08-18,Chandra Cheeseborough,1959,Female,300,NR
38.64,VIE,Pliezhausen,GER,2011-05-22,Vu Thi Huong,1986,Female,300,NR
