result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
1.40,AFG,Finnfjordbotn,NOR,2001-07-23,Jasmin Shams,,Female,PV,NR
2.60,ALB,Pátra,GRE,2010-05-08,Alma Dhespollari,1976,Female,PV,NR
3.70,ALG,Alger,ALG,2006-07-24,Sonia Halliche,1988,Female,PV,NR
3.70,ALG,Franconville,FRA,2000-05-07,Linda Méziani,1979,Female,PV,NR
2.90,AND,El Prat de Llobregat,ESP,2008-05-18,Maria Martinez,1985,Female,PV,NR
3.60,ANG,Vagos,POR,2015-06-14,Lidia Alberto,1993,Female,PV,NR
4.43,ARG,Santa Fé,ARG,2004-04-03,Alejandra García,1973,Female,PV,NR
4.90,AUS,Budapest,HUN,2023-08-23,Nina Kennedy,1997,Female,PV,NR
4.45,AUT,Zürich,SUI,2014-08-12,Kira Grünberg,1993,Female,PV,NR
3.80,AZE,Baku,AZE,2014-06-01,Yelena Gladkova,1998,Female,PV,NR
2.85,BAH,Mayaguez,PUR,2023-08-06,Anaiah Rolle,,Female,PV,NR
3.70,BDI,Feyzin,FRA,2007-06-29,Laetitia Berthier,1977,Female,PV,NR
4.51,BEL,Leuven,BEL,2019-08-24,Fanny Smets,1986,Female,PV,NR
2.90,BIH,Zenica,BIH,2023-07-08,Neira Hadžiahmetagic,1999,Female,PV,NR
2.63,BIZ,Tallahassee FL,USA,2011-03-12,Stephaun Martínez,,Female,PV,NR
4.75,BLR,Brest,BLR,2023-07-01,Iryna Zhuk,1993,Female,PV,NR
2.55,BOL,Cochabamba,BOL,2006-05-14,María del Carmen Paredes,1981,Female,PV,NR
4.87,BRA,São Bernardo do Campo,BRA,2016-07-03,Fabiana Murer,1981,Female,PV,NR
4.45,BUL,Velenje,SLO,2003-06-21,Tania Stefanova,1972,Female,PV,NR
2.80,BUR,Aix-en-Provence,FRA,2008-05-18,Lynda Ouedraogo,,Female,PV,NR
2.00,CAF,Marseille,FRA,2006-05-25,Chancela Moundo,,Female,PV,NR
2.81,CAM,Forbach,FRA,2007-06-27,Helene Kong,1993,Female,PV,NR
4.82,CAN,Paris,FRA,2019-08-24,Alysha Newman,1994,Female,PV,NR
2.40,CGO,Brazzaville,CGO,2004-07-15,Carine Golom Mbeh,,Female,PV,NR
1.80,CHA,Saint-Jean-de-Luz,FRA,2003-01-05,Amina Mahamat,,Female,PV,NR
4.30,CHI,Santo Domingo,DOM,2003-08-09,Carolina Torres,1979,Female,PV,NR
4.72,CHN,Shanghai,CHN,2019-05-18,Li Ling,1989,Female,PV,NR
3.80,CIV,Aulnay-sous-Bois,FRA,2014-07-09,Alima Ouattara,1988,Female,PV,NR
2.60,CMR,Bourg-en-Bresse,FRA,2013-06-16,Manuella Cancade,1999,Female,PV,NR
2.52,COD,Huizingen,BEL,2014-06-28,Prisca Kizito,,Female,PV,NR
4.30,COL,Guayaquil,ECU,2021-05-29,Stefany Castillo,1997,Female,PV,NR
2.40,CPV,Fatimá,POR,2014-01-06,Kidline Gomes,,Female,PV,NR
3.75,CRC,San Salvador,ESA,2023-07-07,Vielka Paola Arias,2003,Female,PV,NR
4.26,CRO,Karlovac,CRO,2021-06-05,Elija Valentić,1998,Female,PV,NR
4.91,CUB,Beckum,GER,2015-08-02,Yarisley Silva,1987,Female,PV,NR
4.45,CYP,Pescara,ITA,2009-06-30,Marianna Zachariadou,1990,Female,PV,NR
4.76,CZE,Plzeň,CZE,2013-09-04,Jiřina Ptáčníková,1986,Female,PV,NR
4.55,DEN,München,GER,2022-08-17,Caroline Bonde Holm,1990,Female,PV,NR
3.95,DOM,Getafe,ESP,2021-06-26,Mariely Mota,1996,Female,PV,NR
3.90,ECU,Concordia,ARG,2016-11-13,Ana Gabriela Quiñonez,1999,Female,PV,NR
4.10,EGY,Rabat,MAR,2019-08-27,Fatma Elbendary,1994,Female,PV,NR
4.00,ESA,Morelia,MEX,2022-06-03,Andrea Velasco,1997,Female,PV,NR
2.75,ETH,Addis Ababa,ETH,2024-02-04,Chaltu Etefa,,Female,PV,NR
3.81,FIJ,Clovis CA,USA,2018-06-02,Eseta Finau,,Female,PV,NR
4.85,FIN,München,GER,2022-08-17,Wilma Murto,1998,Female,PV,NR
4.75,FRA,Monaco,MON,2018-07-20,Ninon Chapelle,1995,Female,PV,NR
3.51,GAB,Aix-les-Bains,FRA,2023-06-24,Grace Matamba,1997,Female,PV,NR
1.50,GAM,Castellar del Vallés,ESP,2009-04-19,Hadja Sidibeh Jambo,,Female,PV,NR
4.90,GBR,Manchester,GBR,2021-06-26,Holly Bradshaw,1991,Female,PV,NR
2.55,GBS,Almada,POR,2003-06-15,Placida Mirolho,,Female,PV,NR
3.10,GEO,Tbilisi,GEO,2015-07-29,Diana Zolotukhina,2000,Female,PV,NR
4.82,GER,Monaco,MON,2012-07-20,Silke Spiegelburg,1986,Female,PV,NR
