result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
21:33.59,AFG,Terre Haute IN,USA,2019-04-26,Shabnam Fayyaz,,Female,5000,NR
21:50.07,AHO,Willemstad,AHO,2007-06-09,Jacqueline Hol,,Female,5000,NR
15:16.47,ALB,Craiova,ROU,2022-06-19,Luiza Gega,1988,Female,5000,NR
15:07.49,ALG,Saint-Denis,FRA,2006-07-08,Souad Aït Salem,1979,Female,5000,NR
17:19.43,AND,Igualada,ESP,2002-06-29,Silvia Felipo,1967,Female,5000,NR
16:02.0,ANG,Luanda,ANG,2008-03-08,Ernestina Paulino,1984,Female,5000,NR
16:56.42,ANT,Victoria,CAN,2000-08-11,Janill Williams,1985,Female,5000,NR
15:23.83,ARG,Manchester,GBR,2022-06-03,Florencia Borelli,1992,Female,5000,NR
17:18.12,ARM,Kyiv,URS,1990-09-15,Nune Avagyan,1972,Female,5000,NR
18:39.6,ARU,Middelburg,NED,1991-07-06,Cornelia Melis,1960,Female,5000,NR
21:07.8,ASA,Pago Pago,???,1991-01-05,Paula Stevenson,,Female,5000,NR
14:43.80,AUS,Monaco,MON,2020-08-14,Jessica Hull,1996,Female,5000,NR
15:10.54,AUT,London,GBR,2001-07-22,Susanne Pumper,1970,Female,5000,NR
15:29.47,AZE,Ostrava,CZE,2011-07-17,Layes Tsige,1991,Female,5000,NR
18:05.25,BAH,Bethlehem PA,USA,2012-04-28,Hughnique Rolle,1992,Female,5000,NR
19:41.40,BAN,Dhaka,BAN,2022-12-23,Rinki Biswas,,Female,5000,NR
18:40.00,BAR,New Orleans LA,USA,1998-04-17,Yvette Mayers,,Female,5000,NR
14:25.34,BDI,Bruxelles,BEL,2021-09-03,Francine Niyonsaba,1993,Female,5000,NR
15:10.24,BEL,London,GBR,2012-08-07,Almensch Belete,1989,Female,5000,NR
17:00.05,BEN,Bruxelles,BEL,2016-06-26,Kabirato Nassam Alassani,1987,Female,5000,NR
16:40.31,BER,Hamilton,CAN,2012-06-15,Ashley Estwanik,1977,Female,5000,NR
17:24.21,BHU,Kathmandu,NEP,2019-12-06,Goma Pradhan,,Female,5000,NR
15:53.45,BIH,Walnut CA,USA,1995-04-14,Mirsada Buric-Adam,1970,Female,5000,NR
19:40.28,BIZ,San José,GUA,2005-06-03,Melissa Henderson,1974,Female,5000,NR
14:47.75,BLR,Helsinki,FIN,2005-08-13,Volha Krautsova,1981,Female,5000,NR
16:13.14,BOL,Guayaquil,ECU,2021-05-30,Jhoselyn Jéssica Camargo,1996,Female,5000,NR
16:24.10,BOT,Durban,RSA,2009-02-06,Onneile Dintwe,1985,Female,5000,NR
15:18.85,BRA,São Paulo,BRA,2011-05-20,Simone da Silva,1984,Female,5000,NR
14:51.68,BRN,Hengelo,NED,2005-05-29,Maryam Jamal,1984,Female,5000,NR
23:51.32,BRU,Bandar Seri Begawan,BRU,2008-06-22,Safria Fahanina Yayan,,Female,5000,NR
14:56.95,BUL,Sydney,AUS,2000-09-25,Daniela Yordanova,1976,Female,5000,NR
17:11.31,BUR,Bobo-Dioulasso,BUR,2023-07-16,Samatou Tinde,1999,Female,5000,NR
17:48.09,CAF,Obernai,FRA,2000-01-07,Martine Bayo Hirchenhahn,,Female,5000,NR
20:02.90,CAM,Singapore,SGP,2016-07-14,Mey Jou Heng,,Female,5000,NR
14:44.12,CAN,Bruxelles,BEL,2019-09-06,Gabriela DeBues-Stafford,1995,Female,5000,NR
19:03.4,CAY,Visby,SWE,1999-06-30,Nicola Jordan,,Female,5000,NR
17:14.27,CGO,Brazzaville,CGO,2012-05-20,Jodelle Ossou Wakeyi,,Female,5000,NR
17:07.92,CHA,Yaoundé,CMR,2024-02-04,Hassanatte Fraida,1996,Female,5000,NR
15:51.45,CHI,Río de Janeiro,BRA,2000-05-20,Erika Olivera,1976,Female,5000,NR
14:28.09,CHN,Shanghai,CHN,1997-10-23,Jiang Bo,1977,Female,5000,NR
17:51.8,CIV,Bouaké,CIV,1995-03-06,Maferima Traore,,Female,5000,NR
16:31.08,CMR,Beyrouth,LBN,2009-05-10,Marie-Thérése Ngono Etoundi,,Female,5000,NR
16:32.2,COD,Kigali,RWA,2017-05-28,Ritha Tumaini Nzabava,2000,Female,5000,NR
20:57.39,COK,Middlegate,USA,2001-12-12,Serena Francis,,Female,5000,NR
15:26.18,COL,London,GBR,2017-08-10,Muriel Coneo,1987,Female,5000,NR
21:30.12,COM,Victoria2,SEY,2011-11-08,Frahati Ali,,Female,5000,NR
17:41.29,CPV,Mestre,ITA,2004-06-06,Sonia Lopes,1975,Female,5000,NR
17:15.20,CRC,Huelva,ESP,2004-08-07,Gabriela Traña,1980,Female,5000,NR
15:43.73,CRO,Regensburg,GER,2019-05-29,Bojana Bjeljac,1989,Female,5000,NR
15:54.18,CUB,La Habana,CUB,2023-10-20,Anisleidis Ochoa,2000,Female,5000,NR
16:09.90,CYP,Smederevo,SRB,2021-06-27,Meropi Panagiotou,1994,Female,5000,NR
15:31.15,CZE,Sligo,IRL,2016-06-23,Kristiina Sasínek Mäki,1991,Female,5000,NR
15:07.70,DEN,Gävle,SWE,2019-07-14,Anna Emilie Møller,1997,Female,5000,NR
15:21.76,DJI,Montesson,FRA,2023-06-10,Samia Hassan,1999,Female,5000,NR
16:22.28,DOM,Ponce,PUR,2014-04-12,Maria Mancebo,1993,Female,5000,NR
15:49.33,ECU,Lima,PER,2015-06-14,María Balvina Pastuña,1989,Female,5000,NR
17:04.15,EGY,El Maadi,EGY,2022-09-14,Shahd Mohamed Abdou,2005,Female,5000,NR
14:36.66,ERI,Eugene OR,USA,2022-05-27,Rahel Daniel,2001,Female,5000,NR
16:37.88,ESA,Des Moines IA,USA,2004-04-22,Elizabeth Zaragoza,1968,Female,5000,NR
14:44.95,ESP,Oslo,NOR,1996-07-05,Julia Vaquero,1970,Female,5000,NR
15:30.84,EST,Leningrad,URS,1985-08-01,Ille Kukk,1957,Female,5000,NR
14:00.21,ETH,Eugene OR,USA,2023-09-17,Gudaf Tsegay,1997,Female,5000,NR
18:22.6,FIJ,Suva,FIJ,1995-05-27,Salome Tabuatalei,,Female,5000,NR
14:56.22,FIN,Stockholm/S,SWE,1996-07-08,Annemari Kiekara,1977,Female,5000,NR
14:43.90,FRA,Bruxelles,BEL,2004-09-03,Margaret Maury,1974,Female,5000,NR
21:52.2,FSM,Susupe,NMI,1990-06-12,Monie Wesner,,Female,5000,NR
17:04.70,GAB,Saint-Maur,FRA,2000-12-07,Josiane Aboungono,1978,Female,5000,NR
19:00.0,GAM,Saint-Louis,SEN,2015-07-31,Mariama Jallow,1994,Female,5000,NR
14:28.55,GBR,Oslo,NOR,2021-07-01,Eilish McColgan,1990,Female,5000,NR
15:33.10,GEO,Carquefou,FRA,2019-06-21,Valeriya Zhandarova,1994,Female,5000,NR
19:07.4,GEQ,Malabo,GEQ,1998-07-02,Susana Esono Edu,,Female,5000,NR
14:26.76,GER,Berlin,GER,2019-08-03,Konstanze Klosterhalfen,1997,Female,5000,NR
16:31.8,GHA,Kumasi,GHA,1999-07-30,Millicent Boadi,1982,Female,5000,NR
18:03.98,GIB,St. Clement,GBR,2015-07-03,Kim Baglietto,1992,Female,5000,NR
15:04.03,GRE,Bruxelles,BEL,2006-08-25,María Protópappa,1973,Female,5000,NR
15:54.48,GUA,Andújar,ESP,2023-05-26,Viviana Aroche,1998,Female,5000,NR
21:58.24,GUI,Kumasi,GHA,2000-09-06,Kenssa Sylla,,Female,5000,NR
17:13.33,GUM,Palo Alto,USA,2002-03-30,Debbie Cardenas,1980,Female,5000,NR
17:42.52,GUY,Macomb MI,USA,2003-05-03,Abidemi Charles,1980,Female,5000,NR
22:34.28,HAI,San Salvador,ESA,2008-06-21,Mathilde Hilaire,,Female,5000,NR
15:45.87,HKG,Stanford CA,USA,2002-05-03,Chan-Ropper Man Yee,1975,Female,5000,NR
17:34.53,HON,San José3,CRC,2023-05-06,Yessica Carolina Espinal,1993,Female,5000,NR
15:02.00,HUN,Hengelo,NED,2002-06-02,Katalin Szentgyörgyi,1979,Female,5000,NR
15:54.32,INA,Nakhon Ratchasima,THA,2007-12-08,Triyaningsih,1987,Female,5000,NR
15:10.35,IND,Walnut CA,USA,2023-05-06,Parul Chaudhary,1995,Female,5000,NR
16:37.84,IRI,Tehran,IRI,2023-06-11,Parisa Arab,1992,Female,5000,NR
14:41.02,IRL,Sydney,AUS,2000-09-25,Sonia O'Sullivan,1969,Female,5000,NR
16:39.3,IRQ,Baghdad,IRQ,1994-05-06,Maysa Hussein Matrood,1977,Female,5000,NR
15:55.91,ISL,Hechtel,BEL,1994-07-30,Martha Ernstsdóttir,1964,Female,5000,NR
14:53.43,ISR,Tokyo,JPN,2021-07-30,Selamawit Teferi,1994,Female,5000,NR
17:31.37,ISV,Tampa FL,USA,1999-07-10,Jackie Morgan,,Female,5000,NR
14:41.30,ITA,London,GBR,2023-07-23,Nadia Battocletti,2000,Female,5000,NR
15:07.50,JAM,Eagle Rock CA,USA,2019-05-16,Aisha Praught Leer,1989,Female,5000,NR
16:25.20,JOR,Milton Keynes,GBR,2018-08-11,Tamara Armoush,1992,Female,5000,NR
14:29.18,JPN,Bruxelles,BEL,2023-09-08,Nozomi Tanaka,1999,Female,5000,NR
14:45.69,KAZ,Montreuil,FRA,2022-06-02,Daisy Jepkemei,1996,Female,5000,NR
14:05.20,KEN,Paris,FRA,2023-06-09,Faith Kipyegon,1994,Female,5000,NR
15:00.42,KGZ,Baku,AZE,2017-05-18,Darya Maslova,1995,Female,5000,NR
21:09.36,KIR,Nikao,COK,2009-09-22,Ruti Ioneba,,Female,5000,NR
15:34.17,KOR,Abashiri,JPN,2017-07-13,Kim Eun-Yeong,1993,Female,5000,NR
17:54.5,KOS,Mitrovice,YUG,2003-06-15,Myrvete Përvetica,1969,Female,5000,NR
21:50.69,KSA,Al-Kuwait,KUW,2019-10-29,Mizna Al-Nassar,,Female,5000,NR
20:01.6,KUW,Al-Kuwait,KUW,2020-11-14,Taiba Al-Nouri,,Female,5000,NR
17:42.47,LAO,Singapore,SGP,2023-04-26,Lodkeo Inthakoumman,1995,Female,5000,NR
14:47.71,LAT,Stockholm/S,SWE,2000-08-01,Jeļena Prokopčuka,1976,Female,5000,NR
17:23.87,LBA,Modena,ITA,2017-09-24,Najla Aqdeir Ali Salem,,Female,5000,NR
16:53.89,LBN,Koblenz,GER,2016-05-25,Nadia Dagher,1990,Female,5000,NR
18:35.02,LBR,Winston Salem,USA,2012-03-16,Eunice Jones,1988,Female,5000,NR
18:13.22,LCA,Louisville KY,USA,2004-05-29,Nessa Paul,,Female,5000,NR
16:47.24,LES,Sasolburg,RSA,2014-03-14,Mokulube Makatise,1995,Female,5000,NR
18:35.42,LIE,Reykjavik,ISL,1997-06-06,Carmen Senti,1957,Female,5000,NR
15:28.66,LTU,Heusden,BEL,2000-08-05,Inga Juodeškienė,1971,Female,5000,NR
15:42.38,LUX,Bruxelles,BEL,1986-09-05,Danièle Kaber,1960,Female,5000,NR
18:28.6,MAC,Taipei,TPE,2015-10-04,Hoi Long,1984,Female,5000,NR
16:20.30,MAD,St-Paul-Reunion,FRA,1998-08-13,Clarisse Rasoarizy,1971,Female,5000,NR
14:32.08,MAR,Berlin,GER,1998-09-01,Zahra Ouaziz,1969,Female,5000,NR
16:18.12,MAS,Jakarta,INA,1997-10-13,Yuan Yufang,1976,Female,5000,NR
15:36.22,MAW,Grosseto,ITA,2004-07-13,Catherine Chikwakwa,1985,Female,5000,NR
