result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
1.11,AFG,Rjukan,NOR,2016-09-22,Asma Mohammadi,,Female,HJ,NR
1.65,AHO,Bern,SUI,2010-05-30,Maruska Eduarda,1991,Female,HJ,NR
1.77,AIA,Columbia MO,USA,2014-04-12,Shinelle Proctor,1991,Female,HJ,NR
1.92,ALB,Tirane,ALB,1989-08-22,Klodeta Gjini,1964,Female,HJ,NR
1.85,ALG,Almería,ESP,2005-07-01,Sarah Bouaoudia,1983,Female,HJ,NR
1.83,AND,Monzón,ESP,1991-06-01,Margarida Moreno,1968,Female,HJ,NR
1.65,ANG,Viseu,POR,1996-04-25,Xenia Fortes,,Female,HJ,NR
1.91,ANT,Toronto,CAN,2015-07-22,Priscilla Frederick,1989,Female,HJ,NR
1.96,ARG,Oristano,ITA,1997-09-08,Solange Witteveen,1976,Female,HJ,NR
1.80,ARM,Yerevan,URS,1983-06-20,Olga Vichuzhanina,,Female,HJ,NR
1.80,ARM,Yerevan,URS,1984-09-20,Diane Zutlevistse,1965,Female,HJ,NR
1.80,ARM,Yerevan,URS,1984-09-20,Djana Zutlevitze,1965,Female,HJ,NR
1.66,ARU,Kingston,JAM,1996-04-07,Jessica Pina,1980,Female,HJ,NR
1.52,ASA,San Diego CA,USA,2013-02-05,Jordan Mageo,1997,Female,HJ,NR
2.03,AUS,Eugene OR,USA,2023-09-17,Nicola Olyslagers,1996,Female,HJ,NR
1.97,AUT,Stuttgart,GER,1993-08-21,Sigrid Kirchmann,1966,Female,HJ,NR
1.80,AZE,Baku,URS,1969-05-15,Nina Brintseva,1950,Female,HJ,NR
1.81,BAH,Wichita KS,USA,2012-05-12,Kenya Culmer,1992,Female,HJ,NR
1.75,BAN,Dhaka,BAN,2022-12-23,Ritu Akhter,2000,Female,HJ,NR
1.95,BAR,Azusa CA,USA,2016-04-13,Akela Inatta-Jones,1995,Female,HJ,NR
1.55,BDI,Bururi,BDI,1987-03-15,Niyonsaba,,Female,HJ,NR
2.05,BEL,Beijing,CHN,2008-08-23,Tia Hellebaut,1978,Female,HJ,NR
1.78,BEN,Marseille,FRA,2017-07-14,Odile Ahouanwanou,1991,Female,HJ,NR
1.84,BER,Bloomington IN,USA,2022-05-28,Sakari Famous,2000,Female,HJ,NR
1.39,BHU,Thimphu,BHU,2018-07-05,Chimi Wangmo,1999,Female,HJ,NR
1.94,BIH,Varaždin,YUG,1987-08-15,Amra Temim,1968,Female,HJ,NR
1.73,BIZ,Ciudad de Guatemala,GUA,2018-07-13,Katy Sealy,1990,Female,HJ,NR
2.00,BLR,Gomel,BLR,1993-05-14,Tatyana Shevchik,1969,Female,HJ,NR
2.00,BLR,Lausanne,SUI,2019-07-05,Karyna Demidik,1999,Female,HJ,NR
1.74,BOL,Cochabamba,BOL,2022-05-29,Carla Lorena Ríos,1998,Female,HJ,NR
1.71,BOT,Lusaka,ZAM,2012-12-13,Titose Chlume,1993,Female,HJ,NR
1.92,BRA,Bogotá,COL,1989-08-11,Orlane dos Santos,1966,Female,HJ,NR
1.70,BRN,Doha,QAT,2011-12-17,Maryam Mohamed Al-Ansari,1993,Female,HJ,NR
1.70,BRN,Manama,BRN,2013-03-09,Maryam Mohd Al-Ansari,,Female,HJ,NR
1.60,BRU,Manila,PHI,1999-04-28,Alinawati Ali Akbar,1975,Female,HJ,NR
2.09,BUL,Roma,ITA,1987-08-30,Stefka Kostadinova,1965,Female,HJ,NR
1.94,BUR,Niort,FRA,1999-08-01,Irene Tiéndrebéogo,1977,Female,HJ,NR
1.62,CAF,Bangui,CAF,1972-03-15,Christiane Yamayélé,,Female,HJ,NR
1.53,CAM,Phnom Penh,CAM,1968-07-19,Our Kim Leang,,Female,HJ,NR
1.98,CAN,Rieti,ITA,1984-09-02,Debbie Brill,1953,Female,HJ,NR
1.75,CAY,Hamilton BER,BER,2013-07-17,Ashliegh Nalty,1994,Female,HJ,NR
1.70,CGO,Quimper,FRA,1990-06-16,Addo Ndala,1973,Female,HJ,NR
1.70,CGO,Antony,FRA,2016-05-07,Tania Matshoko,1993,Female,HJ,NR
1.60,CHA,N'Djamena,CHA,1991-03-01,Christine Koumnobegue Ye,,Female,HJ,NR
1.80,CHI,Cochabamba,BOL,2001-06-03,Kerstin Weiss,1982,Female,HJ,NR
1.80,CHI,Santiago de Chile,CHI,1994-08-28,Alejandra Chomalí,,Female,HJ,NR
1.97,CHN,Hamamatsu,JPN,1989-05-07,Jin Ling,1967,Female,HJ,NR
