result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
16.54,,COK,Hamilton,CAN,1988-10-03,Suzanne Estall,,Female,100H,NR
12.89,+0.9,COL,Mayaguez,PUR,2011-07-17,Brigitte Merlano,1982,Female,100H,NR
13.83,-0.3,COM,Bondoufle,FRA,2009-07-11,Feta Ahamada,1987,Female,100H,NR
14.97,+2.0,CPV,Lisboa,POR,2002-03-07,Claudia Moreira,,Female,100H,NR
12.64,+0.3,CRC,Doha,QAT,2019-10-06,Andrea Carolina Vargas,1996,Female,100H,NR
12.85,+0.1,CRO,Zagreb,CRO,2018-09-04,Andrea Ivančević,1984,Female,100H,NR
12.61,+1.4,CUB,Cali,COL,2008-07-05,Anay Tejeda,1983,Female,100H,NR
12.84,-0.1,CYP,Chorzów,POL,2023-06-04,Natalia Christofi,1997,Female,100H,NR
12.73,+0.8,CZE,Kladno,CZE,2009-07-05,Lucie Škrobáková,1982,Female,100H,NR
12.83,+2.0,DEN,Savona,ITA,2023-05-24,Mette Graversgaard,1995,Female,100H,NR
19.3,,DJI,Addis Ababa,ETH,2009-04-25,Kadra Ahmed Saleh,,Female,100H,NR
14.03,+0.9,DMA,East Lansing MI,USA,2015-05-16,Thea LaFond,1994,Female,100H,NR
12.77,+1.8,DOM,Montverde FL,USA,2013-06-08,Lavonne Idlette,1985,Female,100H,NR
13.01,+1.8,ECU,Clermont FL,USA,2018-05-12,Maribel Caicedo,1998,Female,100H,NR
13.25,,EGY,Cairo,EGY,2023-05-24,Lina Amr Gaber Ahmed,1997,Female,100H,NR
18.8,,ERI,Asmara,ERI,2011-06-26,Awet Elos,,Female,100H,NR
13.62,+0.3,ESA,San Salvador,ESA,2023-07-04,Nancy Gabriela Sandoval,1999,Female,100H,NR
12.50,+0.8,ESP,Berlin,GER,2008-06-01,Josephine Onyia,1986,Female,100H,NR
12.93,+0.9,EST,Erfurt,GER,2005-07-17,Mirjam Liimask,1983,Female,100H,NR
14.87,+0.7,ETH,Abidjan,CIV,2019-04-18,Meskerem Gizaw,,Female,100H,NR
13.62,-0.4,FIJ,Canberra,AUS,1998-02-08,Rachel Rogers,1975,Female,100H,NR
12.70,+0.9,FIN,Jyväskylä,FIN,2023-06-07,Reetta Hurske,1995,Female,100H,NR
12.56,+1.2,FRA,Reims,FRA,2014-07-12,Cindy Billaud,1986,Female,100H,NR
12.56,+1.2,FRA,Villeneuve d'Ascq,FRA,1990-06-29,Monique Ewanjé-Epée,1967,Female,100H,NR
17.84,,FSM,Pohnpei,FSM,2014-07-21,Ashley Apiner,1992,Female,100H,NR
14.49,-1.1,GAB,La Roche-sur-Yon,FRA,2008-10-25,Ruddy Zang Milama,1987,Female,100H,NR
14.70,-1.4,GAM,Huelva,ESP,2013-12-06,Nusrat Ceesay,1981,Female,100H,NR
12.50,+0.9,GBR,Eugene OR,USA,2022-07-24,Cindy Sember,1994,Female,100H,NR
14.06,-0.3,GBS,Leiria,POR,2018-07-08,Fatumata Baldé,2000,Female,100H,NR
14.47,,GEO,Moskva,URS,1979-07-25,Tamara Kildiashvili,,Female,100H,NR
15.93,+0.8,GEQ,Granada,ESP,2017-04-06,Teresa Mangue,1998,Female,100H,NR
12.42,+1.8,GER,Berlin,FRG,1983-06-08,Bettine Jahn,1958,Female,100H,NR
13.02,+1.8,GHA,Philadelphia PA,USA,2001-04-27,Vida Nsiah,1976,Female,100H,NR
19.68,,GIB,Gibraltar,GIB,1995-07-18,Bernice Tighe,,Female,100H,NR
