result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
5:27.35,AFG,Asker,NOR,2007-06-03,Mehrangiz Bijanpoor,,Female,1500,NR
4:43.36,AHO,Charlotte NC,USA,2004-05-19,Florencia Hunt,1978,Female,1500,NR
5:16.2,AIA,Kingston,JAM,1990-04-21,Julie Lake,,Female,1500,NR
4:02.63,ALB,Doha,QAT,2015-05-15,Luiza Gega,1988,Female,1500,NR
3:55.30,ALG,Barcelona,ESP,1992-08-08,Hassiba Boulmerka,1968,Female,1500,NR
4:36.79,AND,Barcelona,ESP,2023-07-05,Aina Bons Cinca,1999,Female,1500,NR
4:17.35,ANG,Braga,POR,2019-06-29,Neide Dias,1987,Female,1500,NR
4:27.51,ANT,Montréal,CAN,2000-07-19,Janill Williams,1985,Female,1500,NR
4:10.98,ARG,Castellón,ESP,2023-06-14,Fedra Aldana Luna,1995,Female,1500,NR
4:22.8,ARM,Moskva,URS,1976-07-12,Lyudmila Artyomova,,Female,1500,NR
5:14.58,ARU,Vieux-Fort,LCA,2009-04-10,Jennelaine Vrolijk,,Female,1500,NR
5:33.80,ASA,Nouméa,FRA,1987-12-14,Paula Stevenson,,Female,1500,NR
3:56.92,AUS,Eugene OR,USA,2023-09-16,Linden Hall,1991,Female,1500,NR
4:03.02,AUT,Atlanta GA,USA,1996-08-03,Theresia Kiesl,1963,Female,1500,NR
4:15.72,AZE,Novi Sad,SRB,2009-07-24,Gezashign Safarova,1990,Female,1500,NR
4:36.37,BAH,Greensboro NC,USA,2017-05-06,Jennaya Hield,1995,Female,1500,NR
4:50.3,BAN,Dhaka,BAN,2009-04-03,Rawshanara Putul,,Female,1500,NR
4:25.61,BAR,Bridgetown,BAR,2020-02-22,Sadé Sealy,1991,Female,1500,NR
4:19.90,BDI,Kampala,UGA,2019-07-26,Francine Niyomukunzi,1999,Female,1500,NR
4:02.63,BEL,Firenze,ITA,2021-06-10,Elise Vanderelst,1998,Female,1500,NR
4:20.09,BEN,Blois,FRA,2018-06-23,Noélie Yarigo,1985,Female,1500,NR
4:10.48,BER,Melbourne,AUS,2006-03-21,Ashley Estwanik,1977,Female,1500,NR
4:49.53,BHU,Fukushima,JPN,2018-06-30,Goma Pradhan,,Female,1500,NR
4:12.19,BIH,Nova Gorica,YUG,1983-06-14,Marica Mrsic,1961,Female,1500,NR
4:29.29,BIZ,Walnut CA,USA,1992-04-17,Sharette Garcia,,Female,1500,NR
3:58.40,BLR,Moskva,URS,1985-08-18,Ravilya Agletdinova,1960,Female,1500,NR
