result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
10.64,ERI,Klagenfurt,AUT,2018-09-19,Arsema Kifle,,Female,TJ,NR
12.81,ESA,San Salvador,ESA,2006-04-09,Maria Carrillo,1984,Female,TJ,NR
14.87,ESP,Tokyo,JPN,2021-08-01,Ana Peleteiro,1995,Female,TJ,NR
14.43,EST,Beijing,CHN,2006-08-17,Kaire Leibak,1988,Female,TJ,NR
13.29,ETH,Addis Ababa,ETH,2024-01-31,Ajuda Umed,,Female,TJ,NR
12.86,FIJ,Claremont CA,USA,2013-04-13,Milika Tuivanuavou,1990,Female,TJ,NR
14.64,FIN,München,GER,2022-08-19,Kristiina Mäkelä,1992,Female,TJ,NR
14.69,FRA,München,GER,2007-06-23,Teresa Nzola Meso Ba,1983,Female,TJ,NR
9.86,FSM,Santa Rita,GUM,1999-08-06,Angie Nedelec,,Female,TJ,NR
11.11,GAB,Brive-la-Gaillarde,FRA,2014-07-06,Erika Nze,,Female,TJ,NR
11.11,GAB,Châlon-sur-Saone,FRA,1994-11-06,Armelle Otola,,Female,TJ,NR
15.15,GBR,Fukuoka,JPN,1997-09-13,Ashia Hansen,1971,Female,TJ,NR
12.49,GBS,Bedford,GBR,2019-06-02,Claudimira Landim,2000,Female,TJ,NR
14.03,GEO,Baku,AZE,2004-07-02,Julia Dubina,1984,Female,TJ,NR
11.96,GEQ,Ciudad Real,ESP,2021-06-13,Naomi Nvo Nchama,2005,Female,TJ,NR
14.61,GER,Garbsen,GER,2019-06-02,Kristin Gierisch,1990,Female,TJ,NR
14.33,GHA,Kingston,JAM,2019-06-08,Nadia Eke,1993,Female,TJ,NR
9.81,GIB,Reading,GBR,2017-10-06,Kaia Kaemmerlen,,Female,TJ,NR
15.32,GRE,Athína,GRE,2004-08-21,Hrisopiyí Devetzí,1976,Female,TJ,NR
14.06,GRN,Athens GA,USA,2008-06-07,Patricia Sylvester,1983,Female,TJ,NR
13.72,GUA,San Salvador,ESA,2018-06-23,Thelma Nohemí Fuentes,1992,Female,TJ,NR
12.74,GUI,Hagetmau,FRA,2000-07-26,Maryama Bah,,Female,TJ,NR
11.01,GUM,Dededo,GUM,2016-05-13,Regine Tugade,1998,Female,TJ,NR
14.03,GUY,Gainesville FL,USA,2022-04-16,Natricia Hooper,1998,Female,TJ,NR
13.47,HAI,Xalapa,MEX,2014-11-27,Pascale Delaunay,1982,Female,TJ,NR
12.99,HKG,Hongkong,HKG,2023-02-26,Vera Chan Shannon,1998,Female,TJ,NR
11.60,HON,Tegucigalpa,HON,1994-12-03,Pastora Chávez,1972,Female,TJ,NR
14.00,HUN,Budapest,HUN,1996-05-12,Zita Bálint,1971,Female,TJ,NR
14.17,INA,Nay Pyi Taw,MYA,2013-12-17,Maria Natalia Londa,1990,Female,TJ,NR
14.14,IND,Chennai,IND,2022-06-13,Babu Sab Aishwarya,1997,Female,TJ,NR
13.23,IRI,Shiraz,IRI,2016-04-29,Javaher Zamani,,Female,TJ,NR
13.62,IRL,Bratislava,SVK,2005-06-07,Taneisha Scanlon,1977,Female,TJ,NR
11.84,IRQ,Baghdad,IRQ,2021-10-30,Chawan Bahaalddin Hassan,1994,Female,TJ,NR
13.40,ISL,København,DEN,2023-05-28,Irma Gunnarsdóttir,1998,Female,TJ,NR
14.78,ISR,Beijing,CHN,2015-08-24,Hanna Minenko,1989,Female,TJ,NR
13.73,ISV,Tuscaloosa AL,USA,1987-05-17,Flora Hyacinth,1966,Female,TJ,NR
15.03,ITA,Roma,ITA,2004-06-26,Magdelin Martinez,1976,Female,TJ,NR
13.36,IVB,Fayetteville AR,USA,2019-05-11,Kala Penn,1998,Female,TJ,NR
15.16,JAM,Linz,AUT,2004-08-02,Trecia Smith,1975,Female,TJ,NR
12.60,JOR,Al-Ain,UAE,2011-10-29,Rima Taha Farid,1987,Female,TJ,NR
14.16,JPN,Osaka,JPN,2023-06-03,Mariko Morimoto,1995,Female,TJ,NR
15.25,KAZ,Split,CRO,2010-09-04,Olga Rypakova,1984,Female,TJ,NR
13.13,KEN,Nairobi,KEN,2023-06-24,Maximilia Imali,1996,Female,TJ,NR
13.76,KGZ,Bangkok,THA,2007-06-19,Rakhima Sardi,1986,Female,TJ,NR
10.76,KIR,Bairiki,KIR,2008-07-01,Terina Tangitang,,Female,TJ,NR
13.92,KOR,Gongju,KOR,2006-05-26,Kim Soo-Yun,1977,Female,TJ,NR
10.85,KOS,Elbasan,ALB,2018-05-23,Rita Hajdini,1998,Female,TJ,NR
10.46,KUW,Al-Kuwait,KUW,2019-10-28,Mariam Kazem Malallah,,Female,TJ,NR
12.77,LAO,Vientiane,LAO,2014-09-20,Laenly Phoutthavong,1996,Female,TJ,NR
14.76,LAT,Sheffield,GBR,1997-06-29,Gundega Sproge,1972,Female,TJ,NR
9.29,LBA,San Donato Milanese,ITA,2008-06-18,Najla Aqdeir Ali Salem,,Female,TJ,NR
12.08,LBN,Sydney,AUS,2003-10-25,Sandra Gabrael,,Female,TJ,NR
13.52,LBR,Sacramento CA,USA,2007-06-09,Decontee Kaye,1987,Female,TJ,NR
13.91,LCA,Barranquilla,COL,2018-08-01,Sandisha Antoine,1991,Female,TJ,NR
13.57,LES,Gold Coast,AUS,2018-04-10,Lerato Sechele,1994,Female,TJ,NR
10.20,LIE,Zürich,SUI,2021-08-15,Nadine Stüber,2005,Female,TJ,NR
14.43,LTU,La Chaux-de-Fonds,SUI,2019-06-30,Diana Zagainova,1997,Female,TJ,NR
12.43,LUX,Schaan,LIE,1999-05-26,Claudia Czerwonka,1972,Female,TJ,NR
13.41,MAD,Antananarivo,MAD,2007-08-15,Rapitsara Volazandry,1976,Female,TJ,NR
13.41,MAD,UNKNOWN,???,2007-08-15,Rapitsaravolazandry,1976,Female,TJ,NR
13.75,MAR,Porto Novo,BEN,2012-07-01,Jamaa Chnaik,1984,Female,TJ,NR
13.90,MAS,Kuala Lumpur,MAS,2012-10-06,Noor Amira Mohd Nafiah,1989,Female,TJ,NR
10.25,MAW,Blantyre,MAW,1968-07-20,Kachali,,Female,TJ,NR
14.24,MDA,Alcalá de Henares,ESP,2003-06-28,Olga Bolshova,1968,Female,TJ,NR
10.63,MDV,Hulhumalé,MDV,2023-05-14,Ahnaa Nizaar,2007,Female,TJ,NR
14.02,MEX,Queretaro,MEX,2018-04-29,Ivonne Rangel,1993,Female,TJ,NR
12.60,MGL,Ulan Bator,MGL,2022-09-17,E Oyundari,1999,Female,TJ,NR
9.83,MHL,McMinnville OR,USA,2016-05-13,Rosemaline Watley,2001,Female,TJ,NR
12.25,MKD,Skopje,YUG,1991-05-25,Vasilka Stojcevska,1968,Female,TJ,NR
12.94,MLI,Niamey,NIG,2005-12-11,Yah Koïta,1980,Female,TJ,NR
13.04,MLT,Marsa,MLT,2023-04-22,Claire Azzopardi,1999,Female,TJ,NR
12.84,MNE,Bar,MNE,2020-09-06,Ljiljana Matovic,1993,Female,TJ,NR
9.31,MON,Aubagne,FRA,2017-05-21,Marie Charlotte Gastaud,1999,Female,TJ,NR
11.85,MOZ,Brazzaville,CGO,2004-07-14,Telma Cossa,1981,Female,TJ,NR
13.80,MRI,Kinshasa,COD,2023-08-04,Liliane Potiron,1998,Female,TJ,NR
12.72,MYA,Yangon,MYA,2001-06-30,Soe Soe Nyein,1967,Female,TJ,NR
12.11,NAM,Windhoek,NAM,2022-04-01,Frieda Iithete,,Female,TJ,NR
11.95,NCA,Maracaibo,VEN,1998-08-20,Ana Patricia Trana,,Female,TJ,NR
13.51,NED,Izmir,TUR,2011-06-18,Brenda Baar,1987,Female,TJ,NR
12.20,NEP,Kathmandu,NEP,2013-04-11,Keshari Chaudhari,1991,Female,TJ,NR
9.85,NFI,Christchurch,NZL,2002-12-14,Jedda Fletcher,,Female,TJ,NR
14.50,NGR,Lubbock TX,USA,2021-04-10,Ruth Usoro,1997,Female,TJ,NR
10.04,NIG,Niamey,NIG,1998-05-31,Farida Illaaouta,,Female,TJ,NR
9.86,NIU,Tumbi Umbi,NIU,2003-02-01,Jade Roughan,,Female,TJ,NR
10.10,NMI,Koror,PLW,2010-05-08,Jackie Wonenberg,,Female,TJ,NR
13.83,NOR,Pula,CRO,1999-06-05,Lene Espegren,1971,Female,TJ,NR
9.40,NRU,Yaren,NRU,2006-03-28,Dana Thoma,1989,Female,TJ,NR
13.91,NZL,Sydney,AUS,2016-04-02,Nneka Okpala,1988,Female,TJ,NR
10.43,OMA,Amman,JOR,2008-04-11,Buthayna Eid Al-Yacoubi,1991,Female,TJ,NR
10.43,OMA,Doha,QAT,2017-03-10,Khadija Suleiman Al-Manjieh,,Female,TJ,NR
12.25,PAK,Peshawar,PAK,2019-11-12,Maria Maratab,1991,Female,TJ,NR
12.58,PAN,Ciudad de Panamá,PAN,2016-04-30,Ana Martínez,1994,Female,TJ,NR
13.04,PAR,Encarnación,PAR,2021-10-17,Ana Paula Arguello,2003,Female,TJ,NR
13.63,PER,Lima,PER,2022-03-05,Silvana Segura,1990,Female,TJ,NR
12.92,PHI,Sacramento CA,USA,2018-05-26,Marisa Kwiatkowski,1996,Female,TJ,NR
9.95,PLE,Damascus,SYR,2004-09-13,Kmar Assoued,,Female,TJ,NR
9.89,PLW,Susupe,NMI,2006-06-26,Barbara Gbewonyo,,Female,TJ,NR
13.28,PNG,Bradenton FL,USA,2017-05-27,Rellie Kaputin,1993,Female,TJ,NR
14.44,POL,Barcelona,ESP,2010-07-29,Małgorzata Trybańska-Strońska,1981,Female,TJ,NR
15.01,POR,Tokyo,JPN,2021-08-01,Patrícia Mamona,1988,Female,TJ,NR
13.40,PRK,Pyongyang,PRK,1998-10-10,O Mi Song,1976,Female,TJ,NR
13.53,PUR,Chula Vista CA,USA,2019-06-16,Tanasia Lea,1991,Female,TJ,NR
12.83,PYF,Suva,FIJ,2003-07-12,Velomique Boyer,1972,Female,TJ,NR
11.22,QAT,Muscat,OMA,2015-03-14,Mubaraka Al-Mannai,,Female,TJ,NR
15.16,ROU,Athína,GRE,1997-08-04,Rodica Mateescu,1971,Female,TJ,NR
14.03,RSA,Pretoria,RSA,2020-03-07,Zinzi Xulu,1996,Female,TJ,NR
15.34,RUS,Iráklio,GRE,2004-07-04,Tatyana Lebedeva,1976,Female,TJ,NR
10.85,RWA,Kigali,RWA,2018-01-07,Marthe Niyonkuru,,Female,TJ,NR
11.13,SAM,Apia,SAM,2006-12-16,Sopolema Tuitama,,Female,TJ,NR
15.00,SEN,Iráklio,GRE,2004-07-04,Kéne Ndoye,1978,Female,TJ,NR
12.95,SEY,Nairobi,KEN,2011-07-15,Jane Boniface,1991,Female,TJ,NR
12.92,SGP,Philadelphia PA,USA,2023-05-07,Tia Louise Rozario,2000,Female,TJ,NR
12.67,SKN,Hobbs TX,USA,2019-05-18,Krystal Liburd,1997,Female,TJ,NR
10.91,SLE,Oakton VA,USA,2006-05-06,Assiatu Williams,,Female,TJ,NR
15.03,SLO,Beijing,CHN,2008-08-17,Marija Šestak,1979,Female,TJ,NR
11.65,SMR,San Marino,SMR,2003-04-26,Lucia Gualandra,1978,Female,TJ,NR
10.52,SOL,Honiara,SOL,2023-10-26,Charlyn Mamae,2000,Female,TJ,NR
14.56,SRB,Thessaloníki,GRE,2009-09-13,Biljana Topić,1977,Female,TJ,NR
13.66,SRI,Colombo,SRI,2019-08-18,H.D. Viduka Lakshani,1996,Female,TJ,NR
11.83,SSD,La Crosse WI,USA,2018-05-17,Nyakume Becca Ter Dup,,Female,TJ,NR
13.90,STP,Braga,POR,2023-07-30,Agate De Sousa,2000,Female,TJ,NR
15.28,SUD,Linz,AUT,2004-08-02,Yamilé Aldama,1972,Female,TJ,NR
13.49,SUI,La Chaux-de-Fonds,SUI,2018-07-01,Fatim Affessi,1993,Female,TJ,NR
