result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:33:39,ALG,Alger,ALG,2022-02-04,Souad Azzi,1999,Female,20W,NR,Outdoor
1:48:30,ARG,Buenos Aires,ARG,1990-09-16,Lidia Carriego,1955,Female,20W,NR,Outdoor
1:27:09,AUS,Adelaide,AUS,2024-02-11,Jemima Montag,1998,Female,20W,NR,Outdoor
1:46:31,AUT,Hollenburg,AUT,2010-10-02,Kathrin Schulze,1981,Female,20W,NR,Outdoor
1:39:58,AZE,Moskva,RUS,2000-05-19,Aida Isayeva,1973,Female,20W,NR,Outdoor
2:25:20,BAR,Bar,YUG,1992-06-05,Veta Batson,,Female,20W,NR,Outdoor
1:50:37,BEL,Brügge,BEL,1989-06-24,Frieda de Wolf,,Female,20W,NR,Outdoor
1:55:49,BIH,Bucureşti,ROU,2008-04-12,Meliha Mulahalilovic,1988,Female,20W,NR,Outdoor
1:26:11,BLR,Nesvizh,BLR,2006-04-15,Ryta Turava,1980,Female,20W,NR,Outdoor
1:30:33,BOL,Roma,ITA,2016-05-07,Angela Castro,1993,Female,20W,NR,Outdoor
1:26:59,BRA,London,GBR,2017-08-13,Erica de Sena,1985,Female,20W,NR,Outdoor
1:32:11,BUL,Nova Zagora,BUL,2001-06-30,Nevena Mineva-Dimitrova,1972,Female,20W,NR,Outdoor
1:29:54,CAN,Nomi,JPN,2015-03-15,Rachel Seaman,1986,Female,20W,NR,Outdoor
2:13:45,CGO,Brazzaville,CGO,2015-09-15,Lilia Bitsoumani,,Female,20W,NR,Outdoor
1:41:01,CHI,Los Angeles,CHI,2004-04-03,Marcela Pacheco,1982,Female,20W,NR,Outdoor
1:23:49,CHN,Huangshan,CHN,2021-03-20,Yang Jiayu,1996,Female,20W,NR,Outdoor
1:54:35,CMR,Kinshasa,COD,2023-08-04,Beatrice Hamidou Tayki'oo,2000,Female,20W,NR,Outdoor
2:04:54,COD,Kinshasa,COD,2023-08-04,Gracia Ladisa,,Female,20W,NR,Outdoor
1:27:25,COL,Adelaide,AUS,2024-02-11,Sandra Arenas,1993,Female,20W,NR,Outdoor
1:30:44,CRC,La Coruña,ESP,2021-06-05,Noelia Vargas,2000,Female,20W,NR,Outdoor
1:32:57,CRO,Zagreb,CRO,2022-10-15,Ivana Renić,1996,Female,20W,NR,Outdoor
1:33:48,CUB,Matanzas,CUB,2002-07-30,Yarelis Sánchez,1982,Female,20W,NR,Outdoor
2:06:29,CYP,Mégara,GRE,2015-03-29,Sofia Olympiou,1994,Female,20W,NR,Outdoor
1:26:53,CZE,Murcia,ESP,2015-05-17,Anežka Drahotová,1995,Female,20W,NR,Outdoor
