result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:47:44,SSD,Sal,CPV,2019-06-16,Stella Ohiri,1999.0,Female,HM,NR,Outdoor
1:19:49,STP,Lisboa,POR,2016-03-20,Celma Bonfim Soares,,Female,HM,NR,Outdoor
1:14:10,SUD,Trabzon,TUR,2016-02-21,Chaltu Niguse,,Female,HM,NR,Outdoor
1:08:27,SUI,Dresden,GER,2021-03-21,Fabienne Schlumpf,1990.0,Female,HM,NR,Outdoor
1:21:07,SUR,Paramaribo,SUR,1999-07-03,Anuncia Berenstein,,Female,HM,NR,Outdoor
1:12:08,SVK,Berlin,GER,1992-04-05,Maria Starovska,1959.0,Female,HM,NR,Outdoor
1:08:19,SWE,Valencia,ESP,2021-10-24,Sarah Lahti,1995.0,Female,HM,NR,Outdoor
1:24:06,SWZ,Pretoria,RSA,1996-07-20,Prudence Zwane,,Female,HM,NR,Outdoor
1:24:58,SYR,Amman,JOR,2003-09-09,Zeinab Bakour,,Female,HM,NR,Outdoor
1:06:05,TAN,Ras Al Khaimah,UAE,2024-02-24,Jackline Sakilu,1986.0,Female,HM,NR,Outdoor
2:18:27,TGA,Berlin,GER,2011-09-25,Falamoe Weber,,Female,HM,NR,Outdoor
1:15:13,THA,Brooklyn,USA,2016-05-21,Jane Vongvorachoti,1984.0,Female,HM,NR,Outdoor
1:19:08,TJK,Bruxelles,BEL,2002-05-05,Gulsara Dadabayeva,1976.0,Female,HM,NR,Outdoor
1:21:59,TKM,Bruxelles,BEL,2002-05-05,Dildar Mamedova,1981.0,Female,HM,NR,Outdoor
1:47:45,TKS,New York,USA,2011-11-06,Lynn Robinson,,Female,HM,NR,Outdoor
1:24:46,TLS,Dili,TLS,2017-08-19,Rubia Fatima Martins,,Female,HM,NR,Outdoor
1:21:12,TOG,Dakar,SEN,2020-02-16,Thérèse Maheza Anaming,1992.0,Female,HM,NR,Outdoor
1:12:19,TPE,Osaka,JPN,2018-01-28,Hsieh Chien-Ho,1987.0,Female,HM,NR,Outdoor
1:15:13,TTO,Kavarna,BUL,2012-10-06,Tonya Nero,1988.0,Female,HM,NR,Outdoor
