result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
51.46,ETH,Assela,ETH,2022-03-07,Dngete Adola,2004,Female,JT,NR,Outdoor
49.28,FIJ,Suva,FIJ,2003-07-10,Sisilia Lau,,Female,JT,NR,Outdoor
64.90,FIN,Helsinki,FIN,2003-08-10,Paula Tarvainen,1973,Female,JT,NR,Outdoor
63.54,FRA,Halle,GER,2016-05-21,Matilde Andraud,1989,Female,JT,NR,Outdoor
37.46,FSM,Abay,FSM,2001-07-26,Scholasmara Fathaangin,,Female,JT,NR,Outdoor
39.39,GAB,Aix-les-Bains,FRA,2010-03-10,Rose de mars Mboulet,,Female,JT,NR,Outdoor
26.99,GAM,Banjul,GAM,2019-06-29,Alimatou Badjie,,Female,JT,NR,Outdoor
66.17,GBR,London,GBR,2012-07-14,Goldie Sayers,1982,Female,JT,NR,Outdoor
42.61,GBS,Barcelona,ESP,2018-04-28,Josefina Relva,1989,Female,JT,NR,Outdoor
51.91,GEO,Banská Bystrica,SVK,2000-07-08,Maka Obolashvili,1975,Female,JT,NR,Outdoor
33.04,GEQ,Beyrouth,LBN,2009-04-10,Viviana Olaman,,Female,JT,NR,Outdoor
70.20,GER,München,GER,2007-06-23,Christina Obergföll,1981,Female,JT,NR,Outdoor
56.36,GHA,Helsinki,FIN,2005-08-07,Margaret Simpson,1982,Female,JT,NR,Outdoor
67.51,GRE,Sydney,AUS,2000-09-30,Miréla Manjani,1976,Female,JT,NR,Outdoor
54.82,GRN,Allendale,USA,2022-05-28,Candesha Scott,1997,Female,JT,NR,Outdoor
44.27,GUA,Monterrey,MEX,2018-06-03,Sofía Alonso,1992,Female,JT,NR,Outdoor
28.44,GUI,Bondy,FRA,2007-06-17,Mahawa Camara,,Female,JT,NR,Outdoor
30.74,GUM,Yona,GUM,2013-05-24,Lianna Urbina,,Female,JT,NR,Outdoor
51.27,GUY,Lubbock,USA,2023-03-25,Anisha Gibbons,2004,Female,JT,NR,Outdoor
37.14,HAI,Clarksville,USA,2015-04-18,Vanessa Jules,1991,Female,JT,NR,Outdoor
49.37,HKG,Hongkong,HKG,2016-06-26,Ng Ki Sum,1996,Female,JT,NR,Outdoor
45.00,HON,San José3,CRC,2023-05-07,Esther Padilla,1999,Female,JT,NR,Outdoor
64.62,HUN,Pátra,GRE,2001-07-21,Nikolett Szabó,1980,Female,JT,NR,Outdoor
51.26,INA,Timika,INA,2021-10-11,Atinna Nurkamilla Intan,1998,Female,JT,NR,Outdoor
63.82,IND,Jamshedpur,IND,2022-05-08,Annu Rani,1992,Female,JT,NR,Outdoor
51.55,IRI,Tehran,IRI,2018-05-22,Sahar Ziaei,1994,Female,JT,NR,Outdoor
54.92,IRL,Dublin,IRL,2013-07-27,Anita White,1983,Female,JT,NR,Outdoor
40.88,IRQ,Doha,QAT,2023-04-28,Azir Asia,,Female,JT,NR,Outdoor
63.43,ISL,Joensuu,FIN,2017-07-12,Ásdís Hjálmsdóttir Annerud,1985,Female,JT,NR,Outdoor
64.56,ISR,Oslo,NOR,2015-06-11,Margaryta Dorozhon,1987,Female,JT,NR,Outdoor
29.00,ISV,St. Croix,PUR,2015-05-22,Shanice Cazaubon,,Female,JT,NR,Outdoor
65.30,ITA,Ljubljana,SLO,2000-06-10,Claudia Coslovich,1972,Female,JT,NR,Outdoor
46.35,IVB,Hobbs,USA,2019-05-18,Akira Phillip,1999,Female,JT,NR,Outdoor
61.10,JAM,Nassau,BAH,2005-07-10,Olivia McKoy,1973,Female,JT,NR,Outdoor
38.28,JOR,Baghdad,IRQ,2000-11-23,Fatin Al-Bakhit,,Female,JT,NR,Outdoor
67.38,JPN,Bruxelles,BEL,2023-09-08,Haruka Kitaguchi,1998,Female,JT,NR,Outdoor
52.76,KAZ,Ho Chi Minh,VIE,2016-06-04,Varvara Nazarova,1997,Female,JT,NR,Outdoor
57.23,KEN,College Station,USA,2024-03-23,Irene Jepkemboi,2004,Female,JT,NR,Outdoor
57.28,KGZ,Bishkek,KGZ,2000-07-01,Tatyana Sudarikova,1973,Female,JT,NR,Outdoor
31.75,KIR,Apia,SAM,2007-06-09,Kaitinano Mwemweata,1984,Female,JT,NR,Outdoor
60.92,KOR,Jecheon,KOR,2004-04-22,Jang Jung-Yeon,1977,Female,JT,NR,Outdoor
38.30,KOS,Mitrovice,YUG,2003-03-20,Ardita Uka,1981,Female,JT,NR,Outdoor
20.02,KSA,Sharjah,UAE,2024-02-09,Sarah Abdel Karim Al Hilal,,Female,JT,NR,Outdoor
35.01,KUW,Al-Kuwait,KUW,2019-10-27,Salsabeel Khaled Al-Sayar,,Female,JT,NR,Outdoor
45.35,LAO,Bangkok,THA,2015-09-08,Math Thinmanao,1995,Female,JT,NR,Outdoor
66.18,LAT,Bruxelles,BEL,2016-09-09,Madara Palameika,1987,Female,JT,NR,Outdoor
37.21,LBA,Niamey,NIG,2009-09-02,Ebtehal Aboud,,Female,JT,NR,Outdoor
