result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
11:51.02,AFG,Nadderud,NOR,2007-06-17,Mehrangiz Bijanpoor,,Female,3000,NR,Outdoor
11:38.21,AIA,Tortola,IVB,2008-06-29,Jonicia Richardson,,Female,3000,NR,Outdoor
8:46.61,ALB,Elbasan,ALB,2022-05-24,Luiza Gega,1988,Female,3000,NR,Outdoor
8:47.99,ALG,Alger,ALG,2006-06-22,Souad Aït Salem,1979,Female,3000,NR,Outdoor
10:00.55,AND,L'Hospitalet,ESP,2002-07-24,Silvia Felipo,1967,Female,3000,NR,Outdoor
9:27.34,ANG,Maia,POR,2019-01-06,Neide Dias,1987,Female,3000,NR,Outdoor
9:49.89,ANT,Port of Spain,TTO,1998-05-10,Janill Williams,1985,Female,3000,NR,Outdoor
8:53.89,ARG,Memphis,USA,2022-07-29,Florencia Borelli,1992,Female,3000,NR,Outdoor
9:50.04,ARM,Krasnodar,URS,1991-06-23,Nune Avagyan,1972,Female,3000,NR,Outdoor
11:47.46,ARU,Oranjestad,NED,2021-06-27,Rebecca Jansen,,Female,3000,NR,Outdoor
12:15.9,ASA,UNKNOWN,???,1983-05-01,Georgine Tomisato,1954,Female,3000,NR,Outdoor
8:31.81,AUS,Sydney,AUS,2023-03-11,Jessica Hull,1996,Female,3000,NR,Outdoor
8:47.04,AUT,Linz,AUT,2000-08-08,Susanne Pumper,1970,Female,3000,NR,Outdoor
8:55.33,AZE,Moncton,CAN,2010-07-19,Layes Tsige,1991,Female,3000,NR,Outdoor
10:26.39,BAH,Williamsburg,USA,2012-04-07,Hughnique Rolle,1992,Female,3000,NR,Outdoor
10:25.3,BAN,Dhaka,BAN,2022-01-05,Rinki Biswas,,Female,3000,NR,Outdoor
10:18.48,BAR,St. Georges,GRN,2016-03-27,Elizabeth Williams,,Female,3000,NR,Outdoor
8:19.08,BDI,Paris,FRA,2021-08-28,Francine Niyonsaba,1993,Female,3000,NR,Outdoor
8:49.31,BEL,Helsinki,FIN,2000-06-15,Veerle Dejaeghere,1973,Female,3000,NR,Outdoor
9:57.95,BEN,Caen,FRA,2019-05-05,Kabirato Nassam Alassani,1987,Female,3000,NR,Outdoor
9:48.65,BER,Santo Domingo,DOM,1981-07-12,Merernette Bean,,Female,3000,NR,Outdoor
12:01.1,BHU,Phuntsholing,BHU,2001-12-12,Ugyen Pema,,Female,3000,NR,Outdoor
9:05.42,BIH,Izmir,TUR,1983-06-25,Marica Mrsic,1961,Female,3000,NR,Outdoor
10:13.5,BIZ,Long Beach,USA,1996-02-17,Sharette Garcia,,Female,3000,NR,Outdoor
8:32.89,BLR,Saint-Denis,FRA,2001-07-06,Alesia Turava,1979,Female,3000,NR,Outdoor
9:16.03,BOL,Sevilla,ESP,2002-06-08,Niusha Mancilla,1971,Female,3000,NR,Outdoor
9:45.58,BOT,Maputo,MOZ,2010-05-30,Idah Simon,,Female,3000,NR,Outdoor
9:02.37,BRA,Linz,AUT,1994-07-04,Delirde Bernardi,1969,Female,3000,NR,Outdoor
8:28.87,BRN,Oslo,NOR,2005-07-29,Maryam Jamal,1984,Female,3000,NR,Outdoor
11:36.5,BRU,Bandar Seri Begawan,BRU,1988-03-20,Roziah Lahing,,Female,3000,NR,Outdoor
8:30.59,BUL,Saint-Denis,FRA,2001-07-06,Daniela Yordanova,1976,Female,3000,NR,Outdoor
10:36.20,BUR,Ouagadougou,BUR,2017-07-15,Juliette Kaboré,1973,Female,3000,NR,Outdoor
10:08.59,CAF,Homburg,GER,2000-01-06,Martine Bayo Hirchenhahn,,Female,3000,NR,Outdoor
11:43.8,CAM,Ho Chi Minh,VIE,1986-10-25,Sem Sophalnara,,Female,3000,NR,Outdoor
8:32.17,CAN,Victoria,CAN,1994-08-23,Angela Chalmers,1963,Female,3000,NR,Outdoor
