result,nation,venue,venueCountry,date,name,sex,discipline,type,environment
47.39,AHO,Ponce,PUR,2010-05-08,Netherlands Antilles,Female,4x1,NR,Outdoor
50.60,AIA,Port of Spain,TTO,1987-04-20,Anguilla,Female,4x1,NR,Outdoor
47.16,ALB,Ankara,TUR,1988-07-16,Albania,Female,4x1,NR,Outdoor
46.83,ALG,Alger,ALG,2012-07-07,Algeria,Female,4x1,NR,Outdoor
48.61,AND,Chorzów,POL,2023-06-21,Andorra,Female,4x1,NR,Outdoor
46.22,ANT,Port of Spain,TTO,2004-05-02,Antigua & Barbuda,Female,4x1,NR,Outdoor
44.72,ARG,Santiago de Chile,CHI,2023-11-02,Argentina,Female,4x1,NR,Outdoor
47.11,ARM,Moskva,URS,1979-07-29,Armenia,Female,4x1,NR,Outdoor
42.94,AUS,Sydney,AUS,2024-03-23,Australia,Female,4x1,NR,Outdoor
44.18,AUT,Chorzów,POL,2023-06-21,Austria,Female,4x1,NR,Outdoor
46.10,AZE,Baku,AZE,2015-06-21,Azerbaijan,Female,4x1,NR,Outdoor
41.92,BAH,Sevilla,ESP,1999-08-29,Bahamas,Female,4x1,NR,Outdoor
46.80,BAN,Dhaka,BAN,2010-02-07,Bangladesh,Female,4x1,NR,Outdoor
44.34,BAR,Sherbrooke,CAN,2004-08-01,Barbados,Female,4x1,NR,Outdoor
51.8,BDI,Bujumbura,BDI,1993-05-16,Burundi,Female,4x1,NR,Outdoor
42.54,BEL,Beijing,CHN,2008-08-22,Belgium,Female,4x1,NR,Outdoor
46.45,BEN,Abuja,NGR,2003-10-13,Benin,Female,4x1,NR,Outdoor
47.83,BIH,Beograd,SRB,2012-07-14,Bosnia-Herzegovina,Female,4x1,NR,Outdoor
47.44,BIZ,Managua,NCA,2017-12-11,Belize,Female,4x1,NR,Outdoor
42.56,BLR,Helsinki,FIN,2005-08-13,Belarus,Female,4x1,NR,Outdoor
45.54,BOL,Cochabamba,BOL,2023-06-03,Bolivia,Female,4x1,NR,Outdoor
45.02,BOT,St Pierre,MRI,2022-06-09,Botswana,Female,4x1,NR,Outdoor
42.29,BRA,Moskva,RUS,2013-08-18,Brazil,Female,4x1,NR,Outdoor
42.73,BRN,Jakarta,INA,2018-08-30,Bahrain,Female,4x1,NR,Outdoor
42.29,BUL,Sofia,BUL,1988-06-26,Bulgaria,Female,4x1,NR,Outdoor
45.99,BUR,Niamey,NIG,2005-12-13,Burkina Faso,Female,4x1,NR,Outdoor
49.3,CAF,Garoua,CMR,1999-07-31,Central African Republic,Female,4x1,NR,Outdoor
42.60,CAN,Beijing,CHN,2015-08-29,Canada,Female,4x1,NR,Outdoor
45.49,CGO,Kinshasa,COD,2023-08-02,Congo,Female,4x1,NR,Outdoor
48.88,CHA,Addis Ababa,ETH,2008-05-01,Chad,Female,4x1,NR,Outdoor
44.19,CHI,Santiago de Chile,CHI,2023-11-02,Chile,Female,4x1,NR,Outdoor
42.23,CHN,Shanghai,CHN,1997-10-23,China,Female,4x1,NR,Outdoor
41.90,CIV,Budapest,HUN,2023-08-25,Ivory Coast,Female,4x1,NR,Outdoor
44.58,CMR,Marietta,USA,1996-07-21,Cameroon,Female,4x1,NR,Outdoor
51.23,COD,Brazzaville,CGO,2010-06-19,Democratic Republic of Congo,Female,4x1,NR,Outdoor
43.03,COL,Bogotá,COL,2004-07-10,Colombia,Female,4x1,NR,Outdoor
43.03,COL,Helsinki,FIN,2005-08-12,Colombia,Female,4x1,NR,Outdoor
53.73,COM,Saint-Denis,FRA,1979-08-31,Comoros,Female,4x1,NR,Outdoor
49.8,CPV,Espargos,CPV,2016-07-10,Cape Verde Islands,Female,4x1,NR,Outdoor
46.09,CRC,Xalapa,MEX,2014-11-28,Costa Rica,Female,4x1,NR,Outdoor
45.14,CRO,Izmir,TUR,2011-06-18,Croatia,Female,4x1,NR,Outdoor
42.89,CUB,Stuttgart,GER,1993-08-22,Cuba,Female,4x1,NR,Outdoor
43.87,CYP,Amsterdam,NED,2016-07-09,Cyprus,Female,4x1,NR,Outdoor
42.98,CZE,Zürich,SUI,1982-08-18,Czech Republic,Female,4x1,NR,Outdoor
43.46,DEN,Eugene,USA,2022-07-22,Denmark,Female,4x1,NR,Outdoor
56.9,DJI,Djibouti,DJI,2008-04-18,Djibouti,Female,4x1,NR,Outdoor
43.28,DOM,Moskva,RUS,2013-08-18,Dominican Republic,Female,4x1,NR,Outdoor
43.69,ECU,Tokyo,JPN,2021-08-05,Ecuador,Female,4x1,NR,Outdoor
46.62,EGY,Marrakech,MAR,2023-06-23,Egypt,Female,4x1,NR,Outdoor
52.8,ERI,Nairobi,KEN,2006-12-03,Eritrea,Female,4x1,NR,Outdoor
42.58,ESP,Eugene,USA,2022-07-23,Spain,Female,4x1,NR,Outdoor
44.21,EST,Chorzów,POL,2023-06-22,Estonia,Female,4x1,NR,Outdoor
45.66,ETH,Accra,GHA,2024-03-20,Ethiopia,Female,4x1,NR,Outdoor
44.86,FIJ,Suva,FIJ,2003-07-12,Fiji,Female,4x1,NR,Outdoor
43.37,FIN,Stuttgart,GER,1993-08-22,Finland,Female,4x1,NR,Outdoor
41.78,FRA,Saint-Denis,FRA,2003-08-30,France,Female,4x1,NR,Outdoor
47.9,GAB,Yaoundé,CMR,1996-06-14,Gabon,Female,4x1,NR,Outdoor
43.83,GAM,Konya,TUR,2022-08-12,Gambia,Female,4x1,NR,Outdoor
41.55,GBR,Tokyo,JPN,2021-08-05,Great Britain,Female,4x1,NR,Outdoor
51.41,GBS,Bissau,GBS,2007-06-02,Guinea Bissau,Female,4x1,NR,Outdoor
44.90,GEO,Tashkent,URS,1986-09-16,Georgia,Female,4x1,NR,Outdoor
52.2,GEQ,Malabo,GEQ,1999-06-11,Equatorial Guinea,Female,4x1,NR,Outdoor
41.37,GER,Canberra,AUS,1985-10-06,Germany,Female,4x1,NR,Outdoor
42.67,GHA,Cape Coast,GHA,2016-07-08,Ghana,Female,4x1,NR,Outdoor
49.3,GIB,Gibraltar,GIB,1995-07-20,Gibraltar,Female,4x1,NR,Outdoor
43.07,GRE,Bari,ITA,1997-06-18,Greece,Female,4x1,NR,Outdoor
44.72,GRN,Port of Spain,TTO,2012-06-24,Grenada,Female,4x1,NR,Outdoor
45.17,HKG,Shenyang,CHN,2023-06-28,Hong Kong,Female,4x1,NR,Outdoor
43.38,HUN,Budapest,HUN,2023-08-25,Hungary,Female,4x1,NR,Outdoor
45.00,INA,Palembang,INA,2011-11-15,Indonesia,Female,4x1,NR,Outdoor
43.37,IND,Patiala,IND,2021-06-21,India,Female,4x1,NR,Outdoor
43.80,IRL,Berlin,GER,2018-08-12,Ireland,Female,4x1,NR,Outdoor
45.31,ISL,Serravalle,SMR,2017-06-03,Iceland,Female,4x1,NR,Outdoor
44.79,ISR,Paris,FRA,2019-08-24,Israel,Female,4x1,NR,Outdoor
42.14,ITA,Budapest,HUN,2023-08-25,Italy,Female,4x1,NR,Outdoor
43.45,IVB,Road Town,IVB,2016-07-03,British Virgin Islands,Female,4x1,NR,Outdoor
41.02,JAM,Tokyo,JPN,2021-08-06,Jamaica,Female,4x1,NR,Outdoor
43.33,JPN,Eugene,USA,2022-07-22,Japan,Female,4x1,NR,Outdoor
42.92,KAZ,Almaty,KAZ,2016-07-04,Kazakhstan,Female,4x1,NR,Outdoor
44.75,KEN,Brazzaville,CGO,2015-09-15,Kenya,Female,4x1,NR,Outdoor
44.60,KOR,Incheon,KOR,2014-10-02,South Korea,Female,4x1,NR,Outdoor
49.99,KOS,Skopje,MKD,2019-08-10,Kosovo,Female,4x1,NR,Outdoor
49.12,KUW,Al-Kuwait,KUW,2022-05-17,Kuwait,Female,4x1,NR,Outdoor
49.22,LAO,Singapore,SGP,2016-07-16,Laos,Female,4x1,NR,Outdoor
44.42,LAT,Moskva,URS,1983-06-20,Latvia,Female,4x1,NR,Outdoor
