result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
22:01,AUT,Trnava,SVK,1992-05-08,Vera Toporek,1967.0,Female,5W,NR,Outdoor
20:24,BLR,Hildesheim,GER,2006-08-27,Elena Ginko,1976.0,Female,5W,NR,Outdoor
32:41,CAF,Bangui,CAF,2009-12-20,Christelle Seregaza,,Female,5W,NR,Outdoor
20:41,CHN,Eisenhüttenstadt,GER,1999-05-08,Liu Hongyu,1975.0,Female,5W,NR,Outdoor
25:21,CRO,Bydgoszcz,POL,2017-07-16,Ivana Renić,1996.0,Female,5W,NR,Outdoor
21:04,ESP,Barcelona,ESP,2005-03-06,María Vasco,1975.0,Female,5W,NR,Outdoor
22:25,EST,Druskininkai,LTU,2019-09-14,Jekaterina Mirotvortseva,2002.0,Female,5W,NR,Outdoor
22:20,ETH,Roma,ITA,2016-05-07,Aynalem Eshetu,1992.0,Female,5W,NR,Outdoor
20:53,GER,Hildesheim,GER,2006-08-27,Sabine Krantz,1981.0,Female,5W,NR,Outdoor
21:12,HUN,Nitra,SVK,2014-09-25,Viktória Madarász,1985.0,Female,5W,NR,Outdoor
20:11,IRL,Kraków,POL,2003-06-14,Gillian O'Sullivan,1976.0,Female,5W,NR,Outdoor
20:13,ITA,Rieti,ITA,2003-08-02,Elisabetta Perrone,1968.0,Female,5W,NR,Outdoor
22:23,KEN,London,GBR,2017-08-13,Grace Njue Wanjiru,,Female,5W,NR,Outdoor
20:53,LTU,Hildesheim,GER,1989-10-06,Sada Bukšnienė,1967.0,Female,5W,NR,Outdoor
31:27,NAM,Windhoek,NAM,2006-02-19,Angelique Rall,,Female,5W,NR,Outdoor
19:46,NOR,Hildesheim,GER,2006-08-27,Kjersti Tysse Plätzer,1972.0,Female,5W,NR,Outdoor
23:04,TPE,Tokyo,JPN,2020-01-01,Chiang Chia-Jou,2002.0,Female,5W,NR,Outdoor
21:54,TUR,Konya,TUR,2019-04-27,Meryem Bekmez,2000.0,Female,5W,NR,Outdoor
