result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
2:20:29,ERI,Eugene,USA,2022-07-18,Nazret Weldu,1990.0,Female,Mar,NR,Outdoor
2:49:34,ESA,San Salvador,ESA,1988-05-15,Kriscia Lorena Garcia,,Female,Mar,NR,Outdoor
2:21:27,ESP,Valencia,ESP,2023-12-03,Majida Maayouf,1989.0,Female,Mar,NR,Outdoor
2:27:04,EST,Torino,ITA,1997-05-11,Jane Salumäe,1968.0,Female,Mar,NR,Outdoor
2:11:53,ETH,Berlin,GER,2023-09-24,Tigst Assefa,1996.0,Female,Mar,NR,Outdoor
4:13:06,FIJ,Suva,FIJ,2018-07-21,Anna Cowley,,Female,Mar,NR,Outdoor
2:24:38,FIN,Valencia,ESP,2023-12-03,Camilla Richardsson,1993.0,Female,Mar,NR,Outdoor
2:24:12,FRA,Sevilla,ESP,2024-02-18,Meline Rollin,1998.0,Female,Mar,NR,Outdoor
4:13:21,FSM,Chicago,USA,2013-11-13,Renee Haragsim,,Female,Mar,NR,Outdoor
2:49:14,GAB,Paris,FRA,2000-09-04,Josiane Aboungono,1978.0,Female,Mar,NR,Outdoor
2:45:00,GAM,Kassel,GER,2016-09-18,Mariama Jallow,1994.0,Female,Mar,NR,Outdoor
2:15:25,GBR,London,GBR,2003-04-13,Paula Radcliffe,1973.0,Female,Mar,NR,Outdoor
3:18:48,GEO,Philadelphia,USA,2013-11-17,Nino Makharadze,,Female,Mar,NR,Outdoor
2:19:19,GER,Berlin,GER,2008-09-28,Irina Mikitenko,1972.0,Female,Mar,NR,Outdoor
2:42:12,GHA,Accra,GHA,2015-09-21,Sakat Lariba,,Female,Mar,NR,Outdoor
3:00:03,GIB,Sevilla,ESP,2024-02-18,Kim Baglietto,1992.0,Female,Mar,NR,Outdoor
2:33:40,GRE,Budapest,HUN,1998-08-22,Maria Polizou,1968.0,Female,Mar,NR,Outdoor
3:22:40,GRN,New York,USA,1990-11-04,Jennifer Boca,,Female,Mar,NR,Outdoor
2:39:23,GUA,Hamburg,GER,2023-04-23,Sandra Genoveva Raxón,1992.0,Female,Mar,NR,Outdoor
3:20:11,GUI,Carqueiranne,FRA,2003-11-23,Aïda Diallo-Camara,,Female,Mar,NR,Outdoor
2:59:43,GUM,Pensacola,USA,1992-02-29,Jen Allred,1961.0,Female,Mar,NR,Outdoor
