result,nation,venue,date,sex,code,region,venueCountry,venueCity,stadium,environment,discipline,type,firstname,lastname,age,yearOfBirth,wind
3:46.50,GER,Werner-von-Linde-Halle,2024-02-04,Female,NL,ger,GER,München,Werner-von-Linde-Halle,Indoor,4×4,GER,,,,,
45.78,GER,McArthur Stadium,2024-02-06,Male,NL,ger,RSA,Potchefstroom,McArthur Stadium,Outdoor,400,GER,Jean,Paul Bredau,25.0,1999.0,
7:43.15,GER,The Track at New Balance,2024-02-04,Male,NL,ger,USA,"Boston, MA",The Track at New Balance,Indoor,3K0,GER,Maximilian,Thorwirth,29.0,1995.0,
5.66,GER,Mercedes-Benz Arena,2024-02-23,Male,NL,ger,GER,Berlin,Mercedes-Benz Arena,Indoor,STA,GER,Torben,Blech,29.0,1995.0,
17.03,GER,Quarterback Immobilien Arena,2024-02-17,Male,NL,ger,GER,Leipzig,Quarterback Immobilien Arena,Indoor,DRE,GER,Max,Heß,28.0,1996.0,
13:16.43,GER,Boston Univ. Track & Tennis Center,2024-01-26,Male,NL,ger,USA,"Boston, MA",Boston Univ. Track & Tennis Center,Indoor,5K0,GER,Mohamed,Abdilaahi,25.0,1999.0,
11.17,GER,McArthur Stadium,2024-02-06,Female,NL,ger,RSA,Potchefstroom,McArthur Stadium,Outdoor,100,GER,Rebekka,Haase,31,1993,-1.5
32.63,GER,McArthur Stadium,2024-01-30,Male,NL,ger,RSA,Potchefstroom,McArthur Stadium,Outdoor,300,GER,Jean,Paul Bredau,25,1999,
10:44.00,GER,Hartwig-Gauder-Halle,2024-02-02,Male,NL,ger,GER,Erfurt,Hartwig-Gauder-Halle,Indoor,3G,GER,Christopher,Linke,36.0,1988.0,
6:33.98,GER,Sportzentrum Kalbach,2024-02-11,Female,NL,ger,GER,Frankfurt,Sportzentrum Kalbach,Indoor,2K0,GER,Luise,Brzoska,,,
1:35.42,GER,Quarterback Immobilien Arena,2024-02-18,Female,NL,ger,GER,Leipzig,Quarterback Immobilien Arena,Indoor,4×2,GER,,,,,
19.57,GER,Wiedigsburghalle,2024-01-28,Female,NL,ger,GER,Nordhausen,Wiedigsburghalle,Indoor,KUG,GER,Yemisi,Ogunleye,26.0,1998.0,
9:01.77,GER,Glaspalast,2024-01-28,Female,NL,ger,GER,Sindelfingen,Glaspalast,Indoor,3K0,GER,Eva,Dieterich,25.0,1999.0,
2:03.56,GER,Hartwig-Gauder-Halle,2024-02-02,Female,NL,ger,GER,Erfurt,Hartwig-Gauder-Halle,Indoor,800,GER,Jana,Marie Becker,18.0,2006.0,
52.55,GER,Quarterback Immobilien Arena,2024-02-17,Female,NL,ger,GER,Leipzig,Quarterback Immobilien Arena,Indoor,400,GER,Johanna,Martin,18.0,2006.0,
1:18.27,GER,Sportzentrum Kalbach,2024-01-27,Male,NL,ger,GER,Frankfurt,Sportzentrum Kalbach,Indoor,600,GER,Malik,Skupin-Alfa,20,2004,
6.95,GER,Mercedes-Benz Arena,2024-02-23,Female,NL,ger,GER,Berlin,Mercedes-Benz Arena,Indoor,WEI,GER,Malaika,Mihambo,30.0,1994.0,
24:54.74,GER,Sportzentrum Kalbach,2024-01-27,Female,NL,ger,GER,Frankfurt,Sportzentrum Kalbach,Indoor,5G,GER,Tabea,Kiefer,19,2005,
16:18.90,GER,Boston Univ. Track & Tennis Center,2024-02-09,Female,NL,ger,USA,"Boston, MA",Boston Univ. Track & Tennis Center,Indoor,5K0,GER,Hanna,Bruckmayer,23,2001,
90.2,GER,Werferzentrum Brandberge,2024-02-25,Male,NL,ger,GER,Halle,Werferzentrum Brandberge,Outdoor,SPE,GER,Max,Dehning,20.0,2004.0,
