Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;3;40H;M;46.68;;Olympiastadion;SWE;Outdoor;2025-06-15;Alison;Dos Santos;BRA;2000;Male;14755064
AL;3;WEI;W;6.84;0.6;Ulinzi Sports Complex;KEN;Outdoor;2025-05-31;Lissandra;Maysa Campos;BRA;2002;Female;14793014
AL;3;HAM;M;77.69;;Pista de Atletismo Justo Román;ARG;Outdoor;2025-04-25;Joaquin;Gomez;ARG;1996;Male;14444291
AL;3;KUG;W;17.78;;Pista Atlética Eliana Gaete Lazo;CHI;Outdoor;2025-04-05;Ivana;Xennia Gallardo;CHI;1993;Female;14414721
AL;3;DIS;W;62.87;;Pista de Atletismo Justo Román;ARG;Outdoor;2025-04-26;Izabela;Da Silva;BRA;1995;Female;14460894
AL;3;60M;M;6.56;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2025-02-20;Neiker;Abello;COL;2000;Male;14813731
AL;3;5K0;W;15:37.55;;Cobb Track and Angell Field;USA;Outdoor;2025-04-04;Andrea;Paola Bonilla;ECU;1986;Female;14859648.0
AL;3;600;M;1:14.98;;Parc des Sports C. Ehrmann;FRA;Outdoor;2025-05-31;Eduardo;Ribeiro;BRA;2001;Male;14816397
AL;3;STA;W;4.63;;Stadio Quercia;ITA;Outdoor;2025-06-02;Juliana;De Menis Campos;BRA;1996;Female;14545924
AL;3;5G;W;23:00.39;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2025-02-09;Angela;Castro;BOL;1993;Female;14410009
AL;3;1K0;M;2:20.42;;Parc des Sports;FRA;Outdoor;2025-06-07;Leonardo;Santos;BRA;2002;Male;14922119
AL;3;300;W;36.93;;Clemson Indoor Track & Field Complex;USA;Indoor;2025-01-31;Aliyah;Abrams;GUY;1997;Female;14447688
AL;3;3KH;W;9:40.07;;Pista de Atletismo Justo Román;ARG;Outdoor;2025-04-26;Tatiane;Raquel Da Silva;BRA;1990;Female;14269289
AL;3;STA;M;5.6;;Rector Fieldhouse;USA;Indoor;2025-02-07;Ricardo;David Montes;VEN;2006;Male;14999232
AL;3;60H;M;7.64;;Atlas Arena;POL;Indoor;2025-02-08;Rafael;Pereira;BRA;1997;Male;14662635
AL;3;800;M;1:45.01;;Forest Stadium;POL;Outdoor;2025-06-15;Guilherme;Orenhas;BRA;1998;Male;14717831.0
AL;3;SPE;W;64.17;;Percy Beard Track;USA;Outdoor;2025-04-04;Manuela;Rotundo;URU;2004;Female;14937313
AL;3;2KH;M;5:53.36;;Polideportivo Maximo Viloria;VEN;Outdoor;2025-01-31;Jose;Gonzalez;VEN;1994;Male;15079882
AL;3;HOC;W;1.88;;Iowa Francis X. Cretzmeyer Trac;USA;Outdoor;2025-05-03;Maria;Isabel Arboleda;COL;2005;Female;15050829
AL;3;DIS;M;69.65;;Millican Field at Throw Town;USA;Outdoor;2025-04-13;Claudio;Romero;CHI;2000;Male;14718347
AL;3;5K0;M;13:08.76;;Paavo Nurmen Stadion;FIN;Outdoor;2025-06-17;Santiago;Catrofe;URU;1999;Male;14706109
AL;3;10G;M;39:30.86;;Estadio Atlético de la;PER;Outdoor;2025-03-29;Luis;Henry Campos;PER;1995;Male;14591647
AL;3;3K0;M;7:34.10;;Boston Univ. Track & Tennis Center;USA;Indoor;2025-03-02;Valentin;Soca;URU;2002;Male;14887362
AL;3;2KH;W;7:07.7;;Pista de Atletismo Justo Román;ARG;Outdoor;2025-02-08;Joaquina;Dura;ARG;2005;Female;14883943
AL;3;60M;W;7.16;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2025-02-22;Ana;Carolina Azevedo;BRA;1998;Female;14579558
AL;3;800;W;2:02.87;;Cushing Stadium;USA;Outdoor;2025-05-31;Aaliyah;Moore;GUY;2001;Female;14887320
AL;3;4×1;W;43.55;;Estadio de Atletismo - Unidad Deportiva el Salitre;COL;Outdoor;2025-04-05;Atlántico;;COL;;Female;
AL;3;4×4;W;3:29.86;;Tianhe Sports Center;CHN;Outdoor;2025-05-11;Brazil;;BRA;;Female;
AL;3;3G;W;15:31.56;;Alachua County Sports Complex;USA;Indoor;2025-02-28;Lilian;Dumes Bittencourt;BRA;2003;Female;14971684
AL;3;1K0;W;2:46.57;;Parc des Sports;FRA;Outdoor;2025-06-07;Flavia;Maria De Lima;BRA;1993;Female;14496105
AL;3;300;M;33.32;;Clemson Indoor Track & Field Complex;USA;Indoor;2025-01-11;Daniel;Williams;GUY;2000;Male;14746486
AL;3;40H;W;53.99;;Olympiastadion;SWE;Outdoor;2025-06-15;Gianna;Woodruff;PAN;1993;Female;14423522
AL;3;100;M;9.96;1.7;Centro Sportivo Fontanassa;ITA;Outdoor;2025-05-21;Ronal;Longa;COL;2004;Male;14992007
AL;3;10K;M;27:37.65;;JSerra Catholic;USA;Outdoor;2025-03-29;Valentin;Soca;URU;2002;Male;14887362
AL;3;200;M;20.48;1.0;Weaver Stadium;USA;Outdoor;2025-05-17;Jackson;Clarke;GUY;2005;Male;15077923.0
AL;3;200;M;20.48;;Alachua County Sports Complex;USA;Indoor;2025-03-01;Daniel;Williams;GUY;2000;Male;14746486.0
AL;3;SPE;M;86.34;;Ulinzi Sports Complex;KEN;Outdoor;2025-05-31;Luiz;Mauricio Da Silva;BRA;2000;Male;14723385
AL;3;600;W;1:26.25;;South Carolina Indoor T&F Complex;USA;Indoor;2025-01-11;Aliyah;Abrams;GUY;1997;Female;14447688
AL;3;60H;W;7.99;;Convention Center;USA;Indoor;2025-02-01;Maribel;Vanessa Caicedo;ECU;1998;Female;14621562
AL;3;DRE;W;14.17;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2025-02-23;Regiclecia;Candido;BRA;2002;Female;14897112
AL;3;10H;W;12.7;1.2;Ray Conn Sports Complex;USA;Outdoor;2025-05-31;Maribel;Vanessa Caicedo;ECU;1998;Female;14621562
AL;3;200;W;22.85;2.0;Helmántico;ESP;Outdoor;2025-06-07;Nicole;Caicedo;ECU;2000;Female;14762639
AL;3;HAM;W;71.04;;Pista de Atletismo Justo Román;ARG;Outdoor;2025-04-25;Rosa;Andreina Rodríguez;VEN;1986;Female;14325206
AL;3;50H;M;6.55;;Arena Stade Couvert;FRA;Indoor;2025-02-13;Rafael;Pereira;BRA;1997;Male;14662635
AL;3;HOC;M;2.22;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2025-02-23;Thiago;Moura;BRA;1995;Male;14488481
AL;3;100;W;11.21;1.2;Pista de Atletismo Justo Román;ARG;Outdoor;2025-04-25;Vitoria;Cristina Rosa;BRA;1996;Female;14481687
AL;3;10K;W;31:36.48;;JSerra Catholic;USA;Outdoor;2025-03-29;Florencia;Borelli;ARG;1992;Female;14370115.0
AL;3;400;M;44.53;;Ansin Sports Complex;USA;Outdoor;2025-05-04;Alison;Dos Santos;BRA;2000;Male;14755064.0
AL;3;KUG;M;20.93;;CNDA;BRA;Outdoor;2025-03-29;Willian;Dourado;BRA;1994;Male;14497005
AL;3;400;W;49.8;;Estadio de Atletismo - Unidad Deportiva el Salitre;COL;Outdoor;2025-04-06;Evelis;Aguilar;COL;1993;Female;14369345
AL;3;MEI;M;3:56.58;;George Mason Stadium;USA;Outdoor;2025-05-24;Camden;Gilmore;PAR;2000;Male;14841605
