Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nat;YOB;Sex;WorldathleticsId
NL;GER;60M;M;6.56;;Helmut-Körnig-Halle;GER;Indoor;2025-01-18;Joshua;Hartmann;GER;1999;Male;14705838
NL;GER;60M;M;6.56;;Helmut-Körnig-Halle;GER;Indoor;2025-02-22;Robin;Ganter;GER;2001;Male;14774667
NL;GER;2KH;M;5:20.03;;Heinz-Steyer-Stadion;GER;Outdoor;2025-05-24;Karl;Bebendorf;GER;1996;Male;14597064
NL;GER;HOC;M;2.27;;Marktplatz;GER;Outdoor;2025-08-10;Tobias;Potye;GER;1995;Male;14481078
NL;GER;60H;M;7.56;;PSD Bank Dome;GER;Indoor;2025-02-09;Manuel;Mordi;GER;2003;Male;14930161
NL;GER;800;M;1:44.17;;TSV Stadion;GER;Outdoor;2025-06-14;Alexander;Stepanov;GER;2004;Male;14984080
NL;GER;STA;W;4.5;;Helmut-Körnig-Halle;GER;Indoor;2025-02-23;Anjuli;Knäsche;GER;1993;Female;14373304
NL;GER;400;M;45.11;;Stadion am Göldner;GER;Outdoor;2025-08-15;Jean;Paul Bredau;GER;1999;Male;14771929
NL;GER;5K0;M;12:53.63;;Stade Louis;MON;Outdoor;2025-07-11;Mohamed;Abdilaahi;GER;1999;Male;14753471
NL;GER;3K0;M;7:37.31;;Letzigrund;SUI;Outdoor;2025-08-28;Mohamed;Abdilaahi;GER;1999;Male;14753471
NL;GER;10K;M;27:39.82;;JSerra Catholic;USA;Outdoor;2025-03-29;Davor;Aaron Bienenfeld;GER;1997;Male;14716024
NL;GER;HAM;W;72.53;;Fana Stadion;NOR;Outdoor;2025-07-18;Aileen;Kuhn;GER;2003;Female;14840255
NL;GER;400;W;51.55;;Estadio Vallehermoso;ESP;Outdoor;2025-06-27;Johanna;Martin;GER;2006;Female;14996565
NL;GER;1K5;W;4:03.57;;National Stadium;JPN;Outdoor;2025-09-13;Nele;Weßel;GER;1999;Female;14625525
NL;GER;5G;W;22:27.00;;Fritz-Lesch-Stadion;GER;Outdoor;2025-05-10;Kylie;Garreis;GER;2005;Female;14984079
NL;GER;10G;M;40:00.90;;Fana Stadion;NOR;Outdoor;2025-07-20;Frederick;Weigel;GER;2005;Male;14977283
