code;type;discipline;class;result;sex
SDMU23;GER;100;MU23;11,40;M
SDMU23;GER;200;MU23;22,90;M
SDMU23;GER;400;MU23;51,10;M
SDMU23;GER;800;MU23;1:59,20;M
SDMU23;GER;1K5;MU23;4:10,20;M
SDMU23;GER;5K0;MU23;15:55,20;M
SDMU23;GER;11H;MU23;16,50;M
SDMU23;GER;40H;MU23;60,00;M
SDMU23;GER;WEI;MU23;6,65;M
SDMU23;GER;DRE;MU23;12,80;M
SDMU23;GER;KUG;MU23;13,00;M
SDMU23;GER;DIS;MU23;38,00;M
SDMU23;GER;HAM;MU23;40,00;M
SDMU23;GER;SPE;MU23;53,00;M
SDMU23;GER;100;WU23;12,70;W
SDMU23;GER;200;WU23;26,30;W
SDMU23;GER;400;WU23;60,80;W
SDMU23;GER;800;WU23;2:22,00;W
SDMU23;GER;1K5;WU23;4:58,00;W
SDMU23;GER;5K0;WU23;19:00,00;W
SDMU23;GER;10H;WU23;16,00;W
SDMU23;GER;40H;WU23;68,00;W
SDMU23;GER;WEI;WU23;5,50;W
SDMU23;GER;DRE;WU23;10,50;W
SDMU23;GER;KUG;WU23;12,00;W
SDMU23;GER;DIS;WU23;35,00;W
SDMU23;GER;HAM;WU23;37,50;W
SDMU23;GER;SPE;WU23;38,50;W
