Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
NL;GER;WEI;MJU20;7.31;0.3;Jahnstadion;GER;Outdoor;2025-05-03;Gian;Luca Trotzky;GER;2007;Male;15032629.0
NL;GER;4×1;MJU20;40.13;;Schönbuchstadion;GER;Outdoor;2025-05-18;Germany;U18;GER;;Male;
NL;GER;HAM;MJU20;62.92;;Waldstadion;GER;Outdoor;2025-05-31;Timo;Port;GER;2006;Male;15017340
NL;GER;60H;MJU20;8.74;;Sportforum;GER;Indoor;2025-01-25;Aidan;Ballaschke;GER;;Male;15062488
NL;GER;10H;WJU20;13.33;1.9;Heinz-Steyer-Stadion;GER;Outdoor;2025-05-24;Samita;Schatz;GER;2006;Female;14953572
NL;GER;3K0;WJU20;9:02.99;;Schönbuchstadion;GER;Outdoor;2025-05-18;Lera;Miller;GER;2007;Female;14997769
NL;GER;STA;WJU20;4.16;;Raiffeisen athletics-center;SUI;Indoor;2025-01-12;Anna;Hiesinger;GER;2007;Female;14984679
NL;GER;200;WJU20;23.11;1.6;Sepp-Herberger-Stadion;GER;Outdoor;2025-05-24;Judith;Bilepo Mokobe;GER;2006;Female;15045843
NL;GER;1K0;WJU20;2:51.25;;Schönbuchstadion;GER;Outdoor;2025-05-18;Leni;Hirt;GER;;Female;15100796
NL;GER;600;WJU20;1:31.06;;Schönbuchstadion;GER;Outdoor;2025-05-18;Helena;Guttke;GER;;Female;15062506
NL;GER;600;MJU20;1:18.57;;Schönbuchstadion;GER;Outdoor;2025-05-18;Andor;Rik Schumann;GER;;Male;15123880
NL;GER;HAM;WJU20;68.54;;Hillside Stadium;CAN;Outdoor;2025-03-14;Nova;Kienast;GER;2007;Female;14950299
