code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,2,50M,5.76,,Field House,CAN,Saskatoon,Indoor,2024-01-26,,JaVaughn,Moore,USA,2000.0,Male
AL,2,KUG,20.22,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-01,,Sarah,Mitton,CAN,1996.0,Female
AL,2,3K0,8:20.87,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Elle,St. Pierre,USA,1995.0,Female
AL,2,4×1,45.25,,Pista Atletica Raul Rodriguez,PUR,Villalba,Outdoor,2024-03-09,,,,PUR,,Female
AL,2,STA,4.83,,Maison des Sports,FRA,Clermont-Ferrand,Indoor,2024-02-22,,Alysha,Newman,CAN,1994.0,Female
AL,2,STA,4.83,,Maison des Sports,FRA,Clermont-Ferrand,Indoor,2024-02-22,,Bridget,Williams,USA,1996.0,Female
AL,2,10K,29:56.83,,Unidad Deportiva Agustín Flores,MEX,Puerto Vallarta,Outdoor,2024-02-04,,Victor,Daniel Gomez,MEX,,Male
AL,2,SPE,63.9,,Pista La Salobreja,ESP,Jaén,Outdoor,2024-02-24,,Yulenmis,Aguilar,CUB,1996.0,Female
AL,2,HAM,74.3,,Centro Deportivo Olímpico Mexicano,MEX,Ciudad de México,Outdoor,2024-01-20,,Diego,Del Real,MEX,1994.0,Male
AL,2,DRE,15.01,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-03,,Thea,Lafond,DMA,1994.0,Female
AL,2,10K,35:35.39,,Macrocentro Deportivo León,MEX,León,Outdoor,2024-01-19,,Arian,Iveth Chia Hernández,MEX,2001.0,Female
AL,2,4×4,3:25.34,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-03,,,,USA,,Female
AL,2,1K5,3:33.43,,Armory Track&Field Center,USA,"New York, NY",Indoor,2024-02-11,,Yared,Nuguse,USA,1999.0,Male
AL,2,60M,6.41,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-01,,Christian,Coleman,USA,1996.0,Male
AL,2,HOC,2.0,,Randal Tyson Indoor Center,USA,"Fayetteville, AR",Indoor,2024-02-24,,Lamara,Distin,JAM,2000.0,Female
AL,2,HOC,2.0,,The Track at New Balance,USA,"Boston, MA",Indoor,2024-03-09,,Rachel,Glenn,USA,2002.0,Female
AL,2,600,1:24.32,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-09,,Nia,Akins,USA,1998.0,Female
AL,2,4×4,3:32.21,,Pista Atletica Raul Rodriguez,PUR,Villalba,Outdoor,2024-03-09,,,,PUR,,Mixed
AL,2,1K5,4:00.34,,Armory Track&Field Center,USA,"New York, NY",Indoor,2024-02-11,,Elle,St. Pierre,USA,1995.0,Female
AL,2,2KH,6:06.79,,GC Foster College,JAM,Spanish Town,Outdoor,2024-01-20,,Nellie,Ambriton,VIN,2004.0,Male
AL,2,WEI,7.18,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-16,,Tara,Davis-Woodhall,USA,1999.0,Female
AL,2,KUG,22.8,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-17,,Ryan,Crouser,USA,1992.0,Male
AL,2,400,50.24,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Alexis,Holmes,USA,2000.0,Female
AL,2,10G,38:25.42,,AIS Athletics Track,AUS,Canberra,Outdoor,2024-01-28,,Evan,Dunfee,CAN,1990.0,Male
AL,2,11H,14.2,1.5,Jack Rose Track,USA,"Long Beach, CA",Outdoor,2024-03-02,,Nnamdi,Onwaeze,USA,,Male
AL,2,1K0,2:14.74,,The Track at New Balance,USA,"Boston, MA",Indoor,2024-02-04,,Marco,Arop,CAN,1998.0,Male
AL,2,60H,7.65,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-03,,Devynne,Charlton,BAH,1995.0,Female
AL,2,HOC,2.33,,Městská sportovní hala,CZE,Hustopeče,Indoor,2024-02-10,,Shelby,Mcewen,USA,1996.0,Male
AL,2,200,22.16,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-02,,Julien,Alfred,LCA,2001.0,Female
AL,2,3G,11:56.06,,Convention Center,USA,"Albuquerque, NM",Indoor,2024-02-16,,Nick,Christie,USA,1991,Male
AL,2,5K0,14:46.51,,Boston Univ. Track & Tennis Center,USA,"Boston, MA",Indoor,2024-01-27,,Josette,Andrews,USA,1995.0,Female
AL,2,800,1:44.92,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-03,,Bryce,Hoppel,USA,1997.0,Male
AL,3,3K0,8:20.02,,National Indoor Arena,IRL,"Abbotstown, Dublin",Indoor,2024-02-18,,Juan,Peña,CHI,1991.0,Male
AL,3,400,44.52,,COTP Stadium,BRA,São Paulo,Outdoor,2024-03-02,,Matheus,Lima,BRA,2003.0,Male
AL,3,4×1,39.67,,Pista de Atletismo SND,PAR,Asunción,Outdoor,2024-03-02,,,,PAR,,Male
AL,,4×4,3:11.13,,Clemson Indoor Track & Field Complex,USA,"Clemson, SC",Indoor,2024-01-13,,,,INT,,Male
AL,3,DRE,16.63,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Almir,Dos Santos,BRA,1993.0,Male
AL,3,5K0,13:59.91,,"R.A. ""Murray"" Fasken Indoor Track Stadium",USA,"College Station, TX",Indoor,2024-02-02,,Tomas,Vega,ARG,2002,Male
AL,3,3KH,10:30.58,,Estadio de Atletismo La Flora,COL,Bucaramanga,Outdoor,2024-03-01,,Stefany,López Mendoza,COL,2002,Female
AL,3,100,10.23,1.2,National Track and Field Centre,GUY,Leonora,Outdoor,2024-03-02,,Noelex,Holder,GUY,1999.0,Male
AL,3,MEI,4:33.04,,Dempsey Indoor,USA,"Seattle, WA",Indoor,2024-02-10,,Carmen,Alder Caisalitin,ECU,2003.0,Female
AL,3,3KH,9:14.69,,Estadio de Atletismo La Flora,COL,Bucaramanga,Outdoor,2024-03-01,,Frank,Geovani Duran,COL,2001,Male
AL,3,3G,15:45.12,,Pista Atlética Lázaro Escobar,CHI,Temuco,Outdoor,2024-03-02,,Daniela,Paz,CHI,2004,Female
AL,3,2KH,7:41.50,,Estadio Brigido Iriarte,VEN,Caracas,Outdoor,2024-01-12,,Albanis,Santana,VEN,,Female
AL,3,HAM,66.61,,Pista Atlética Lázaro Escobar,CHI,Temuco,Outdoor,2024-03-02,,Mariana,García,CHI,1999,Female
AL,3,5G,23:56.70,,Estadio Municipal de Coronel,CHI,Los Angeles,Outdoor,2024-03-02,,Anastasia,Sanzana,CHI,1998,Female
AL,3,300,33.7,,Clemson Indoor Track & Field Complex,USA,"Clemson, SC",Indoor,2024-01-13,,Arinze,Chance,GUY,1996,Male
AL,3,SPE,76.61,,Centro de Treinamento Paralímpico Brasileiro,BRA,São Paulo,Outdoor,2024-03-03,,Luiz,Mauricio Da Silva,BRA,2000.0,Male
AL,3,60M,7.27,,Pista de Atletismo do CNTA,BRA,Cascavel,Indoor,2024-02-17,,Anny,Caroline De Bassi,BRA,1997.0,Female
AL,3,600,1:19.76,,Vanderbilt Multipurpose Facility,USA,"Nashville, TN",Indoor,2024-02-09,,José,Guillermo Peñalver,VEN,2000,Male
AL,3,10H,13.38,0.0,COTP Stadium,BRA,São Paulo,Outdoor,2024-02-17,,Adelly,Oliveira Brito,BRA,1987.0,Female
AL,3,1K0,2:47.49,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-02-23,,Carmen,Alder Caisalitin,ECU,2003.0,Female
AL,3,60H,7.58,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-28,,Eduardo,Rodrigues,BRA,1995.0,Male
AL,3,MEI,4:10.15,,National Indoor Arena,IRL,"Abbotstown, Dublin",Indoor,2024-02-07,,Juan,Peña,CHI,1991,Male
AL,3,40H,50.17,,Centro de Atletismo Professor Oswaldo Terra,BRA,Sao Bernardo do Campo,Outdoor,2024-03-09,,Francisco,Guilherme Dos Reis Viana,BRA,1999.0,Male
AL,3,40H,56.48,,COTP Stadium,BRA,São Paulo,Outdoor,2024-02-24,,Chayenne,Da Silva,BRA,2000.0,Female
AL,3,100,11.37,0.4,COTP Stadium,BRA,São Paulo,Outdoor,2024-03-02,,Gabriela,Aline Grunow,BRA,1998.0,Female
