code;type;discipline;class;result;sex
DMU16;GER;100;M14;11,80;M
DMU16;GER;300;M14;38,50;M
DMU16;GER;800;M14;2:06,00;M
DMU16;GER;3K0;M14;9:55,00;M
DMU16;GER;80H;M14;11,40;M
DMU16;GER;30H;M14;44,00;M
DMU16;GER;15H;M14;5:05,00;M
DMU16;GER;HOC;M14;1,78;M
DMU16;GER;STA;M14;3,60;M
DMU16;GER;WEI;M14;6,20;M
DMU16;GER;DRE;M14;11,60;M
DMU16;GER;KUG;M14;14,00;M
DMU16;GER;DIS;M14;45,00;M
DMU16;GER;HAM;M14;40,00;M
DMU16;GER;SPE;M14;49,00;M
DMU16;GER;100;M15;11,80;M
DMU16;GER;300;M15;38,50;M
DMU16;GER;800;M15;2:06,00;M
DMU16;GER;3K0;M15;9:55,00;M
DMU16;GER;80H;M15;11,40;M
DMU16;GER;30H;M15;44,00;M
DMU16;GER;15H;M15;5:05,00;M
DMU16;GER;HOC;M15;1,78;M
DMU16;GER;STA;M15;3,60;M
DMU16;GER;WEI;M15;6,20;M
DMU16;GER;DRE;M15;11,60;M
DMU16;GER;KUG;M15;14,00;M
DMU16;GER;DIS;M15;45,00;M
DMU16;GER;HAM;M15;40,00;M
DMU16;GER;SPE;M15;49,00;M
DMU16;GER;4X1;MJU16;48,00;M
DMU16;GER;100;W14;12,75;W
DMU16;GER;300;W14;42,70;W
DMU16;GER;800;W14;2:22,20;W
DMU16;GER;3K0;W14;11:15,00;W
DMU16;GER;80H;W14;12,20;W
DMU16;GER;30H;W14;48,00;W
DMU16;GER;15H;W14;5:40,00;W
DMU16;GER;HOC;W14;1,65;W
DMU16;GER;STA;W14;3,00;W
DMU16;GER;WEI;W14;5,45;W
DMU16;GER;DRE;W14;10,80;W
DMU16;GER;KUG;W14;11,90;W
DMU16;GER;DIS;W14;33,00;W
DMU16;GER;HAM;W14;38,00;W
DMU16;GER;SPE;W14;39,00;W
DMU16;GER;100;W15;12,75;W
DMU16;GER;300;W15;42,70;W
DMU16;GER;800;W15;2:22,20;W
DMU16;GER;3K0;W15;11:15,00;W
DMU16;GER;80H;W15;12,20;W
DMU16;GER;30H;W15;48,00;W
DMU16;GER;15H;W15;5:40,00;W
DMU16;GER;HOC;W15;1,65;W
DMU16;GER;STA;W15;3,00;W
DMU16;GER;WEI;W15;5,45;W
DMU16;GER;DRE;W15;10,80;W
DMU16;GER;KUG;W15;11,90;W
DMU16;GER;DIS;W15;33,00;W
DMU16;GER;HAM;W15;38,00;W
DMU16;GER;SPE;W15;39,00;W
DMU16;GER;4X1;WJU16;51,20;W
