result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
7:23.63,,NOR,Eugene OR,USA,2023-09-17,Jakob Ingebrigtsen,2000.0,Male,Outdoor,AR,3K0,1
7:25.47,,USA,Eugene OR,USA,2023-09-17,Grant Fisher,1997.0,Male,Outdoor,AR,3K0,2
7:28.02,,AUS,Roma,ITA,2020-09-17,Stewart McSweyn,1995.0,Male,Outdoor,AR,3K0,6
7:37.15,,URU,Zagreb,CRO,2023-09-10,Santiago Catrofe,1999.0,Male,Outdoor,AR,3K0,3
7:52.11,,ETH,Paris,FRA,2023-06-09,Lamecha Girma,2000.0,Male,Outdoor,AR,3KH,4
7:53.63,,QAT,Bruxelles,BEL,2004-09-03,Saif Saeed Shaheen,1982.0,Male,Outdoor,AR,3KH,5
8:00.09,,FRA,Saint-Denis,FRA,2013-07-06,Mahiedine Mekhissi-Benabbad,1985.0,Male,Outdoor,AR,3KH,1
8:00.45,,USA,Saint-Denis,FRA,2015-07-04,Evan Jager,1989.0,Male,Outdoor,AR,3KH,2
8:13.26,,NZL,Monaco,MON,2023-07-21,George Beamish,1996.0,Male,Outdoor,AR,3KH,6
8:14.41,,BRA,Mar del Plata,ARG,1995-03-22,Wander Moura,1969.0,Male,Outdoor,AR,3KH,3
37.65,,RSA,Doha,QAT,2019-10-04,South Africa,,Male,Outdoor,AR,4×1,4
37.43,,JPN,Doha,QAT,2019-10-05,Japan,,Male,Outdoor,AR,4×1,5
37.36,,GBR,Doha,QAT,2019-10-05,Great Britain,,Male,Outdoor,AR,4×1,1
36.84,,JAM,London,GBR,2012-08-11,Jamaica,,Male,Outdoor,AR,4×1,2
38.17,,AUS,Göteborg/U,SWE,1995-08-12,Australia,,Male,Outdoor,AR,4×1,6
38.17,,AUS,London,GBR,2012-08-10,Australia,,Male,Outdoor,AR,4×1,6
37.72,,BRA,Doha,QAT,2019-10-05,Brazil,,Male,Outdoor,AR,4×1,3
1:20.42,,RSA,Yokohama,JPN,2019-05-12,South Africa,,Male,Outdoor,AR,4×2,4
1:20.83,,CHN,Xi'an,CHN,2021-09-23,China,,Male,Outdoor,AR,4×2,5
