result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
8.44,,RSA,Birmingham,GBR,2018-03-02,Luvo Manyonga,1991.0,Male,Indoor,AR,WEI,4
8.27,,CHN,Nanjing,CHN,2010-03-11,Su Xiongfeng,1987.0,Male,Indoor,AR,WEI,5
8.71,,GER,Torino,ITA,2009-03-08,Sebastian Bayer,1986.0,Male,Indoor,AR,WEI,1
8.79,,USA,New York NY,USA,1984-01-27,Carl Lewis,1961.0,Male,Indoor,AR,WEI,2
8.25,,AUS,Portland OR,USA,2016-03-20,Fabrice LaPierre,1983.0,Male,Indoor,AR,WEI,6
8.42,,PAN,Athína,GRE,2008-02-13,Irving Saladino,1983.0,Male,Indoor,AR,WEI,3
3:47.01,,ETH,Boston MA,USA,2019-03-03,Yomif Kejelcha,1997.0,Male,Indoor,AR,MEI,4
3:54.84,,JPN,Boston MA,USA,2024-02-10,Ryuma Aoki,1997.0,Male,Indoor,AR,MEI,5
3:48.93,,GBR,New York NY,USA,2024-02-11,George Mills,1999.0,Male,Indoor,AR,MEI,1
3:47.38,,USA,New York NY,USA,2023-02-11,Yared Nuguse,1999.0,Male,Indoor,AR,MEI,2
3:50.83,,AUS,New York NY,USA,2022-01-29,Olli Hoare,1997.0,Male,Indoor,AR,MEI,6
3:50.83,,AUS,New York NY,USA,2023-02-11,Olli Hoare,1997.0,Male,Indoor,AR,MEI,6
3:56.26,,BRA,Fayetteville AR,USA,2001-02-10,Hudson de Souza,1977.0,Male,Indoor,AR,MEI,3
5.93,,PHI,Berlin,GER,2024-02-23,Ernest John Obiena,1995.0,Male,Indoor,AR,STA,5
6.22,,SWE,Clermont-Ferrand,FRA,2023-02-25,Armand Duplantis,1999.0,Male,Indoor,AR,STA,1
6.01,,USA,Rouen,FRA,2020-02-08,Sam Kendricks,1992.0,Male,Indoor,AR,STA,2
6.06,,AUS,Boston MA,USA,2009-02-07,Steve Hooker,1982.0,Male,Indoor,AR,STA,6
5.95,,BRA,Beograd,SRB,2022-03-20,Thiago Braz,1993.0,Male,Indoor,AR,STA,3
21.63,,NGR,Nehvizdy,CZE,2024-02-20,Chukwuebuka Enekwechi,1993.0,Male,Indoor,AR,KUG,4
21.10,,BRN,Gomel,BLR,2021-01-29,Abdelrahman Mahmoud,2001.0,Male,Indoor,AR,KUG,5
22.55,,GER,Senftenberg,GER,1989-02-11,Ulf Timmermann,1962.0,Male,Indoor,AR,KUG,1
23.38,,USA,Pocatello ID,USA,2023-02-18,Ryan Crouser,1992.0,Male,Indoor,AR,KUG,2
22.31,,NZL,Birmingham,GBR,2018-03-03,Tom Walsh,1992.0,Male,Indoor,AR,KUG,6
22.31,,NZL,Beograd,SRB,2022-03-19,Tom Walsh,1992.0,Male,Indoor,AR,KUG,6
22.53,,BRA,Beograd,SRB,2022-03-19,Darlan Romani,1991.0,Male,Indoor,AR,KUG,3
18.07,,BUR,Aubière,FRA,2021-01-16,Hugues Fabrice Zango,1993.0,Male,Indoor,AR,DRE,4
17.41,,CHN,Nanjing,CHN,2016-02-29,Dong Bin,1988.0,Male,Indoor,AR,DRE,5
17.92,,FRA,Paris,FRA,2011-03-06,Teddy Tamgho,1989.0,Male,Indoor,AR,DRE,1
17.83,,CUB,Sindelfingen,GER,1997-03-01,Aliecer Urrutia,1974.0,Male,Indoor,AR,DRE,2
17.20,,AUS,Lisboa,POR,2001-03-09,Andrew Murphy,1969.0,Male,Indoor,AR,DRE,6
17.56,,BRA,Moskva,RUS,2006-03-12,Jadel Gregório,1980.0,Male,Indoor,AR,DRE,3
29:01.03,,ETH,Hengelo,NED,2021-06-08,Letesenbet Gidey,1998.0,Female,Outdoor,AR,10K,4
29:31.78,,CHN,Beijing,CHN,1993-09-08,Wang Junxia,1973.0,Female,Outdoor,AR,10K,5
29:06.82,,NED,Hengelo,NED,2021-06-06,Sifan Hassan,1993.0,Female,Outdoor,AR,10K,1
30:03.82,,USA,San Juan Capistrano CA,USA,2023-03-04,Alicia Monson,1998.0,Female,Outdoor,AR,10K,2
30:35.54,,NZL,Stanford CA,USA,2008-05-04,Kim Smith,1981.0,Female,Outdoor,AR,10K,6
31:47.76,,BRA,Stuttgart,GER,1993-08-21,Carmen de Oliveira,1965.0,Female,Outdoor,AR,10K,3
43:50.86,,KEN,Birmingham,GBR,2022-08-06,Emily Ngii,1986.0,Female,Outdoor,AR,10G,4
44:13.88,,MEX,Tampere,FIN,2018-07-14,Alegna Gonzalez,1999.0,Female,Outdoor,AR,10G,2
41:57.22,,AUS,Seattle WA,USA,1990-07-24,Kerry Saxby-Junna,1961.0,Female,Outdoor,AR,10G,6
42:02.99,,COL,Trujillo2,PER,2018-08-25,Sandra Arenas,1993.0,Female,Outdoor,AR,10G,3
2:29.15,,KEN,Monaco,MON,2020-08-14,Faith Kipyegon,1994.0,Female,Outdoor,AR,1K0,4
2:33.00,,CHN,Beijing,CHN,1993-11-09,Qu Yunxia,,Female,Outdoor,AR,1K0,5
2:28.98,,RUS,Bruxelles,BEL,1996-08-23,Svetlana Masterkova,1968.0,Female,Outdoor,AR,1K0,1
2:31.80,,USA,Brunswick ME,USA,1999-07-03,Regina Jacobs,1963.0,Female,Outdoor,AR,1K0,2
2:34.63,,AUS,Bern,SUI,2023-08-04,Abbey Caldwell,2001.0,Female,Outdoor,AR,1K0,6
2:32.25,,SUR,Berlin,GER,1991-09-10,Letitia Vriesde,1964.0,Female,Outdoor,AR,1K0,3
10.75,0.9,CIV,Oslo,NOR,2023-06-15,Marie Josée Ta Lou,1988.0,Female,Outdoor,AR,100,4
10.79,0.0,CHN,Shanghai,CHN,1997-10-18,Li Xuemei,1977.0,Female,Outdoor,AR,100,5
10.73,2.0,FRA,Budapest,HUN,1998-08-19,Christine Arron,1973.0,Female,Outdoor,AR,100,1
10.49,0.0,USA,Indianapolis IN,USA,1988-07-16,Florence Griffith-Joyner,1959.0,Female,Outdoor,AR,100,2
10.96,2.0,NZL,La Chaux-de-Fonds,SUI,2023-07-02,Zoe Hobbs,1997.0,Female,Outdoor,AR,100,6
10.91,-0.2,BRA,London,GBR,2017-08-06,Rosângela Santos,1990.0,Female,Outdoor,AR,100,3
12.12,0.9,NGR,Eugene OR,USA,2022-07-24,Tobi Amusan,1997.0,Female,Outdoor,AR,10H,4
12.44,-0.8,KAZ,Luzern,SUI,1995-06-27,Olga Shishigina,1968.0,Female,Outdoor,AR,10H,5
12.21,0.7,BUL,Stara Zagora,BUL,1988-08-20,Yordanka Donkova,1961.0,Female,Outdoor,AR,10H,1
12.20,0.3,USA,London,GBR,2016-07-22,Kendra Harrison,1992.0,Female,Outdoor,AR,10H,2
12.28,1.1,AUS,Daegu,KOR,2011-09-03,Sally Pearson,1986.0,Female,Outdoor,AR,10H,6
12.71,0.1,BRA,Manaus,BRA,2001-05-19,Maurren Higa Maggi,1976.0,Female,Outdoor,AR,10H,3
3:49.11,,KEN,Firenze,ITA,2023-06-02,Faith Kipyegon,1994.0,Female,Outdoor,AR,1K5,4
3:50.46,,CHN,Beijing,CHN,1993-09-11,Qu Yunxia,1972.0,Female,Outdoor,AR,1K5,5
3:51.95,,NED,Doha,QAT,2019-10-05,Sifan Hassan,1993.0,Female,Outdoor,AR,1K5,1
3:54.99,,USA,Doha,QAT,2019-10-05,Shelby Houlihan,1993.0,Female,Outdoor,AR,1K5,2
3:56.92,,AUS,Eugene OR,USA,2023-09-16,Linden Hall,1991.0,Female,Outdoor,AR,1K5,6
4:05.67,,SUR,Tokyo,JPN,1991-08-31,Letitia Vriesde,1964.0,Female,Outdoor,AR,1K5,3
5:21.56,,BDI,Zagreb,CRO,2021-09-14,Francine Niyonsaba,1993.0,Female,Outdoor,AR,2K0,4
5:29.65,,CHN,Beijing,CHN,1993-09-12,Wang Junxia,1973.0,Female,Outdoor,AR,2K0,5
5:25.36,,IRL,Edinburgh,GBR,1994-07-08,Sonia O'Sullivan,1969.0,Female,Outdoor,AR,2K0,1
5:29.41,,USA,Beijing,CHN,1993-12-09,Xi Wang,1971.0,Female,Outdoor,AR,2K0,2
5:59.96,,BOL,Rivas,ESP,2004-06-10,Niusha Mancilla,1971.0,Female,Outdoor,AR,2K0,3
21.78,0.6,NAM,Zürich,SUI,2021-09-09,Christine Mboma,2003.0,Female,Outdoor,AR,200,4
22.01,0.0,CHN,Shanghai,CHN,1997-10-22,Li Xuemei,1977.0,Female,Outdoor,AR,200,5
21.63,0.2,NED,Beijing,CHN,2015-08-28,Dafne Schippers,1992.0,Female,Outdoor,AR,200,1
21.34,1.3,USA,Seoul,KOR,1988-09-29,Florence Griffith-Joyner,1959.0,Female,Outdoor,AR,200,2
22.23,0.8,AUS,Stuttgart,GER,1997-07-13,Melinda Gainsford-Taylor,1971.0,Female,Outdoor,AR,200,6
22.47,1.4,BRA,Eugene OR,USA,2022-07-19,Vitoria Cristina Rosa,1996.0,Female,Outdoor,AR,200,3
8:06.11,,CHN,Beijing,CHN,1993-09-13,Wang Junxia,1973.0,Female,Outdoor,AR,3K0,5
8:18.49,,NED,Stanford CA,USA,2019-06-30,Sifan Hassan,1993.0,Female,Outdoor,AR,3K0,1
8:31.81,,AUS,Sydney,AUS,2023-03-11,Jessica Hull,1996.0,Female,Outdoor,AR,3K0,6
8:43.26,,VEN,Chorzów,POL,2023-07-16,Joselyn Daniely Brea,1994.0,Female,Outdoor,AR,3K0,3
8:44.32,,KEN,Monaco,MON,2018-07-20,Beatrice Chepkoech,1991.0,Female,Outdoor,AR,3KH,4
8:50.66,,BRN,Eugene OR,USA,2023-09-16,Winfred Yavi,1999.0,Female,Outdoor,AR,3KH,5
8:58.81,,RUS,Beijing,CHN,2008-08-17,Gulnara Galkina,1978.0,Female,Outdoor,AR,3KH,1
8:57.77,,USA,Eugene OR,USA,2021-08-21,Courtney Frerichs,1993.0,Female,Outdoor,AR,3KH,2
9:14.28,,AUS,Saint-Denis,FRA,2016-08-27,Genevieve Gregson,1989.0,Female,Outdoor,AR,3KH,6
9:24.38,,BRA,Watford,GBR,2022-06-11,Tatiane Raquel da Silva,1990.0,Female,Outdoor,AR,3KH,3
41.90,,CIV,Budapest,HUN,2023-08-25,Ivory Coast,,Female,Outdoor,AR,4×1,4
42.23,,CHN,Shanghai,CHN,1997-10-23,China,,Female,Outdoor,AR,4×1,5
41.37,,GER,Canberra,AUS,1985-10-06,Germany,,Female,Outdoor,AR,4×1,1
40.82,,USA,London,GBR,2012-08-10,United States,,Female,Outdoor,AR,4×1,2
42.99,,AUS,Pietersburg,RSA,2000-03-18,Australia,,Female,Outdoor,AR,4×1,6
42.29,,BRA,Moskva,RUS,2013-08-18,Brazil,,Female,Outdoor,AR,4×1,3
1:30.52,,NGR,Nassau,BAH,2015-05-02,Nigeria,,Female,Outdoor,AR,4×2,4
1:32.76,,CHN,Yokohama,JPN,2019-05-12,China,,Female,Outdoor,AR,4×2,5
1:28.15,,GER,Jena,GER,1980-08-09,Germany,,Female,Outdoor,AR,4×2,1
1:35.91,,ECU,Yokohama,JPN,2019-05-12,Ecuador,,Female,Outdoor,AR,4×2,3
3:21.04,,NGR,Atlanta GA,USA,1996-08-03,Nigeria,,Female,Outdoor,AR,4×4,4
3:24.28,,CHN,Beijing,CHN,1993-09-13,China,,Female,Outdoor,AR,4×4,5
3:15.17,,URS,Seoul,KOR,1988-10-01,Soviet Union,,Female,Outdoor,AR,4×4,
3:15.51,,USA,Seoul,KOR,1988-10-01,United States,,Female,Outdoor,AR,4×4,2
3:23.81,,AUS,Sydney,AUS,2000-09-30,Australia,,Female,Outdoor,AR,4×4,6
3:26.68,,BRA,São Paulo,BRA,2011-08-07,Brazil,,Female,Outdoor,AR,4×4,3
8:04.28,,KEN,Nassau,BAH,2014-05-25,Kenya,,Female,Outdoor,AR,4×8,4
8:16.2,,CHN,Shanghai,CHN,1991-10-01,China,,Female,Outdoor,AR,4×8,5
7:50.17,,URS,Moskva,URS,1984-08-05,Soviet Union,,Female,Outdoor,AR,4×8,
49.10,,NGR,Atlanta GA,USA,1996-07-29,Falilat Ogunkoya,1968.0,Female,Outdoor,AR,400,4
48.14,,BRN,Doha,QAT,2019-10-03,Salwa Eid Naser,1998.0,Female,Outdoor,AR,400,5
47.60,,GER,Canberra,AUS,1985-10-06,Marita Koch,1957.0,Female,Outdoor,AR,400,1
48.36,,BAH,Tokyo,JPN,2021-08-06,Shaunae Miller-Uibo,1994.0,Female,Outdoor,AR,400,2
48.63,,AUS,Atlanta GA,USA,1996-07-29,Cathy Freeman,1973.0,Female,Outdoor,AR,400,6
49.64,,COL,Barcelona,ESP,1992-08-05,Ximena Restrepo,1969.0,Female,Outdoor,AR,400,3
52.90,,MAR,Sevilla,ESP,1999-08-25,Nezha Bidouane,1969.0,Female,Outdoor,AR,40H,4
53.09,,BRN,Budapest,HUN,2023-08-24,Kemi Adekoya,1993.0,Female,Outdoor,AR,40H,5
51.45,,NED,London,GBR,2023-07-23,Femke Bol,2000.0,Female,Outdoor,AR,40H,1
50.68,,USA,Eugene OR,USA,2022-07-22,Sydney McLaughlin-Levrone,1999.0,Female,Outdoor,AR,40H,2
53.17,,AUS,Seoul,KOR,1988-09-28,Debbie Flintoff-King,1960.0,Female,Outdoor,AR,40H,6
53.69,,PAN,Eugene OR,USA,2022-07-20,Gianna Woodruff,1993.0,Female,Outdoor,AR,40H,3
14:00.21,,ETH,Eugene OR,USA,2023-09-17,Gudaf Tsegay,1997.0,Female,Outdoor,AR,5K0,4
14:28.09,,CHN,Shanghai,CHN,1997-10-23,Jiang Bo,1977.0,Female,Outdoor,AR,5K0,5
14:13.42,,NED,London,GBR,2023-07-23,Sifan Hassan,1993.0,Female,Outdoor,AR,5K0,1
14:19.45,,USA,London,GBR,2023-07-23,Alicia Monson,1998.0,Female,Outdoor,AR,5K0,2
14:47.76,,VEN,Walnut CA,USA,2023-05-06,Joselyn Daniely Brea,1994.0,Female,Outdoor,AR,5K0,3
20:50.03,,TUN,Radès,TUN,2021-06-23,Chahineze Nasri,1996.0,Female,Outdoor,AR,5G,4
1:54.01,,KEN,Zürich,SUI,2008-08-29,Pamela Jelimo,1989.0,Female,Outdoor,AR,800,4
1:55.54,,CHN,Beijing,CHN,1993-09-09,Liu Dong,1973.0,Female,Outdoor,AR,800,5
1:53.28,,CZE,München,FRG,1983-07-26,Jarmila Kratochvílová,1951.0,Female,Outdoor,AR,800,1
1:54.44,,CUB,Barcelona,ESP,1989-09-09,Ana Fidelia Quirot,1963.0,Female,Outdoor,AR,800,2
1:57.78,,AUS,London,GBR,2023-07-23,Catriona Bisset,1994.0,Female,Outdoor,AR,800,6
1:56.68,,SUR,Göteborg/U,SWE,1995-08-13,Letitia Vriesde,1964.0,Female,Outdoor,AR,800,3
64.96,,NGR,Ramona OK,USA,2023-04-15,Chioma Onyekwere,1994.0,Female,Outdoor,AR,DIS,4
71.68,,CHN,Beijing,CHN,1992-03-14,Xiao Yanling,1968.0,Female,Outdoor,AR,DIS,5
76.80,,GER,Neubrandenburg,GER,1988-07-09,Gabriele Reinsch,1963.0,Female,Outdoor,AR,DIS,1
71.46,,USA,La Jolla CA,USA,2022-04-08,Valarie Allman,1995.0,Female,Outdoor,AR,DIS,2
69.64,,AUS,London,GBR,2017-08-13,Dani Stevens,1988.0,Female,Outdoor,AR,DIS,6
65.34,,BRA,Leiria,POR,2019-06-26,Andressa de Morais,1990.0,Female,Outdoor,AR,DIS,3
75.49,,NGR,Tucson AZ,USA,2021-05-22,Annette Echikunwoke,1996.0,Female,Outdoor,AR,HAM,4
77.68,,CHN,Chengdu,CHN,2014-03-29,Wang Zheng,1987.0,Female,Outdoor,AR,HAM,5
82.98,,POL,Warszawa,POL,2016-08-28,Anita Włodarczyk,1985.0,Female,Outdoor,AR,HAM,1
80.31,,USA,Eugene OR,USA,2021-06-26,DeAnna Price,1993.0,Female,Outdoor,AR,HAM,2
74.61,,NZL,Tucson AZ,USA,2021-05-20,Lauren Bruce,1997.0,Female,Outdoor,AR,HAM,6
73.74,,ARG,Buenos Aires,ARG,2010-04-10,Jenny Dahlgren,1984.0,Female,Outdoor,AR,HAM,3
2.06,,RSA,Saint-Denis,FRA,2003-08-31,Hestrie Cloete,1978.0,Female,Outdoor,AR,HOC,4
2.00,,KAZ,Almaty,KAZ,2021-06-08,Nadezhda Dubovitskaya,1998.0,Female,Outdoor,AR,HOC,5
2.09,,BUL,Roma,ITA,1987-08-30,Stefka Kostadinova,1965.0,Female,Outdoor,AR,HOC,1
2.05,,USA,Des Moines IA,USA,2010-06-26,Chaunté Lowe,1984.0,Female,Outdoor,AR,HOC,2
2.03,,AUS,Eugene OR,USA,2023-09-17,Nicola Olyslagers,1996.0,Female,Outdoor,AR,HOC,6
1.96,,ARG,Oristano,ITA,1997-09-08,Solange Witteveen,1976.0,Female,Outdoor,AR,HOC,3
69.35,,RSA,New York NY,USA,2012-06-09,Sunette Viljoen,1983.0,Female,Outdoor,AR,SPE,4
67.98,,CHN,Shenyang,CHN,2019-08-02,Lu Huihui,1989.0,Female,Outdoor,AR,SPE,5
72.28,,CZE,Stuttgart,GER,2008-09-13,Barbora Špotáková,1981.0,Female,Outdoor,AR,SPE,1
71.70,,CUB,Helsinki,FIN,2005-08-14,Osleidis Menéndez,1979.0,Female,Outdoor,AR,SPE,2
68.92,,AUS,Gold Coast,AUS,2018-04-11,Kathryn Mitchell,1982.0,Female,Outdoor,AR,SPE,6
65.47,,COL,Budapest,HUN,2023-08-25,Flor Dennis Ruiz,1991.0,Female,Outdoor,AR,SPE,3
7.17,1.1,NGR,Chula Vista CA,USA,2021-05-29,Ese Brume,1996.0,Female,Outdoor,AR,WEI,4
7.01,1.4,CHN,Jinan,CHN,1993-06-04,Yao Weili,1965.0,Female,Outdoor,AR,WEI,5
7.52,1.4,RUS,Leningrad,URS,1988-06-11,Galina Cistjaková,1962.0,Female,Outdoor,AR,WEI,1
7.49,1.3,USA,New York NY,USA,1994-05-22,Jackie Joyner-Kersee,1962.0,Female,Outdoor,AR,WEI,2
7.49,1.7,USA,Sestriere,ITA,1994-07-31,Jackie Joyner-Kersee,1962.0,Female,Outdoor,AR,WEI,2
7.13,1.8,AUS,Chula Vista CA,USA,2022-07-09,Brooke Buschkuehl,1993.0,Female,Outdoor,AR,WEI,6
7.26,1.8,BRA,Bogotá,COL,1999-06-26,Maurren Higa Maggi,1976.0,Female,Outdoor,AR,WEI,3
4:07.64,,KEN,Monaco,MON,2023-07-21,Faith Kipyegon,1994.0,Female,Outdoor,AR,MEI,4
4:17.75,,BRN,Bruxelles,BEL,2007-09-14,Maryam Jamal,1984.0,Female,Outdoor,AR,MEI,5
4:12.33,,NED,Monaco,MON,2019-07-12,Sifan Hassan,1993.0,Female,Outdoor,AR,MEI,1
4:16.35,,USA,Monaco,MON,2023-07-21,Nikki Hiltz,1994.0,Female,Outdoor,AR,MEI,2
4:15.34,,AUS,Monaco,MON,2023-07-21,Jessica Hull,1996.0,Female,Outdoor,AR,MEI,6
4:27.41,,VEN,Monaco,MON,2023-07-21,Joselyn Daniely Brea,1994.0,Female,Outdoor,AR,MEI,3
4.42,,RSA,Wesel,GER,2000-06-12,Elmarie Gerryts,1972.0,Female,Outdoor,AR,STA,4
4.72,,CHN,Shanghai,CHN,2019-05-18,Li Ling,1989.0,Female,Outdoor,AR,STA,5
5.06,,RUS,Zürich,SUI,2009-08-28,Yelena Isinbayeva,1982.0,Female,Outdoor,AR,STA,1
4.94,,NZL,Jockgrim,GER,2018-07-17,Eliza McCartney,1996.0,Female,Outdoor,AR,STA,6
4.87,,BRA,São Bernardo do Campo,BRA,2016-07-03,Fabiana Murer,1981.0,Female,Outdoor,AR,STA,3
18.43,,NGR,Walnut CA,USA,2003-04-19,Vivian Chukwuemeka,1975.0,Female,Outdoor,AR,KUG,4
21.76,,CHN,Shijiazhuang,CHN,1988-04-23,Li Meisu,1959.0,Female,Outdoor,AR,KUG,5
22.63,,RUS,Moskva,URS,1987-06-07,Natalya Lisovskaya,1962.0,Female,Outdoor,AR,KUG,1
20.96,,CUB,Ciudad de México,MEX,1992-05-02,Belsis Laza,1967.0,Female,Outdoor,AR,KUG,2
21.24,,NZL,Daegu,KOR,2011-08-29,Valerie Adams,1984.0,Female,Outdoor,AR,KUG,6
19.30,,BRA,Tunja,COL,2001-07-14,Elisângela Adriano,1972.0,Female,Outdoor,AR,KUG,3
15.39,0.5,CMR,Beijing,CHN,2008-08-17,Françoise Mbango,1976.0,Female,Outdoor,AR,DRE,4
15.25,1.7,KAZ,Split,CRO,2010-09-04,Olga Rypakova,1984.0,Female,Outdoor,AR,DRE,5
15.50,0.9,UKR,Göteborg/U,SWE,1995-08-10,Inessa Kravets,1966.0,Female,Outdoor,AR,DRE,1
15.29,0.3,CUB,Roma,ITA,2003-07-11,Yamilé Aldama,1972.0,Female,Outdoor,AR,DRE,2
14.04,2.0,AUS,Hobart,AUS,2002-03-09,Nicole Mladenis,1975.0,Female,Outdoor,AR,DRE,6
14.04,1.8,AUS,Perth,AUS,2003-12-07,Nicole Mladenis,1975.0,Female,Outdoor,AR,DRE,6
41:22.5,,RUS,Saransk,RUS,2023-09-24,Elvira Khasanova,2000.0,Female,Indoor,AR,10G,1
2:30.94,,MOZ,Stockholm/G,SWE,1999-02-25,Maria Mutola,1972.0,Female,Indoor,AR,1K0,4
2:31.93,,GBR,Birmingham,GBR,2017-02-18,Laura Muir,1993.0,Female,Indoor,AR,1K0,1
2:33.75,,CAN,Boston MA,USA,2023-01-28,Lucia Stafford,1998.0,Female,Indoor,AR,1K0,2
2:36.96,,NZL,Boston MA,USA,2000-02-06,Toni Hodgkinson,1971.0,Female,Indoor,AR,1K0,6
2:38.30,,SUR,Stockholm/G,SWE,1999-02-25,Letitia Vriesde,1964.0,Female,Indoor,AR,1K0,3
3:53.09,,ETH,Liévin,FRA,2021-02-09,Gudaf Tsegay,1997.0,Female,Indoor,AR,1K5,4
3:59.79,,BRN,Valencia,ESP,2008-03-09,Maryam Jamal,1984.0,Female,Indoor,AR,1K5,5
3:57.91,,SWE,Stockholm/G,SWE,2014-02-06,Abeba Aregawi,1990.0,Female,Indoor,AR,1K5,1
3:59.98,,USA,Boston MA,USA,2003-02-01,Regina Jacobs,1963.0,Female,Indoor,AR,1K5,2
4:01.19,,AUS,New York NY,USA,2024-02-11,Jessica Hull,1996.0,Female,Indoor,AR,1K5,6
4:12.95,,ARG,Sabadell,ESP,2023-01-28,Fedra Aldana Luna,1995.0,Female,Indoor,AR,1K5,3
22.11,,NGR,Albuquerque NM,USA,2023-03-10,Favour Ofili,2002.0,Female,Indoor,AR,200,4
22.99,,SRI,Lisboa,POR,2001-03-09,Susanthika Jayasinghe,1975.0,Female,Indoor,AR,200,5
22.10,,RUS,Liévin,FRA,1995-02-19,Irina Privalova,1968.0,Female,Indoor,AR,200,1
21.87,,JAM,Liévin,FRA,1993-02-13,Merlene Ottey,1960.0,Female,Indoor,AR,200,2
22.64,,AUS,Barcelona,ESP,1995-03-10,Melinda Gainsford-Taylor,1971.0,Female,Indoor,AR,200,6
22.64,,AUS,Barcelona,ESP,1995-03-11,Melinda Gainsford-Taylor,1971.0,Female,Indoor,AR,200,6
23.02,,GUY,Lubbock TX,USA,2019-01-26,Brenessa Thompson,1996.0,Female,Indoor,AR,200,3
8:16.60,,ETH,Stockholm/G,SWE,2014-02-06,Genzebe Dibaba,1991.0,Female,Indoor,AR,3K0,4
8:39.64,,BRN,Val-de-Reuil,FRA,2020-02-14,Winfred Yavi,1999.0,Female,Indoor,AR,3K0,5
8:26.41,,GBR,Karlsruhe,GER,2017-02-04,Laura Muir,1993.0,Female,Indoor,AR,3K0,1
8:25.05,,USA,New York NY,USA,2023-02-11,Alicia Monson,1998.0,Female,Indoor,AR,3K0,2
8:24.93,,AUS,Brighton MA,USA,2024-02-04,Jessica Hull,1996.0,Female,Indoor,AR,3K0,6
8:57.59,,ARG,Val-de-Reuil,FRA,2023-02-04,Fedra Aldana Luna,1995.0,Female,Indoor,AR,3K0,3
11:40.33,,ROU,Bucureşti,ROU,1999-01-30,Claudia Ştef,1978.0,Female,Indoor,AR,3G,1
12:20.79,,USA,Toronto,CAN,1993-03-12,Debbi Lawrence,1961.0,Female,Indoor,AR,3G,2
13:24.0,,BOL,Cochabamba,BOL,2023-02-12,Angela Castro,1993.0,Female,Indoor,AR,3G,3
1:32.41,,RUS,Glasgow,GBR,2005-01-29,Russia,,Female,Indoor,AR,4×2,1
1:32.67,,USA,New York NY,USA,2018-01-27,United States,,Female,Indoor,AR,4×2,2
3:35.07,,BRN,Doha,QAT,2016-02-21,Bahrain,,Female,Indoor,AR,4×4,5
3:23.37,,RUS,Glasgow,GBR,2006-01-28,Russia,,Female,Indoor,AR,4×4,1
3:23.85,,USA,Birmingham,GBR,2018-03-04,United States,,Female,Indoor,AR,4×4,2
3:26.87,,AUS,Maebashi,JPN,1999-03-07,Australia,,Female,Indoor,AR,4×4,6
3:47.37,,BOL,Cochabamba,BOL,2022-02-20,Bolivia,,Female,Indoor,AR,4×4,3
8:06.24,,RUS,Moskva,RUS,2011-02-18,Russia,,Female,Indoor,AR,4×8,1
8:05.89,,USA,New York NY,USA,2018-02-03,United States,,Female,Indoor,AR,4×8,2
51.45,,BRN,Portland OR,USA,2016-03-19,Kemi Adekoya,1993.0,Female,Indoor,AR,400,5
49.24,,NED,Apeldoorn,NED,2024-02-18,Femke Bol,2000.0,Female,Indoor,AR,400,1
49.48,,USA,Albuquerque NM,USA,2023-03-11,Britton Wilson,2000.0,Female,Indoor,AR,400,2
52.17,,AUS,Budapest,HUN,1989-03-04,Maree Holland,1963.0,Female,Indoor,AR,400,6
51.57,,GUY,Beograd,SRB,2022-03-18,Aliyah Abrams,1997.0,Female,Indoor,AR,400,3
14:18.86,,ETH,Stockholm/G,SWE,2015-02-19,Genzebe Dibaba,1991.0,Female,Indoor,AR,5K0,4
14:30.79,,GER,Boston MA,USA,2020-02-27,Konstanze Klosterhalfen,1997.0,Female,Indoor,AR,5K0,1
14:31.38,,CAN,Boston MA,USA,2022-02-11,Gabriela DeBues-Stafford,1995.0,Female,Indoor,AR,5K0,2
14:39.89,,NZL,New York NY,USA,2009-02-27,Kim Smith,1981.0,Female,Indoor,AR,5K0,6
15:51.98,,ECU,Boston MA,USA,2023-12-02,Carmen Alder,2003.0,Female,Indoor,AR,5K0,3
22:23.91,,USA,Rochester NY,USA,2018-12-29,Miranda Melville,1989.0,Female,Indoor,AR,5G,2
24:27.15,,BOL,Cochabamba,BOL,2024-01-14,Mayra Karen Quispe,2000.0,Female,Indoor,AR,5G,3
7.02,,NGR,Liévin,FRA,1998-02-22,Chioma Ajunwa,1970.0,Female,Indoor,AR,60M,4
7.09,,SRI,Stuttgart,GER,1999-02-07,Susanthika Jayasinghe,1975.0,Female,Indoor,AR,60M,5
6.92,,RUS,Madrid,ESP,1993-02-11,Irina Privalova,1968.0,Female,Indoor,AR,60M,1
6.92,,RUS,Madrid,ESP,1995-02-09,Irina Privalova,1968.0,Female,Indoor,AR,60M,1
6.94,,USA,Albuquerque NM,USA,2023-02-18,Aleia Hobbs,1996.0,Female,Indoor,AR,60M,2
6.94,,LCA,Albuquerque NM,USA,2023-03-11,Julien Alfred,2001.0,Female,Indoor,AR,60M,2
7.13,,NZL,Beograd,SRB,2022-03-18,Zoe Hobbs,1997.0,Female,Indoor,AR,60M,6
7.14,,BRA,Beograd,SRB,2022-03-18,Vitoria Cristina Rosa,1996.0,Female,Indoor,AR,60M,3
7.82,,KAZ,Liévin,FRA,1999-02-21,Olga Shishigina,1968.0,Female,Indoor,AR,60H,5
7.68,,SWE,Karlsruhe,GER,2008-02-10,Susanna Kallur,1981.0,Female,Indoor,AR,60H,1
