result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
6.94,60m,NACAC,,LCA,Albuquerque NM,USA,2023-03-11,Julien Alfred,2001,women,Indoor
7.13,60m,Oceania,,NZL,Beograd,SRB,2022-03-18,Zoe Hobbs,1997,women,Indoor
7.14,60m,South America,,BRA,Beograd,SRB,2022-03-18,Vitoria Cristina Rosa,1996,women,Indoor
7.82,60m Hurdles,Asia,,KAZ,Liévin,FRA,1999-02-21,Olga Shishigina,1968,women,Indoor
7.68,60m Hurdles,Europe,,SWE,Karlsruhe,GER,2008-02-10,Susanna Kallur,1981,women,Indoor
7.67,60m Hurdles,NACAC,,BAH,New York NY,USA,2024-02-11,Devynne Charlton,1995,women,Indoor
7.73,60m Hurdles,Oceania,,AUS,Istanbul,TUR,2012-03-10,Sally Pearson,1986,women,Indoor
7.91,60m Hurdles,South America,,PAN,Sopot,POL,2014-03-07,Yvette Lewis,1985,women,Indoor
1:57.06,800m,Africa,,MOZ,Liévin,FRA,1999-02-21,Maria Mutola,1972,women,Indoor
2:00.78,800m,Asia,,JPN,Yokohama,JPN,2003-02-22,Miho Sato,1978,women,Indoor
1:55.82,800m,Europe,,SLO,Wien,AUT,2002-03-03,Jolanda Batagelj,1976,women,Indoor
1:58.29,800m,NACAC,,USA,New York NY,USA,2020-02-08,Ajee’ Wilson,1994,women,Indoor
1:59.46,800m,Oceania,,AUS,Birmingham,GBR,2022-02-19,Catriona Bisset,1994,women,Indoor
1:59.21,800m,South America,,SUR,Birmingham,GBR,1997-02-23,Letitia Vriesde,1964,women,Indoor
1.97,High Jump,Africa,,RSA,Birmingham,GBR,2001-02-18,Hestrie Cloete,1978,women,Indoor
1.98,High Jump,Asia,,KAZ,Samara,RUS,1996-03-04,Svetlana Zalevskaya,1973,women,Indoor
1.98,High Jump,Asia,,KAZ,Beograd,SRB,2022-03-19,Nadezhda Dubovitskaya,1998,women,Indoor
2.08,High Jump,Europe,,SWE,Arnstadt,GER,2006-02-04,Kajsa Bergqvist,1976,women,Indoor
2.02,High Jump,NACAC,,USA,Albuquerque NM,USA,2012-02-26,Chaunté Lowe,1984,women,Indoor
2.00,High Jump,Oceania,,AUS,Beograd,SRB,2022-03-19,Eleanor Patterson,1996,women,Indoor
1.94,High Jump,South America,,ARG,Brno,CZE,2000-02-09,Solange Witteveen,1976,women,Indoor
6.97,Long Jump,Africa,,NGR,Erfurt,GER,1997-02-05,Chioma Ajunwa,1970,women,Indoor
6.82,Long Jump,Asia,,CHN,Beijing,CHN,1992-03-13,Yang Juan,1969,women,Indoor
