result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
17.90,Triple Jump,South America,0.4,BRA,Belém,BRA,2007-05-20,Jadel Gregório,1980,Male,Outdoor,AR
7:54.10,Two Miles,Europe,,NOR,Paris,FRA,2023-06-09,Jakob Ingebrigtsen,2000,Male,Outdoor,AR
2:14.20,1000m,Africa,,DJI,Stockholm,SWE,2016-02-17,Ayanleh Souleiman,1992,Male,Indoor,AR
2:14.96,1000m,Europe,,DEN,Birmingham,GBR,2000-02-20,Wilson Kipketer,1972,Male,Indoor,AR
2:14.74,1000m,NACAC,,CAN,Brighton,USA,2024-02-04,Marco Arop,1998,Male,Indoor,AR
2:16.95,1000m,Oceania,,AUS,Boston,USA,2024-02-10,Jack Anstey,1997,Male,Indoor,AR
10.42,100m,South America,,BRA,Tampere,FIN,2006-02-04,Vicente de Lima,1977,Male,Indoor,AR
3:31.04,1500m,Africa,,ETH,Birmingham,GBR,2019-02-16,Samuel Tefera,1999,Male,Indoor,AR
3:36.28,1500m,Asia,,BRN,Stockholm,SWE,2007-02-20,Bilal Mansour Ali,1988,Male,Indoor,AR
3:30.60,1500m,Europe,,NOR,Liévin,FRA,2022-02-17,Jakob Ingebrigtsen,2000,Male,Indoor,AR
3:32.35,1500m,Oceania,,AUS,Staten Island,USA,2021-02-13,Olli Hoare,1997,Male,Indoor,AR
3:38.03,1500m,South America,,ARG,Sabadell,ESP,2022-02-08,Federico Bruno,1993,Male,Indoor,AR
5:09.61,2000m,South America,,ARG,Bordeaux,FRA,2013-01-26,Federico Bruno,1993,Male,Indoor,AR
19.92,200m,Africa,,NAM,Liévin,FRA,1996-02-18,Frank Fredericks,1967,Male,Indoor,AR
20.63,200m,Asia,,JPN,Maebashi,JPN,1999-03-05,Koji Ito,1970,Male,Indoor,AR
20.25,200m,Europe,,GBR,Liévin,FRA,1995-02-19,Linford Christie,1960,Male,Indoor,AR
20.02,200m,NACAC,,USA,College Station,USA,2018-03-10,Elijah Hall-Thompson,1994,Male,Indoor,AR
20.71,200m,Oceania,,AUS,Toronto,CAN,1993-03-14,Damien Marsh,1971,Male,Indoor,AR
20.65,200m,South America,,BRA,Sindelfingen,FRG,1989-02-26,Robson Caetano da Silva,1964,Male,Indoor,AR
7:23.81,3000m,Africa,,ETH,Liévin,FRA,2023-02-15,Lamecha Girma,2000,Male,Indoor,AR
7:31.77,3000m,Asia,,BRN,Liévin,FRA,2022-02-17,Birhanu Balew,1996,Male,Indoor,AR
7:24.68,3000m,Europe,,ESP,Liévin,FRA,2023-02-15,Mohamed Katir,1998,Male,Indoor,AR
7:28.23,3000m,NACAC,,USA,Boston,USA,2023-01-27,Yared Nuguse,1999,Male,Indoor,AR
7:34.50,3000m,Oceania,,AUS,Boston,USA,2008-01-26,Craig Mottram,1980,Male,Indoor,AR
7:49.46,3000m,South America,,COL,Sevilla,ESP,1991-03-10,Jacinto Navarrete,1962,Male,Indoor,AR
32.19,300m,South America,,BRA,Karlsruhe,GER,1989-02-24,Robson Caetano da Silva,1964,Male,Indoor,AR
1:22.11,4 x 200m,Europe,,GBR,Glasgow,GBR,1991-03-03,Great Britain,,Male,Indoor,AR
1:22.71,4 x 200m,NACAC,,USA,Glasgow,GBR,1991-03-03,United States,,Male,Indoor,AR
3:06.71,4 x 400m,Africa,,KEN,Glasgow,GBR,2024-03-03,Kenya,,Male,Indoor,AR
3:05.90,4 x 400m,Asia,,JPN,Maebashi,JPN,1999-03-06,Japan,,Male,Indoor,AR
3:01.77,4 x 400m,Europe,,POL,Birmingham,GBR,2018-03-04,Poland,,Male,Indoor,AR
3:01.39,4 x 400m,NACAC,,USA,College Station,USA,2018-03-10,United States,,Male,Indoor,AR
3:03.88,4 x 400m,Oceania,,AUS,Brisbane,AUS,2024-02-24,Australia,,Male,Indoor,AR
3:10.50,4 x 400m,South America,,BRA,Paris,FRA,1997-03-08,Brazil,,Male,Indoor,AR
7:17.8,4 x 800m,Europe,,URS,Sofia,BUL,1971-03-14,Soviet Union,,Male,Indoor,AR
7:11.30,4 x 800m,NACAC,,USA,Boston,USA,2018-02-25,United States,,Male,Indoor,AR
45.18,400m,Africa,,UGA,Lubbock,USA,2024-02-23,Eugene Omalla,2000,Male,Indoor,AR
45.39,400m,Asia,,QAT,Stockholm,SWE,2015-02-19,Abdalelah Haroun,1997,Male,Indoor,AR
45.05,400m,Europe,,GER,Sindelfingen,FRG,1988-02-05,Thomas Schönlebe,1965,Male,Indoor,AR
45.05,400m,Europe,,NOR,Glasgow,GBR,2019-03-02,Karsten Warholm,1996,Male,Indoor,AR
44.49,400m,NACAC,,CAN,Fayetteville,USA,2024-02-24,Christopher Morales Williams,2004,Male,Indoor,AR
45.44,400m,Oceania,,AUS,Clemson,USA,2018-02-23,Steven Solomon,1993,Male,Indoor,AR
46.07,400m,South America,,COL,Birmingham,USA,2019-03-09,Alejandro Perlaza,1994,Male,Indoor,AR
49.87,400m Hurdles,Europe,,ESP,Nerja,ESP,2023-04-15,Jesus David Delgado,1999,Male,Indoor,AR
12:49.60,5000m,Africa,,ETH,Birmingham,GBR,2004-02-20,Kenenisa Bekele,1982,Male,Indoor,AR
13:08.41,5000m,Asia,,THA,Boston,USA,2022-02-12,Kieran Tuntivate,1997,Male,Indoor,AR
12:57.08,5000m,Europe,,GBR,Boston,USA,2022-02-12,Marc Scott,1993,Male,Indoor,AR
12:51.61,5000m,NACAC,,USA,Boston,USA,2023-01-27,Woody Kincaid,1992,Male,Indoor,AR
13:04.33,5000m,Oceania,,NZL,Boston,USA,2024-01-26,Geordie Beamish,1996,Male,Indoor,AR
13:42.54,5000m,South America,,ARG,San Sebastián,ESP,1990-02-20,Antonio Silio,1966,Male,Indoor,AR
19:39.92,5000m Race Walk,Africa,,TUN,Liévin,FRA,2018-02-18,Hédi Taraaoui,1989,Male,Indoor,AR
21:46.37,5000m Race Walk,Asia,,KAZ,Ust-Kamenogorsk,KAZ,2024-02-23,Egizbay Zharylkasyn,2006,Male,Indoor,AR
18:07.08,5000m Race Walk,Europe,,RUS,Moskva,RUS,1995-02-14,Mikhail Shchennikov,1967,Male,Indoor,AR
19:21.18,5000m Race Walk,NACAC,,GUA,Bratislava,SVK,2019-01-27,Erick Barrondo,1991,Male,Indoor,AR
19:28.87,5000m Race Walk,South America,,BRA,Toronto,CAN,1993-03-13,Sérgio Galdino,1969,Male,Indoor,AR
6.48,50m Hurdles,Africa,,RSA,Liévin,FRA,2001-02-25,Shaun Bownes,1970,Male,Indoor,AR
6.45,60m,Africa,,GHA,Air Force Academy,USA,1999-02-20,Leo Myles-Mills,1973,Male,Indoor,AR
6.42,60m,Asia,,CHN,Birmingham,GBR,2018-03-03,Su Bingtian,1989,Male,Indoor,AR
6.41,60m,Europe,,ITA,Beograd,SRB,2022-03-19,Lamont Marcell Jacobs,1994,Male,Indoor,AR
6.34,60m,NACAC,,USA,Albuquerque,USA,2018-02-18,Christian Coleman,1996,Male,Indoor,AR
6.52,60m,Oceania,,AUS,Maebashi,JPN,1999-03-07,Matt Shirvington,1978,Male,Indoor,AR
6.52,60m,Oceania,,AUS,Maebashi,JPN,1999-03-07,Matt Shirvington,1978,Male,Indoor,AR
6.52,60m,South America,,BRA,Paris,FRA,2009-02-13,José Carlos Moreira,1983,Male,Indoor,AR
7.52,60m Hurdles,Africa,,RSA,Gent,BEL,2001-02-23,Shaun Bownes,1970,Male,Indoor,AR
7.41,60m Hurdles,Asia,,CHN,Birmingham,GBR,2012-02-18,Liu Xiang,1983,Male,Indoor,AR
7.30,60m Hurdles,Europe,,GBR,Sindelfingen,GER,1994-03-06,Colin Jackson,1967,Male,Indoor,AR
7.27,60m Hurdles,NACAC,,USA,Albuquerque,USA,2024-02-16,Grant Holloway,1997,Male,Indoor,AR
7.56,60m Hurdles,Oceania,,AUS,Beograd,SRB,2022-03-20,Chris Douglas,1997,Male,Indoor,AR
7.58,60m Hurdles,South America,,BRA,Berlin,GER,2022-02-04,Rafael Henrique Pereira,1997,Male,Indoor,AR
7.58,60m Hurdles,South America,,BRA,Mondeville,FRA,2022-02-09,Rafael Henrique Pereira,1997,Male,Indoor,AR
7.58,60m Hurdles,South America,,BRA,Val-de-Reuil,FRA,2022-02-14,Rafael Henrique Pereira,1997,Male,Indoor,AR
7.58,60m Hurdles,South America,,BRA,Cochabamba,BOL,2022-02-20,Rafael Henrique Pereira,1997,Male,Indoor,AR
7.58,60m Hurdles,South America,,BRA,Beograd,SRB,2022-03-20,Rafael Henrique Pereira,1997,Male,Indoor,AR
1:43.98,800m,Africa,,KEN,New York,USA,2019-02-09,Michael Saruni,1995,Male,Indoor,AR
1:45.26,800m,Asia,,BRN,Valencia,ESP,2008-03-09,Youssef Saad Kamel,1981,Male,Indoor,AR
1:42.67,800m,Europe,,DEN,Paris,FRA,1997-03-09,Wilson Kipketer,1972,Male,Indoor,AR
1:44.21,800m,NACAC,,USA,Staten Island,USA,2021-02-13,Donavan Brazier,1997,Male,Indoor,AR
1:45.59,800m,Oceania,,AUS,Fayetteville,USA,2021-02-13,Charles Hunter,1996,Male,Indoor,AR
1:45.43,800m,South America,,BRA,Pireás,GRE,1989-03-08,José Luiz Barbosa,1961,Male,Indoor,AR
5911,Heptathlon,Africa,,ALG,Paris,FRA,2010-02-28,Larbi Bouraada,1988,Male,Indoor,AR
6229,Heptathlon,Asia,,KAZ,Tallinn,EST,2008-02-16,Dmitriy Karpov,1981,Male,Indoor,AR
6479,Heptathlon,Europe,,FRA,Beograd,SRB,2017-03-05,Kevin Mayer,1992,Male,Indoor,AR
6645,Heptathlon,NACAC,,USA,Istanbul,TUR,2012-03-10,Ashton Eaton,1988,Male,Indoor,AR
6344,Heptathlon,Oceania,,AUS,Beograd,SRB,2022-03-19,Ashley Moloney,2000,Male,Indoor,AR
5951,Heptathlon,South America,,CHI,Fayetteville,USA,2008-03-15,Gonzalo Barroilhet,1986,Male,Indoor,AR
5951,Heptathlon,South America,,BRA,Tallinn,EST,2014-02-08,Carlos Chinin,1985,Male,Indoor,AR
2.32,High Jump,Africa,,NGR,Pátra,GRE,2000-02-15,Anthony Idiata,1975,Male,Indoor,AR
2.41,High Jump,Asia,,QAT,Athlone,IRL,2015-02-18,Mutaz Essa Barshim,1991,Male,Indoor,AR
2.42,High Jump,Europe,,GER,West Berlin,GER,1988-02-26,Carlo Thränhardt,1957,Male,Indoor,AR
2.43,High Jump,NACAC,,CUB,Budapest,HUN,1989-03-04,Javier Sotomayor,1967,Male,Indoor,AR
2.36,High Jump,Oceania,,NZL,Glasgow,GBR,2024-03-03,Hamish Kerr,1996,Male,Indoor,AR
2.31,High Jump,South America,,BRA,Beograd,SRB,2022-03-20,Thiago Julio Moura,1995,Male,Indoor,AR
8.44,Long Jump,Africa,,RSA,Birmingham,GBR,2018-03-02,Luvo Manyonga,1991,Male,Indoor,AR
8.27,Long Jump,Asia,,CHN,Nanjing,CHN,2010-03-11,Su Xiongfeng,1987,Male,Indoor,AR
8.71,Long Jump,Europe,,GER,Torino,ITA,2009-03-08,Sebastian Bayer,1986,Male,Indoor,AR
8.79,Long Jump,NACAC,,USA,New York,USA,1984-01-27,Carl Lewis,1961,Male,Indoor,AR
8.25,Long Jump,Oceania,,AUS,Portland,USA,2016-03-20,Fabrice LaPierre,1983,Male,Indoor,AR
8.42,Long Jump,South America,,PAN,Athína,GRE,2008-02-13,Irving Saladino,1983,Male,Indoor,AR
3:47.01,One Mile,Africa,,ETH,Boston,USA,2019-03-03,Yomif Kejelcha,1997,Male,Indoor,AR
3:54.84,One Mile,Asia,,JPN,Boston,USA,2024-02-10,Ryuma Aoki,1997,Male,Indoor,AR
3:48.93,One Mile,Europe,,GBR,New York,USA,2024-02-11,George Mills,1999,Male,Indoor,AR
3:47.38,One Mile,NACAC,,USA,New York,USA,2023-02-11,Yared Nuguse,1999,Male,Indoor,AR
3:50.83,One Mile,Oceania,,AUS,New York,USA,2022-01-29,Olli Hoare,1997,Male,Indoor,AR
3:50.83,One Mile,Oceania,,AUS,New York,USA,2023-02-11,Olli Hoare,1997,Male,Indoor,AR
3:56.26,One Mile,South America,,BRA,Fayetteville,USA,2001-02-10,Hudson de Souza,1977,Male,Indoor,AR
5.93,Pole Vault,Asia,,PHI,Berlin,GER,2024-02-23,Ernest John Obiena,1995,Male,Indoor,AR
6.22,Pole Vault,Europe,,SWE,Clermont-Ferrand,FRA,2023-02-25,Armand Duplantis,1999,Male,Indoor,AR
6.01,Pole Vault,NACAC,,USA,Rouen,FRA,2020-02-08,Sam Kendricks,1992,Male,Indoor,AR
6.06,Pole Vault,Oceania,,AUS,Boston,USA,2009-02-07,Steve Hooker,1982,Male,Indoor,AR
5.95,Pole Vault,South America,,BRA,Beograd,SRB,2022-03-20,Thiago Braz,1993,Male,Indoor,AR
21.63,Shot Put,Africa,,NGR,Nehvizdy,CZE,2024-02-20,Chukwuebuka Enekwechi,1993,Male,Indoor,AR
21.10,Shot Put,Asia,,BRN,Gomel,BLR,2021-01-29,Abdelrahman Mahmoud,2001,Male,Indoor,AR
22.55,Shot Put,Europe,,GER,Senftenberg,GER,1989-02-11,Ulf Timmermann,1962,Male,Indoor,AR
23.38,Shot Put,NACAC,,USA,Pocatello,USA,2023-02-18,Ryan Crouser,1992,Male,Indoor,AR
22.31,Shot Put,Oceania,,NZL,Birmingham,GBR,2018-03-03,Tom Walsh,1992,Male,Indoor,AR
22.31,Shot Put,Oceania,,NZL,Beograd,SRB,2022-03-19,Tom Walsh,1992,Male,Indoor,AR
22.53,Shot Put,South America,,BRA,Beograd,SRB,2022-03-19,Darlan Romani,1991,Male,Indoor,AR
9.07,Shot Put (3kg),Europe,,EST,Rakvere,EST,2024-01-09,Andero Bergström,2011,Male,Indoor,AR
18.07,Triple Jump,Africa,,BUR,Aubière,FRA,2021-01-16,Hugues Fabrice Zango,1993,Male,Indoor,AR
17.41,Triple Jump,Asia,,CHN,Nanjing,CHN,2016-02-29,Dong Bin,1988,Male,Indoor,AR
17.92,Triple Jump,Europe,,FRA,Paris,FRA,2011-03-06,Teddy Tamgho,1989,Male,Indoor,AR
17.83,Triple Jump,NACAC,,CUB,Sindelfingen,GER,1997-03-01,Aliecer Urrutia,1974,Male,Indoor,AR
17.20,Triple Jump,Oceania,,AUS,Lisboa,POR,2001-03-09,Andrew Murphy,1969,Male,Indoor,AR
17.56,Triple Jump,South America,,BRA,Moskva,RUS,2006-03-12,Jadel Gregório,1980,Male,Indoor,AR
8:00.67,Two Miles,Europe,,GBR,New York,USA,2024-02-11,Josh Kerr,1997,Male,Indoor,AR
8:43.24,Two Miles,NACAC,,USA,Brighton,USA,2023-03-12,Connor Burns,2004,Male,Indoor,AR
8:05.73,Two Miles,Oceania,,NZL,New York,USA,2024-02-11,Geordie Beamish,1996,Male,Indoor,AR
22.95,Weight Throw,Africa,,EGY,Blacksburg,USA,2006-02-24,Mohsen Anani,1985,Male,Indoor,AR
25.68,Weight Throw,Europe,,SVK,Sterling,USA,2005-03-05,Libor Charfreitag,1977,Male,Indoor,AR
26.35,Weight Throw,NACAC,,USA,Albuquerque,USA,2024-02-16,Daniel Haugh,1995,Male,Indoor,AR
22.25,Weight Throw,Oceania,,AUS,Nampa,USA,2008-12-06,Simon Wardhaugh,1986,Male,Indoor,AR
29:01.03,"10,000m",Africa,,ETH,Hengelo,NED,2021-06-08,Letesenbet Gidey,1998,Female,Outdoor,AR
29:31.78,"10,000m",Asia,,CHN,Beijing,CHN,1993-09-08,Wang Junxia,1973,Female,Outdoor,AR
29:06.82,"10,000m",Europe,,NED,Hengelo,NED,2021-06-06,Sifan Hassan,1993,Female,Outdoor,AR
30:03.82,"10,000m",NACAC,,USA,San Juan Capistrano,USA,2023-03-04,Alicia Monson,1998,Female,Outdoor,AR
30:35.54,"10,000m",Oceania,,NZL,Stanford,USA,2008-05-04,Kim Smith,1981,Female,Outdoor,AR
31:33.07,"10,000m",South America,,ARG,San Juan Capistrano,USA,2024-03-16,Florencia Borelli,1992,Female,Outdoor,AR
43:50.86,"10,000m Race Walk",Africa,,KEN,Birmingham,GBR,2022-08-06,Emily Ngii,1986,Female,Outdoor,AR
44:13.88,"10,000m Race Walk",NACAC,,MEX,Tampere,FIN,2018-07-14,Alegna Gonzalez,1999,Female,Outdoor,AR
41:57.22,"10,000m Race Walk",Oceania,,AUS,Seattle,USA,1990-07-24,Kerry Saxby-Junna,1961,Female,Outdoor,AR
42:02.99,"10,000m Race Walk",South America,,COL,Trujillo2,PER,2018-08-25,Sandra Arenas,1993,Female,Outdoor,AR
2:29.15,1000m,Africa,,KEN,Monaco,MON,2020-08-14,Faith Kipyegon,1994,Female,Outdoor,AR
2:33.00,1000m,Asia,,CHN,Beijing,CHN,1993-11-09,Qu Yunxia,,Female,Outdoor,AR
2:28.98,1000m,Europe,,RUS,Bruxelles,BEL,1996-08-23,Svetlana Masterkova,1968,Female,Outdoor,AR
2:31.80,1000m,NACAC,,USA,Brunswick,USA,1999-07-03,Regina Jacobs,1963,Female,Outdoor,AR
2:34.63,1000m,Oceania,,AUS,Bern,SUI,2023-08-04,Abbey Caldwell,2001,Female,Outdoor,AR
2:32.25,1000m,South America,,SUR,Berlin,GER,1991-09-10,Letitia Vriesde,1964,Female,Outdoor,AR
7:27:44,100km,Asia,,JPN,Bengaluru,IND,2023-07-30,Miho Nakata,1989,Female,Outdoor,AR
10.75,100m,Africa,0.9,CIV,Oslo,NOR,2023-06-15,Marie Josée Ta Lou,1988,Female,Outdoor,AR
10.79,100m,Asia,0.0,CHN,Shanghai,CHN,1997-10-18,Li Xuemei,1977,Female,Outdoor,AR
10.73,100m,Europe,2.0,FRA,Budapest,HUN,1998-08-19,Christine Arron,1973,Female,Outdoor,AR
10.49,100m,NACAC,0.0,USA,Indianapolis,USA,1988-07-16,Florence Griffith-Joyner,1959,Female,Outdoor,AR
10.96,100m,Oceania,2.0,NZL,La Chaux-de-Fonds,SUI,2023-07-02,Zoe Hobbs,1997,Female,Outdoor,AR
10.91,100m,South America,-0.2,BRA,London,GBR,2017-08-06,Rosângela Santos,1990,Female,Outdoor,AR
12.12,100m Hurdles,Africa,0.9,NGR,Eugene,USA,2022-07-24,Tobi Amusan,1997,Female,Outdoor,AR
12.44,100m Hurdles,Asia,-0.8,KAZ,Luzern,SUI,1995-06-27,Olga Shishigina,1968,Female,Outdoor,AR
12.21,100m Hurdles,Europe,0.7,BUL,Stara Zagora,BUL,1988-08-20,Yordanka Donkova,1961,Female,Outdoor,AR
12.20,100m Hurdles,NACAC,0.3,USA,London,GBR,2016-07-22,Kendra Harrison,1992,Female,Outdoor,AR
12.28,100m Hurdles,Oceania,1.1,AUS,Daegu,KOR,2011-09-03,Sally Pearson,1986,Female,Outdoor,AR
12.71,100m Hurdles,South America,0.1,BRA,Manaus,BRA,2001-05-19,Maurren Higa Maggi,1976,Female,Outdoor,AR
46:48,10km Race Walk,Africa,,ALG,Remchi,ALG,1995-04-21,Dounia Kara,1972,Female,Outdoor,AR
41:16,10km Race Walk,Asia,,CHN,Eisenhüttenstadt,GER,1999-05-08,Wang Yan,1971,Female,Outdoor,AR
41:04,10km Race Walk,Europe,,RUS,Sochi,RUS,1996-04-20,Yelena Nikolayeva,1966,Female,Outdoor,AR
42:42,10km Race Walk,NACAC,,MEX,Naumburg,GER,1997-05-25,Maria Graciela Mendoza,1963,Female,Outdoor,AR
41:30,10km Race Walk,Oceania,,AUS,Canberra,AUS,1988-08-27,Kerry Saxby-Junna,1961,Female,Outdoor,AR
43:03,10km Race Walk,South America,,BRA,Suzhou,CHN,2017-09-25,Erica de Sena,1985,Female,Outdoor,AR
28:46,"10km, Road",Africa,,KEN,Valencia,ESP,2024-01-14,Agnes Ngetich,2001,Female,Outdoor,AR
29:38,"10km, Road",Asia,,BRN,Génève,SUI,2021-10-03,Kalkidan Gezahegne,1991,Female,Outdoor,AR
30:19,"10km, Road",Europe,,GBR,Manchester,GBR,2022-05-22,Eilish McColgan,1990,Female,Outdoor,AR
30:52,"10km, Road",NACAC,,USA,Boston,USA,2016-06-26,Shalane Flanagan,1981,Female,Outdoor,AR
31:17,"10km, Road",Oceania,,AUS,Manchester,GBR,2006-05-21,Benita Willis,1979,Female,Outdoor,AR
31:59,"10km, Road",South America,,ARG,Miramar,USA,2023-11-19,Florencia Borelli,1992,Female,Outdoor,AR
3:49.11,1500m,Africa,,KEN,Firenze,ITA,2023-06-02,Faith Kipyegon,1994,Female,Outdoor,AR
3:50.46,1500m,Asia,,CHN,Beijing,CHN,1993-09-11,Qu Yunxia,1972,Female,Outdoor,AR
3:51.95,1500m,Europe,,NED,Doha,QAT,2019-10-05,Sifan Hassan,1993,Female,Outdoor,AR
3:54.99,1500m,NACAC,,USA,Doha,QAT,2019-10-05,Shelby Houlihan,1993,Female,Outdoor,AR
3:56.92,1500m,Oceania,,AUS,Eugene,USA,2023-09-16,Linden Hall,1991,Female,Outdoor,AR
4:05.67,1500m,South America,,SUR,Tokyo,JPN,1991-08-31,Letitia Vriesde,1964,Female,Outdoor,AR
1:05:26.6,"20,000m",Africa,,KEN,Borgholzhausen,GER,2000-09-03,Tegla Loroupe,1973,Female,Outdoor,AR
1:06:48.8,"20,000m",Asia,,JPN,Amagasaki,JPN,1993-09-20,Izumi Maki,1968,Female,Outdoor,AR
1:36:18.22,"20,000m Race Walk",Africa,,RSA,Durban,RSA,2004-04-17,Nicolene Cronje,1983,Female,Outdoor,AR
1:29:32.4,"20,000m Race Walk",Asia,,CHN,Changsha,CHN,2003-10-24,Song Hongjuan,1984,Female,Outdoor,AR
1:26:52.3,"20,000m Race Walk",Europe,,RUS,Brisbane,AUS,2001-09-06,Olimpiada Ivanova,1970,Female,Outdoor,AR
1:31:53.72,"20,000m Race Walk",NACAC,,GUA,Ciudad de Guatemala,GUA,2014-08-08,Mirna Ortiz,1987,Female,Outdoor,AR
1:33:40.2,"20,000m Race Walk",Oceania,,AUS,Brisbane,AUS,2001-09-06,Kerry Saxby-Junna,1961,Female,Outdoor,AR
1:29:07.5,"20,000m Race Walk",South America,,PER,São Paulo,BRA,2023-07-29,María Luz Andia,2000,Female,Outdoor,AR
5:21.56,2000m,Africa,,BDI,Zagreb,CRO,2021-09-14,Francine Niyonsaba,1993,Female,Outdoor,AR
5:29.65,2000m,Asia,,CHN,Beijing,CHN,1993-09-12,Wang Junxia,1973,Female,Outdoor,AR
5:25.36,2000m,Europe,,IRL,Edinburgh,GBR,1994-07-08,Sonia O'Sullivan,1969,Female,Outdoor,AR
5:29.41,2000m,NACAC,,USA,Beijing,CHN,1993-12-09,Xi Wang,1971,Female,Outdoor,AR
5:59.96,2000m,South America,,BOL,Rivas,ESP,2004-06-10,Niusha Mancilla,1971,Female,Outdoor,AR
5:47.42,2000m Steeplechase,Africa,,KEN,Zagreb,CRO,2023-09-10,Beatrice Chepkoech,1991,Female,Outdoor,AR
6:09.81,2000m Steeplechase,NACAC,,USA,Birmingham,GBR,2023-07-29,Madie Boreman,1998,Female,Outdoor,AR
21.78,200m,Africa,0.6,NAM,Zürich,SUI,2021-09-09,Christine Mboma,2003,Female,Outdoor,AR
22.01,200m,Asia,0.0,CHN,Shanghai,CHN,1997-10-22,Li Xuemei,1977,Female,Outdoor,AR
21.63,200m,Europe,0.2,NED,Beijing,CHN,2015-08-28,Dafne Schippers,1992,Female,Outdoor,AR
21.34,200m,NACAC,1.3,USA,Seoul,KOR,1988-09-29,Florence Griffith-Joyner,1959,Female,Outdoor,AR
22.23,200m,Oceania,0.8,AUS,Stuttgart,GER,1997-07-13,Melinda Gainsford-Taylor,1971,Female,Outdoor,AR
22.47,200m,South America,1.4,BRA,Eugene,USA,2022-07-19,Vitoria Cristina Rosa,1996,Female,Outdoor,AR
1:30:40,20km Race Walk,Africa,,KEN,Nairobi,KEN,2018-06-06,Grace Njue,1979,Female,Outdoor,AR
1:23:49,20km Race Walk,Asia,,CHN,Huangshan,CHN,2021-03-20,Yang Jiayu,1996,Female,Outdoor,AR
1:24:31,20km Race Walk,Europe,,RUS,Sochi,RUS,2024-02-27,Elvira Khasanova,2000,Female,Outdoor,AR
1:26:17,20km Race Walk,NACAC,,MEX,Roma,ITA,2016-05-07,Maria Guadalupe González,1989,Female,Outdoor,AR
1:27:09,20km Race Walk,Oceania,,AUS,Adelaide,AUS,2024-02-11,Jemima Montag,1998,Female,Outdoor,AR
1:25:29,20km Race Walk,South America,,ECU,La Coruña,ESP,2019-06-08,Glenda Estefanía Morejón,2000,Female,Outdoor,AR
1:45:50.00,"30,000m",Africa,,KEN,Warstein,GER,2003-06-06,Tegla Loroupe,1973,Female,Outdoor,AR
8:06.11,3000m,Asia,,CHN,Beijing,CHN,1993-09-13,Wang Junxia,1973,Female,Outdoor,AR
8:18.49,3000m,Europe,,NED,Stanford,USA,2019-06-30,Sifan Hassan,1993,Female,Outdoor,AR
8:31.81,3000m,Oceania,,AUS,Sydney,AUS,2023-03-11,Jessica Hull,1996,Female,Outdoor,AR
8:43.26,3000m,South America,,VEN,Chorzów,POL,2023-07-16,Joselyn Daniely Brea,1994,Female,Outdoor,AR
8:44.32,3000m Steeplechase,Africa,,KEN,Monaco,MON,2018-07-20,Beatrice Chepkoech,1991,Female,Outdoor,AR
8:50.66,3000m Steeplechase,Asia,,BRN,Eugene,USA,2023-09-16,Winfred Yavi,1999,Female,Outdoor,AR
8:58.81,3000m Steeplechase,Europe,,RUS,Beijing,CHN,2008-08-17,Gulnara Galkina,1978,Female,Outdoor,AR
8:57.77,3000m Steeplechase,NACAC,,USA,Eugene,USA,2021-08-21,Courtney Frerichs,1993,Female,Outdoor,AR
9:14.28,3000m Steeplechase,Oceania,,AUS,Saint-Denis,FRA,2016-08-27,Genevieve Gregson,1989,Female,Outdoor,AR
9:24.38,3000m Steeplechase,South America,,BRA,Watford,GBR,2022-06-11,Tatiane Raquel da Silva,1990,Female,Outdoor,AR
3:42:04,35km Race Walk,Africa,,RSA,Cape Town,RSA,2022-01-15,Sandra Steenkamp,1960,Female,Outdoor,AR
2:38:42,35km Race Walk,Asia,,CHN,Wajima,JPN,2023-04-16,Liu Hong,1987,Female,Outdoor,AR
2:37:11,35km Race Walk,Europe,,RUS,Saransk,RUS,2023-05-20,Klavdiya Afanasyeva,1996,Female,Outdoor,AR
2:49:29,35km Race Walk,NACAC,,USA,Dudince,SVK,2022-04-23,Robyn Stevens,1983,Female,Outdoor,AR
2:47:54,35km Race Walk,Oceania,,AUS,Melbourne,AUS,2023-05-21,Rebecca Henderson,2001,Female,Outdoor,AR
2:37:44,35km Race Walk,South America,,PER,Dudince,SVK,2023-03-25,Kimberly García,1993,Female,Outdoor,AR
41.90,4 x 100m,Africa,,CIV,Budapest,HUN,2023-08-25,Ivory Coast,,Female,Outdoor,AR
42.23,4 x 100m,Asia,,CHN,Shanghai,CHN,1997-10-23,China,,Female,Outdoor,AR
41.37,4 x 100m,Europe,,GER,Canberra,AUS,1985-10-06,Germany,,Female,Outdoor,AR
40.82,4 x 100m,NACAC,,USA,London,GBR,2012-08-10,United States,,Female,Outdoor,AR
42.99,4 x 100m,Oceania,,AUS,Pietersburg,RSA,2000-03-18,Australia,,Female,Outdoor,AR
42.29,4 x 100m,South America,,BRA,Moskva,RUS,2013-08-18,Brazil,,Female,Outdoor,AR
16:33.58,4 x 1500m,Africa,,KEN,Nassau,BAH,2014-05-24,Kenya,,Female,Outdoor,AR
18:31.18,4 x 1500m,Asia,,JPN,Hitachinaka,JPN,1996-05-26,Japan,,Female,Outdoor,AR
17:51.48,4 x 1500m,Europe,,ROU,Nassau,BAH,2014-05-24,Romania,,Female,Outdoor,AR
1:30.52,4 x 200m,Africa,,NGR,Nassau,BAH,2015-05-02,Nigeria,,Female,Outdoor,AR
