result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
4:43.13,2000m,Europe,,NOR,Bruxelles,BEL,2023-09-08,Jakob Ingebrigtsen,2000,Male,Outdoor,AR
4:51.54,2000m,NACAC,,CAN,Bruxelles,BEL,2023-09-08,Charles Philibert-Thiboutot,1990,Male,Outdoor,AR
4:48.77,2000m,Oceania,,AUS,Bruxelles,BEL,2023-09-08,Stewart McSweyn,1995,Male,Outdoor,AR
5:03.34,2000m,South America,,BRA,Manaus,BRA,2002-04-06,Hudson de Souza,1977,Male,Outdoor,AR
19.50,200m,Africa,1.6,BOT,London,GBR,2023-07-23,Letsile Tebogo,2003,Male,Outdoor,AR
19.88,200m,Asia,0.9,CHN,London,GBR,2019-07-21,Xie Zhenye,1993,Male,Outdoor,AR
19.72,200m,Europe,1.8,ITA,Ciudad de México,MEX,1979-09-12,Pietro Mennea,1952,Male,Outdoor,AR
19.19,200m,NACAC,-0.3,JAM,Berlin,GER,2009-08-20,Usain Bolt,1986,Male,Outdoor,AR
20.06,200m,Oceania,0.9,AUS,Ciudad de México,MEX,1968-10-16,Peter Norman,1942,Male,Outdoor,AR
19.81,200m,South America,-0.3,PAN,Berlin,GER,2009-08-20,Alonso Edward,1989,Male,Outdoor,AR
1:18:34,20km Race Walk,Africa,,KEN,Budapest,HUN,2023-08-19,Samuel Gathimba,1987,Male,Outdoor,AR
1:16:36,20km Race Walk,Asia,,JPN,Nomi,JPN,2015-03-15,Yusuke Suzuki,1988,Male,Outdoor,AR
1:17:02,20km Race Walk,Europe,,FRA,Arles,FRA,2015-03-08,Yohann Diniz,1978,Male,Outdoor,AR
1:17:46,20km Race Walk,NACAC,,GUA,Eisenhüttenstadt,GER,1999-05-08,Julio Martínez,1973,Male,Outdoor,AR
1:17:33,20km Race Walk,Oceania,,AUS,Cixi,CHN,2005-04-23,Nathan Deakes,1977,Male,Outdoor,AR
1:17:21,20km Race Walk,South America,,ECU,Saint-Denis,FRA,2003-08-23,Jefferson Pérez,1974,Male,Outdoor,AR
1:13:55.8,"25,000m",Asia,,JPN,Christchurch,NZL,1981-03-22,Toshihiko Seko,1956,Male,Outdoor,AR
1:29:18.8,"30,000m",Asia,,JPN,Christchurch,NZL,1981-03-22,Toshihiko Seko,1956,Male,Outdoor,AR
2:19:21.31,"30,000m Race Walk",Africa,,TUN,Reims,FRA,2011-03-12,Hatem Ghoula,1973,Male,Outdoor,AR
2:01:44.1,"30,000m Race Walk",Europe,,ITA,Cuneo,ITA,1992-10-04,Maurizio Damilano,1957,Male,Outdoor,AR
7:20.67,3000m,Africa,,KEN,Rieti,ITA,1996-09-01,Daniel Komen,1976,Male,Outdoor,AR
7:30.76,3000m,Asia,,QAT,Doha,QAT,2005-05-13,Jamal Bilal Salem,1978,Male,Outdoor,AR
7:23.63,3000m,Europe,,NOR,Eugene,USA,2023-09-17,Jakob Ingebrigtsen,2000,Male,Outdoor,AR
7:25.47,3000m,NACAC,,USA,Eugene,USA,2023-09-17,Grant Fisher,1997,Male,Outdoor,AR
7:28.02,3000m,Oceania,,AUS,Roma,ITA,2020-09-17,Stewart McSweyn,1995,Male,Outdoor,AR
7:37.15,3000m,South America,,URU,Zagreb,CRO,2023-09-10,Santiago Catrofe,1999,Male,Outdoor,AR
7:52.11,3000m Steeplechase,Africa,,ETH,Paris,FRA,2023-06-09,Lamecha Girma,2000,Male,Outdoor,AR
7:53.63,3000m Steeplechase,Asia,,QAT,Bruxelles,BEL,2004-09-03,Saif Saeed Shaheen,1982,Male,Outdoor,AR
8:00.09,3000m Steeplechase,Europe,,FRA,Saint-Denis,FRA,2013-07-06,Mahiedine Mekhissi-Benabbad,1985,Male,Outdoor,AR
8:00.45,3000m Steeplechase,NACAC,,USA,Saint-Denis,FRA,2015-07-04,Evan Jager,1989,Male,Outdoor,AR
8:13.26,3000m Steeplechase,Oceania,,NZL,Monaco,MON,2023-07-21,Geordie Beamish,1996,Male,Outdoor,AR
8:14.41,3000m Steeplechase,South America,,BRA,Mar del Plata,ARG,1995-03-22,Wander Moura,1969,Male,Outdoor,AR
30.69,300m,Africa,,BOT,Pretoria,RSA,2024-02-17,Letsile Tebogo,2003,Male,Outdoor,AR
2:31:15,35km Race Walk,Africa,,RSA,Eugene,USA,2022-07-24,Wayne Snyman,1985,Male,Outdoor,AR
2:22:55,35km Race Walk,Asia,,CHN,Huangshan,CHN,2023-03-04,He Xianghong,1998,Male,Outdoor,AR
2:23:14,35km Race Walk,Europe,,ITA,Eugene,USA,2022-07-24,Massimo Stano,1992,Male,Outdoor,AR
2:25:02,35km Race Walk,NACAC,,CAN,Eugene,USA,2022-07-24,Evan Dunfee,1990,Male,Outdoor,AR
2:24:34,35km Race Walk,South America,,ECU,Budapest,HUN,2023-08-24,Brian Pintado,1995,Male,Outdoor,AR
37.65,4 x 100m,Africa,,RSA,Doha,QAT,2019-10-04,South Africa,,Male,Outdoor,AR
37.43,4 x 100m,Asia,,JPN,Doha,QAT,2019-10-05,Japan,,Male,Outdoor,AR
37.36,4 x 100m,Europe,,GBR,Doha,QAT,2019-10-05,Great Britain,,Male,Outdoor,AR
