result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
6.52,60m,Oceania,,AUS,Maebashi,JPN,1999-03-07,Matt Shirvington,1978,men,Indoor
6.52,60m,South America,,BRA,Paris,FRA,2009-02-13,José Carlos Moreira,1983,men,Indoor
7.52,60m Hurdles,Africa,,RSA,Gent,BEL,2001-02-23,Shaun Bownes,1970,men,Indoor
7.41,60m Hurdles,Asia,,CHN,Birmingham,GBR,2012-02-18,Liu Xiang,1983,men,Indoor
7.30,60m Hurdles,Europe,,GBR,Sindelfingen,GER,1994-03-06,Colin Jackson,1967,men,Indoor
7.27,60m Hurdles,NACAC,,USA,Albuquerque NM,USA,2024-02-16,Grant Holloway,1997,men,Indoor
7.56,60m Hurdles,Oceania,,AUS,Beograd,SRB,2022-03-20,Chris Douglas,1997,men,Indoor
7.58,60m Hurdles,South America,,BRA,Berlin,GER,2022-02-04,Rafael Henrique Pereira,1997,men,Indoor
7.58,60m Hurdles,South America,,BRA,Mondeville,FRA,2022-02-09,Rafael Henrique Pereira,1997,men,Indoor
7.58,60m Hurdles,South America,,BRA,Val-de-Reuil,FRA,2022-02-14,Rafael Henrique Pereira,1997,men,Indoor
7.58,60m Hurdles,South America,,BRA,Cochabamba,BOL,2022-02-20,Rafael Henrique Pereira,1997,men,Indoor
7.58,60m Hurdles,South America,,BRA,Beograd,SRB,2022-03-20,Rafael Henrique Pereira,1997,men,Indoor
1:43.98,800m,Africa,,KEN,New York NY,USA,2019-02-09,Michael Saruni,1995,men,Indoor
1:45.26,800m,Asia,,BRN,Valencia,ESP,2008-03-09,Youssef Saad Kamel,1981,men,Indoor
1:42.67,800m,Europe,,DEN,Paris,FRA,1997-03-09,Wilson Kipketer,1972,men,Indoor
1:44.21,800m,NACAC,,USA,Staten Island NY,USA,2021-02-13,Donavan Brazier,1997,men,Indoor
1:45.59,800m,Oceania,,AUS,Fayetteville AR,USA,2021-02-13,Charles Hunter,1996,men,Indoor
1:45.43,800m,South America,,BRA,Pireás,GRE,1989-03-08,José Luiz Barbosa,1961,men,Indoor
5911,Heptathlon,Africa,,ALG,Paris,FRA,2010-02-28,Larbi Bouraada,1988,men,Indoor
6229,Heptathlon,Asia,,KAZ,Tallinn,EST,2008-02-16,Dmitriy Karpov,1981,men,Indoor
6479,Heptathlon,Europe,,FRA,Beograd,SRB,2017-03-05,Kevin Mayer,1992,men,Indoor
6645,Heptathlon,NACAC,,USA,Istanbul,TUR,2012-03-10,Ashton Eaton,1988,men,Indoor
6344,Heptathlon,Oceania,,AUS,Beograd,SRB,2022-03-19,Ashley Moloney,2000,men,Indoor
5951,Heptathlon,South America,,CHI,Fayetteville AR,USA,2008-03-15,Gonzalo Barroilhet,1986,men,Indoor
5951,Heptathlon,South America,,BRA,Tallinn,EST,2014-02-08,Carlos Chinin,1985,men,Indoor
2.32,High Jump,Africa,,NGR,Pátra,GRE,2000-02-15,Anthony Idiata,1975,men,Indoor
2.41,High Jump,Asia,,QAT,Athlone,IRL,2015-02-18,Mutaz Essa Barshim,1991,men,Indoor
2.42,High Jump,Europe,,GER,West Berlin,GER,1988-02-26,Carlo Thränhardt,1957,men,Indoor
2.43,High Jump,NACAC,,CUB,Budapest,HUN,1989-03-04,Javier Sotomayor,1967,men,Indoor
2.34,High Jump,Oceania,,NZL,Banská Bystrica,SVK,2023-02-14,Hamish Kerr,1996,men,Indoor
2.31,High Jump,South America,,BRA,Beograd,SRB,2022-03-20,Thiago Julio Moura,1995,men,Indoor
8.44,Long Jump,Africa,,RSA,Birmingham,GBR,2018-03-02,Luvo Manyonga,1991,men,Indoor
8.27,Long Jump,Asia,,CHN,Nanjing,CHN,2010-03-11,Su Xiongfeng,1987,men,Indoor
8.71,Long Jump,Europe,,GER,Torino,ITA,2009-03-08,Sebastian Bayer,1986,men,Indoor
8.79,Long Jump,NACAC,,USA,New York NY,USA,1984-01-27,Carl Lewis,1961,men,Indoor
8.25,Long Jump,Oceania,,AUS,Portland OR,USA,2016-03-20,Fabrice LaPierre,1983,men,Indoor
8.42,Long Jump,South America,,PAN,Athína,GRE,2008-02-13,Irving Saladino,1983,men,Indoor
3:47.01,One Mile,Africa,,ETH,Boston MA,USA,2019-03-03,Yomif Kejelcha,1997,men,Indoor
3:54.84,One Mile,Asia,,JPN,Boston MA,USA,2024-02-10,Ryuma Aoki,1997,men,Indoor
3:48.93,One Mile,Europe,,GBR,New York NY,USA,2024-02-11,George Mills,1999,men,Indoor
3:47.38,One Mile,NACAC,,USA,New York NY,USA,2023-02-11,Yared Nuguse,1999,men,Indoor
3:50.83,One Mile,Oceania,,AUS,New York NY,USA,2022-01-29,Olli Hoare,1997,men,Indoor
3:50.83,One Mile,Oceania,,AUS,New York NY,USA,2023-02-11,Olli Hoare,1997,men,Indoor
3:56.26,One Mile,South America,,BRA,Fayetteville AR,USA,2001-02-10,Hudson de Souza,1977,men,Indoor
5.93,Pole Vault,Asia,,PHI,Berlin,GER,2024-02-23,Ernest John Obiena,1995,men,Indoor
6.22,Pole Vault,Europe,,SWE,Clermont-Ferrand,FRA,2023-02-25,Armand Duplantis,1999,men,Indoor
6.01,Pole Vault,NACAC,,USA,Rouen,FRA,2020-02-08,Sam Kendricks,1992,men,Indoor
6.06,Pole Vault,Oceania,,AUS,Boston MA,USA,2009-02-07,Steve Hooker,1982,men,Indoor
5.95,Pole Vault,South America,,BRA,Beograd,SRB,2022-03-20,Thiago Braz,1993,men,Indoor
21.63,Shot Put,Africa,,NGR,Nehvizdy,CZE,2024-02-20,Chukwuebuka Enekwechi,1993,men,Indoor
21.10,Shot Put,Asia,,BRN,Gomel,BLR,2021-01-29,Abdelrahman Mahmoud,2001,men,Indoor
22.55,Shot Put,Europe,,GER,Senftenberg,GER,1989-02-11,Ulf Timmermann,1962,men,Indoor
23.38,Shot Put,NACAC,,USA,Pocatello ID,USA,2023-02-18,Ryan Crouser,1992,men,Indoor
22.31,Shot Put,Oceania,,NZL,Birmingham,GBR,2018-03-03,Tom Walsh,1992,men,Indoor
22.31,Shot Put,Oceania,,NZL,Beograd,SRB,2022-03-19,Tom Walsh,1992,men,Indoor
