code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AL;5;1K0;M;2:22.12;;Ashenfelter Indoor Track;USA;Indoor;2024-01-13;;Yukichi;Ishii;JPN;2002;Male
AL;5;300;W;41.17;;Municipal Stadium;JPN;Outdoor;2024-03-23;;;;JPN;;Female
AL;5;4×1;M;38.73;;Percy Beard Track;USA;Outdoor;2024-03-30;;;;CHN;;Male
AL;5;11H;M;13.43;1.4;Niigatashi Field;JPN;Outdoor;2024-04-07;;Ryota;Machi;JPN;2001;Male
AL;5;DRE;W;13.83;1.6;Fukuoka University Stadium;JPN;Outdoor;2024-03-30;;Maoko;Takashima;JPN;1999;Female
AL;5;1K5;M;3:37.13;;The Crest Athletics Centre;AUS;Outdoor;2024-02-22;;Ryoji;Tatezawa;JPN;1997;Male
AL;5;4×4;W;3:28.64;;Sports Complex;IND;Outdoor;2024-03-24;;;;IND;;Female
AL;5;800;M;1:46.12;;Percy Beard Track;USA;Outdoor;2024-03-30;;Parvej;Khan;IND;2004;Male
AL;5;WEI;M;8.28;1.4;UMiami Cobb Stadium;USA;Outdoor;2024-03-15;;Yuki;Hashioka;JPN;1999;Male
AL;5;200;M;20.15;1.6;Percy Beard Track;USA;Outdoor;2024-04-12;;Zhenye;Xie;CHN;1993;Male
AL;5;MEI;W;4:47.54;;Vanderbilt Multipurpose Facility;USA;Indoor;2024-01-20;;Helena;May Lindsay;JPN;;Female
AL;5;60M;W;7.2;;Aftab Enghelab Sport Complex;IRI;Indoor;2024-02-18;;Farzaneh;Fasihi;IRI;1993;Female
AL;5;1K5;W;4:07.98;;Egao Kenko Stadium;JPN;Outdoor;2024-04-13;;Nozomi;Tanaka;JPN;1999;Female
AL;5;10H;W;12.97;1.8;Percy Beard Track;USA;Outdoor;2024-04-13;;Yuwei;Lin;CHN;1999;Female
AL;5;100;M;10.02;0.5;UMiami Cobb Stadium;USA;Outdoor;2024-03-23;;Abdul;Hakim Sani Brown;JPN;1999;Male
AL;5;300;M;32.52;;Hamayama Park Athletic Field;JPN;Outdoor;2024-04-14;;Yudai;Nishi;JPN;2000;Male
AL;5;600;M;1:18.29;;SPIRE Institute Indoor Track & Field Facility;USA;Indoor;2024-02-23;;Yukichi;Ishii;JPN;2002;Male
AL;5;800;W;2:04.63;;Jiangsu Sports Bureau Training Center;CHN;Indoor;2024-03-16;;Chunyu;Wang;CHN;1995;Female
AL;5;10G;W;44:05.50;;AIS Athletics Track;AUS;Outdoor;2024-01-27;;Hong;Liu;CHN;1987;Female
AL;5;5G;M;20:55.68;;Niigatashi Field;JPN;Outdoor;2024-04-07;;Min-gi;Song;KOR;2001;Male
AL;5;60H;M;7.58;;Helmut-Körnig-Halle;GER;Indoor;2024-01-20;;Yaqoub;Alyouha;KUW;1993;Male
