Place,Competition,Country,Start Date,End Date,Part. Score,P.S. Place,Result Score,R.S. Place,W.R. Score,Comp. Score
38,"Canberra Track Classic, AIS Athletics Track, Canberra",AUS,01 MAR 2024,02 MAR 2024,345,48.0,78829,37,0,79174
39,"Hurricane Invitational, UMiami Cobb Stadium, Coral Gables, FL",USA,15 MAR 2024,16 MAR 2024,420,36.0,78509,41,0,78929
40,"Texas Tech Corky/Crofoot Shootout, Terry & Linda Fuller T&F Complex, Lubbock, TX",USA,26 APR 2024,27 APR 2024,145,95.0,78665,40,0,78810
41,"Hurricane Alumni Invitational, UMiami Cobb Stadium, Coral Gables, FL",USA,05 APR 2024,06 APR 2024,415,40.0,78349,45,0,78764
42,"USF Alumni Invitational, University of South Florida Track & Field Stadium, Tampa, FL",USA,15 MAR 2024,16 MAR 2024,35,212.0,78708,39,0,78743
43,"44 Farms Team Invitational, Cushing Stadium, College Station, TX",USA,05 APR 2024,06 APR 2024,225,69.0,78479,43,0,78704
44,"Virginia Challenge, UVA Lanningan Field, Charlottesville, VA",USA,19 APR 2024,20 APR 2024,245,66.0,78430,44,0,78675
45,"39th Shizuoka International Athletics Meet, Prefectural Shizuoka Stadium, Fukuroi",JPN,03 MAY 2024,03 MAY 2024,405,43.0,78187,48,0,78592
46,"Duke Invitational, Morris Williams T&F Stadium, Durham, NC",USA,11 APR 2024,13 APR 2024,75,153.0,78500,42,0,78575
47,"Occidental Invitational, Jack Kemp Stadium, Los Angeles, CA",USA,04 MAY 2024,04 MAY 2024,340,50.0,78223,46,0,78563
48,"Texas A&M Alumni Muster, Cushing Stadium, College Station, TX",USA,20 APR 2024,20 APR 2024,180,81.0,78136,50,0,78316
49,"Franson Last Chance, Cougar Athletic Stadium, Azusa, CA",USA,09 MAY 2024,11 MAY 2024,85,137.0,78211,47,0,78296
50,"National Athletics Grand Prix 1, Zhaoqing Sports Center, Zhaoqing",CHN,09 APR 2024,10 APR 2024,340,50.0,77926,56,0,78266
51,"John McDonnell Invitational, John McDonnell Field, Fayetteville, AR",USA,18 APR 2024,19 APR 2024,85,137.0,78164,49,0,78249
