result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
73.38,EST,Helsingborg,SWE,2006-09-04,Gerd Kanter,1979,Male,DT,NR,Outdoor
46.46,ETH,Rabat,MAR,2019-08-26,Mamush Taye,2001,Male,DT,NR,Outdoor
53.89,FIJ,Hobbs,USA,2019-05-17,Mustafa Fall,1995,Male,DT,NR,Outdoor
69.97,FIN,Helsingborg,SWE,2007-09-15,Frantz Kruger,1975,Male,DT,NR,Outdoor
68.90,FRA,Salôn-de-Provence,FRA,2002-07-17,Jean-Claude Retel,1968,Male,DT,NR,Outdoor
38.15,FSM,Koror,PLW,2010-04-08,Clayton Maluwelgiye,,Male,DT,NR,Outdoor
50.21,GAB,Cesson-Sévigné,FRA,2014-06-29,Mve Siegfried-Lucci,1988,Male,DT,NR,Outdoor
42.61,GAM,La Verne,USA,2019-03-30,Alieu Corr,,Male,DT,NR,Outdoor
68.24,GBR,Halle,GER,2012-05-19,Lawrence Okoye,1991,Male,DT,NR,Outdoor
49.70,GBS,Leiria,POR,2018-06-28,Otoniel Badjana,1998,Male,DT,NR,Outdoor
63.10,GEO,Tbilisi,URS,1968-09-01,Guram Gudashvili,1941,Male,DT,NR,Outdoor
40.53,GEQ,Mongomo,GUI,2002-05-07,Sergio Mba Nsoho,,Male,DT,NR,Outdoor
74.08,GER,Neubrandenburg,GER,1986-06-06,Jürgen Schult,1960,Male,DT,NR,Outdoor
52.98,GHA,Clemson,USA,2010-04-15,Kwabena Keene,1989,Male,DT,NR,Outdoor
35.34,GIB,UNKNOWN,???,1986-06-19,Stanley Olivero,1945,Male,DT,NR,Outdoor
64.90,GRE,Lawrence,USA,2023-04-14,Dimítrios Pavlídis,2003,Male,DT,NR,Outdoor
61.56,GRN,Commerce,USA,2022-04-28,Josh Boateng,1997,Male,DT,NR,Outdoor
50.49,GUA,Ciudad de Guatemala,GUA,2004-03-26,Raúl Rivera,1976,Male,DT,NR,Outdoor
40.00,GUI,Fria,GUI,1987-04-25,Fode Sidibe,,Male,DT,NR,Outdoor
48.15,GUM,Townsville,AUS,2004-12-18,Justin Andre,1984,Male,DT,NR,Outdoor
50.44,GUY,Piscataway,USA,2001-05-05,Patrick Harding,1980,Male,DT,NR,Outdoor
50.92,HAI,Kutztown,USA,2022-08-05,Abel Amstrong Gilet,1991,Male,DT,NR,Outdoor
46.16,HKG,Kaohsiung,TPE,2011-05-27,Chiu Lap San,,Male,DT,NR,Outdoor
53.54,HON,Sacramento,USA,2019-03-30,Zack Short,1997,Male,DT,NR,Outdoor
71.70,HUN,Szombathely,HUN,2002-07-14,Róbert Fazekas,1975,Male,DT,NR,Outdoor
52.95,INA,Jakarta,INA,2011-07-01,Hermanto,1987,Male,DT,NR,Outdoor
66.28,IND,Norman,USA,2012-04-12,Vikas Gowda,1983,Male,DT,NR,Outdoor
69.32,IRI,Tallinn,EST,2008-06-03,Ehsan Hadadi,1985,Male,DT,NR,Outdoor
67.89,IRL,Helsingborg,SWE,1998-09-04,Nick Sweeney,1968,Male,DT,NR,Outdoor
60.89,IRQ,Baku,AZE,2017-05-16,Kadhim Mustafa Daghir,1995,Male,DT,NR,Outdoor
69.35,ISL,Reykjavik,ISL,2020-09-16,Gudni Valur Guðnason,1995,Male,DT,NR,Outdoor
62.24,ISR,Tel Aviv,ISR,1991-06-01,Igor Avrunin,1957,Male,DT,NR,Outdoor
33.18,ISV,Fort-de-France,FRA,1983-04-03,Leroy Merchant,,Male,DT,NR,Outdoor
67.62,ITA,Spoleto,ITA,1989-05-28,Marco Martino,1960,Male,DT,NR,Outdoor
62.77,IVB,Lake Charles,USA,2023-03-11,Djimon Gumbs,2000,Male,DT,NR,Outdoor
70.78,JAM,Rabat,MAR,2019-06-16,Fedrick Dacres,1994,Male,DT,NR,Outdoor
62.64,JOR,Amman,JOR,2012-10-11,Musaeb Al-Momani,1986,Male,DT,NR,Outdoor
62.59,JPN,Tama,JPN,2020-03-27,Yuji Tsutsumi,1989,Male,DT,NR,Outdoor
60.30,KAZ,Alma-Ata,URS,1975-04-26,Vitaliy Zhuk,1946,Male,DT,NR,Outdoor
56.08,KEN,Nairobi,KEN,1994-07-23,James Nyambureti,,Male,DT,NR,Outdoor
59.60,KGZ,Frunze,USA,1982-05-12,Nikolay Syskin,1958,Male,DT,NR,Outdoor
41.86,KIR,Bairiki,KIR,2009-07-09,Raobu Tarawa,1990,Male,DT,NR,Outdoor
59.68,KOR,Yeosu,KOR,2013-06-08,Choi Jong-Bum,1981,Male,DT,NR,Outdoor
50.33,KOS,Mitrovice,KOS,2022-05-08,Alaudin Suma,2002,Male,DT,NR,Outdoor
65.52,KSA,Biała Podlaska,POL,2016-06-18,Sultan Mubarak Al-Dawoodi,1977,Male,DT,NR,Outdoor
63.22,KUW,Manama,BRN,2015-04-27,Essa Moh.Gharib Al-Zankawi,1992,Male,DT,NR,Outdoor
40.00,LAO,Oudomxay,LAO,2014-12-10,Vilad Tammavong,,Male,DT,NR,Outdoor
62.00,LAT,Gomel,URS,1975-08-26,Stanislav Skruls,1947,Male,DT,NR,Outdoor
58.16,LBA,Tripoli,LBA,2012-04-07,Ali Khalifa Maaloul,1983,Male,DT,NR,Outdoor
54.15,LBN,Beyrouth,LBN,2004-09-24,Georges Hashem,1976,Male,DT,NR,Outdoor
48.14,LBR,Maputo,MOZ,2011-09-12,Jangy Addy,1985,Male,DT,NR,Outdoor
45.20,LCA,Bridgetown,BAR,1992-06-07,Ricky Deligny,,Male,DT,NR,Outdoor
34.50,LES,Durban,RSA,1997-06-21,Alfred Mokoyana,,Male,DT,NR,Outdoor
43.36,LIE,Bale,FRA,1938-07-23,Oskar Ospelt,1908,Male,DT,NR,Outdoor
73.88,LTU,Kaunas,LTU,2000-08-03,Virgilijus Alekna,1972,Male,DT,NR,Outdoor
61.06,LUX,Luxembourg,LUX,2019-09-15,Bob Bertemes,1993,Male,DT,NR,Outdoor
39.65,MAC,Macau,MAC,2005-11-01,Wong Wai Wong,1987,Male,DT,NR,Outdoor
42.24,MAD,Antananarivo,MAD,1993-08-14,Francklin Lahossa,,Male,DT,NR,Outdoor
59.37,MAR,Oudja,MAR,2007-06-24,Nabil Kiram,1982,Male,DT,NR,Outdoor
62.55,MAS,Linz,AUT,2017-05-25,Mohd Irfan Shamsuddin,1995,Male,DT,NR,Outdoor
42.14,MAW,Mangula,ZIM,1972-01-22,Wilfred Mwalawanda-Ngwenya,1944,Male,DT,NR,Outdoor
65.46,MDA,Yerevan,URS,1980-10-19,Georgiy Zelentsov,1955,Male,DT,NR,Outdoor
32.30,MDV,Male,MDV,2014-04-24,Hassan Shamoon,,Male,DT,NR,Outdoor
63.35,MEX,Chula Vista,USA,2016-06-18,Mario Cota,1990,Male,DT,NR,Outdoor
60.14,MGL,Busan,KOR,1997-05-18,Dashdendev Makhashiri,1969,Male,DT,NR,Outdoor
36.04,MHL,Abay,FSM,2018-07-16,Aho Sione,,Male,DT,NR,Outdoor
49.73,MKD,Skopje,MKD,1998-08-28,Ilijan Manolev,1976,Male,DT,NR,Outdoor
62.48,MLI,Colombes,FRA,1972-04-23,Namakoro Niaré,1943,Male,DT,NR,Outdoor
53.80,MLT,Marsa,MLT,2023-01-07,Bradley Mifsud,1996,Male,DT,NR,Outdoor
65.59,MNE,Bar,MNE,2021-04-10,Danijel Furtula,1992,Male,DT,NR,Outdoor
34.24,MNT,Plymouth,GBR,1982-07-24,Eugene Skerritt,,Male,DT,NR,Outdoor
40.34,MON,Amiens,FRA,2019-09-22,Boris Vain,1993,Male,DT,NR,Outdoor
46.54,MOZ,Berlin,FRG,1982-09-15,Emilio Tembe,,Male,DT,NR,Outdoor
59.78,MRI,Kinshasa,COD,2023-08-01,Christopher Sophie,1991,Male,DT,NR,Outdoor
45.00,MTN,Nouakchott,MTN,1977-10-07,Samba Sy,,Male,DT,NR,Outdoor
