result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
47.82,EST,Turku,FIN,2022-06-14,Rasmus Mägi,1992,Male,400H,NR,Outdoor
51.26,ETH,Annaba,ALG,1988-01-09,Tesfaye Aschalew,1969,Male,400H,NR,Outdoor
51.67,FIJ,Santa Rita,GUM,1999-06-11,Joe Naivalu,1978,Male,400H,NR,Outdoor
49.04,FIN,Río de Janeiro,BRA,2016-08-15,Oskari Mörö,1993,Male,400H,NR,Outdoor
47.37,FRA,Lausanne,SUI,1995-07-05,Stéphane Diagana,1969,Male,400H,NR,Outdoor
57.36,FSM,Kolonia,FSM,2002-07-23,Ronnie Ifamilik,,Male,400H,NR,Outdoor
55.32,GAB,Alger,ALG,1978-07-22,Daniel Ololo,,Male,400H,NR,Outdoor
54.66,GAM,Madrid,ESP,2020-09-05,Demba Sanyang,2001,Male,400H,NR,Outdoor
47.82,GBR,Barcelona,ESP,1982-08-06,Kriss Akabusi,1958,Male,400H,NR,Outdoor
50.68,GBS,Lisboa,POR,1998-06-20,Edivaldo Monteiro,1976,Male,400H,NR,Outdoor
51.40,GEO,Sochi,URS,1986-05-18,Arkadi Bronnikov,1966,Male,400H,NR,Outdoor
57.43,GEQ,Las Palmas,ESP,2017-04-29,Juan Cabrera,,Male,400H,NR,Outdoor
47.48,GER,Athína,GRE,1982-09-08,Harald Schmid,1957,Male,400H,NR,Outdoor
50.40,GHA,Greensboro,USA,2012-05-05,Keith Nkrumah,1990,Male,400H,NR,Outdoor
55.69,GIB,Bromley,GBR,2018-04-14,Oscar Heaney Brufal,2001,Male,400H,NR,Outdoor
47.82,GRE,Osaka,JPN,2006-05-06,Periklís Iakovákis,1979,Male,400H,NR,Outdoor
49.51,GRN,Eugene,USA,2006-05-14,Shane Charles,1983,Male,400H,NR,Outdoor
50.16,GUA,Ciudad de Guatemala,GUA,2009-06-13,Allan Ayala,1986,Male,400H,NR,Outdoor
50.81,GUI,Atlanta,USA,1998-05-23,Amadou Sy Savane,1974,Male,400H,NR,Outdoor
56.25,GUM,Tumon,GUM,2008-05-17,Kenneth Karosich,1990,Male,400H,NR,Outdoor
49.95,GUY,La Chaux-de-Fonds,SUI,2000-08-13,Paul Tucker,1976,Male,400H,NR,Outdoor
49.99,HAI,Princeton,USA,2009-05-17,Alie Beauvais,1988,Male,400H,NR,Outdoor
50.88,HKG,Norwalk,USA,2016-04-16,Chan Ka Chun,1989,Male,400H,NR,Outdoor
51.77,HON,Managua,NCA,2006-03-06,Jonnie E. Lowe,1979,Male,400H,NR,Outdoor
48.45,HUN,Athína,GRE,1997-08-03,Dusán Kovács,1971,Male,400H,NR,Outdoor
50.81,INA,New Clark City,PHI,2019-12-10,Edwin Binsar Holomuan,2000,Male,400H,NR,Outdoor
48.80,IND,Patiala,IND,2019-03-16,Ayyasamy Dharun,1996,Male,400H,NR,Outdoor
49.33,IRI,Lucknow,IND,2019-08-28,Mehdi Pirjahan,1999,Male,400H,NR,Outdoor
49.33,IRI,Tehran,IRI,2020-10-02,Mehdi Pirjahan,1999,Male,400H,NR,Outdoor
47.97,IRL,Río de Janeiro,BRA,2016-08-18,Thomas Barr,1992,Male,400H,NR,Outdoor
49.95,IRQ,Sofia,BUL,1977-08-22,Talib Faizal Al-Saffar,1949,Male,400H,NR,Outdoor
51.17,ISL,Rehlingen,GER,2008-05-24,Björgvin Vikingsson,1983,Male,400H,NR,Outdoor
49.87,ISR,Koblenz,GER,1991-09-11,Aleksey Bazarov,1963,Male,400H,NR,Outdoor
49.83,ISV,Fayetteville,USA,2009-06-11,Leslie Murray,1991,Male,400H,NR,Outdoor
47.54,ITA,Edmonton,CAN,2001-08-10,Fabrizio Mori,1969,Male,400H,NR,Outdoor
47.08,IVB,Tokyo,JPN,2021-08-03,Kyron McMaster,1997,Male,400H,NR,Outdoor
47.34,JAM,Budapest,HUN,2023-08-21,Roshawn Clarke,2004,Male,400H,NR,Outdoor
53.62,JOR,Latakia,SYR,1993-09-27,Hassan Abou Najem,,Male,400H,NR,Outdoor
47.89,JPN,Edmonton,CAN,2001-08-10,Dai Tamesue,1978,Male,400H,NR,Outdoor
48.46,KAZ,Beijing,CHN,2001-08-31,Yevgeniy Meleshenko,1981,Male,400H,NR,Outdoor
47.78,KEN,Río de Janeiro,BRA,2016-08-18,Bonface Mucheru,1992,Male,400H,NR,Outdoor
51.32,KGZ,Almaty,KAZ,2008-07-04,Aleksey Pogorelov,1983,Male,400H,NR,Outdoor
59.21,KIR,Apia,SAM,2007-05-09,Beteru Ateri,,Male,400H,NR,Outdoor
49.80,KOR,Seoul,KOR,1990-06-10,Hwang Hong-Chul,1966,Male,400H,NR,Outdoor
47.53,KSA,Sydney,AUS,2000-09-27,Hadi Sou’an Al-Somaily,1976,Male,400H,NR,Outdoor
49.13,KUW,Hyderabad,IND,2002-05-18,Bader Abdulrahman Aman,1977,Male,400H,NR,Outdoor
54.59,LAO,Phonsavan,LAO,2022-12-01,Xaysa Anousone,1994,Male,400H,NR,Outdoor
49.60,LAT,Eugene,USA,2001-06-01,Viktors Lācis,1977,Male,400H,NR,Outdoor
50.21,LBA,Pescara,ITA,2009-07-03,Hamza Deyaf,1985,Male,400H,NR,Outdoor
49.26,LBN,Pretoria,RSA,2024-03-18,Marc Anthony Ibrahim,2002,Male,400H,NR,Outdoor
49.55,LBR,Atlanta,USA,2005-05-14,O'Neil Wright,1980,Male,400H,NR,Outdoor
52.45,LCA,Kearney,USA,2018-05-06,Alva Henry,,Male,400H,NR,Outdoor
54.65,LES,Durban,RSA,2010-03-20,Relebohile C. Mosito,,Male,400H,NR,Outdoor
57.94,LIE,Sargans,SUI,1985-06-08,Kurt Wachter,1953,Male,400H,NR,Outdoor
50.39,LTU,Jessheim,NOR,2012-07-21,Silvestras Guogis,1990,Male,400H,NR,Outdoor
50.94,LUX,Chambéry,FRA,2013-06-30,Jacques Frisch,1987,Male,400H,NR,Outdoor
55.24,MAC,Yecheon,KOR,2023-06-05,Cheong Chi Chong,2004,Male,400H,NR,Outdoor
49.53,MAD,Ottawa,CAN,2001-07-23,Yvon Rakotoarimaindry,1976,Male,400H,NR,Outdoor
48.82,MAR,Accra,GHA,2024-03-21,Saad Hinti,2002,Male,400H,NR,Outdoor
51.26,MAS,Yecheon,KOR,2023-06-06,Muh. Fakhrul Afizur,2004,Male,400H,NR,Outdoor
48.61,MDA,Split,YUG,1990-08-29,Vadim Zadoinov,1969,Male,400H,NR,Outdoor
49.32,MEX,Napoli,ITA,2019-07-11,Fernando Vega,1998,Male,400H,NR,Outdoor
54.00,MGL,Bratislava,TCH,1990-06-20,Tsendsuren Erdene-Munkh,,Male,400H,NR,Outdoor
55.11,MKD,Zagreb,YUG,1980-06-05,Branko Ilievski,1961,Male,400H,NR,Outdoor
49.13,MLI,Dakar,SEN,2007-04-28,Ibrahima Maïga,1979,Male,400H,NR,Outdoor
55.53,MLT,Marsa,MLT,2017-04-01,Daniel Saliba,1995,Male,400H,NR,Outdoor
54.17,MNE,Beograd,SRB,1998-06-28,Milan Vukovic,1969,Male,400H,NR,Outdoor
1:05.44,MNT,Pomona,USA,2006-03-25,Gavin Gerald,,Male,400H,NR,Outdoor
56.81,MON,Tourrettes,FRA,2019-06-22,José-Manuel Gastaud,2001,Male,400H,NR,Outdoor
49.02,MOZ,Praha,CZE,2012-06-11,Kurt Couto,1985,Male,400H,NR,Outdoor
49.94,MRI,Atlanta,USA,1996-07-29,Gilbert Hashan,1970,Male,400H,NR,Outdoor
52.07,MYA,Manila,PHI,1991-12-02,Htay Win,,Male,400H,NR,Outdoor
49.05,NAM,Roodepoort,RSA,2001-03-16,Willie Smith,1977,Male,400H,NR,Outdoor
54.74,NCA,Ciudad de Panamá,PAN,2010-04-19,Lenin Vanegas,,Male,400H,NR,Outdoor
48.36,NED,La Chaux-de-Fonds,SUI,2023-07-02,Nick Smidt,1997,Male,400H,NR,Outdoor
53.23,NEP,Dhaka,BAN,1993-12-25,Asha Ram Chaudhari,,Male,400H,NR,Outdoor
1:24.43,NFI,Middlegate,USA,2001-11-12,Kenny Christopher,,Male,400H,NR,Outdoor
48.42,NGR,Lubbock,USA,2022-05-15,Nathaniel Ezekiel,2003,Male,400H,NR,Outdoor
52.33,NIG,Niamey,NIG,2005-12-13,Nasser Dan Matta,1987,Male,400H,NR,Outdoor
1:04.11,NIU,Suva,FIJ,1979-08-30,Tom Dooley Jackson,,Male,400H,NR,Outdoor
59.70,NMI,Kolonia,FSM,2002-07-22,Shane Ogumoro,1983,Male,400H,NR,Outdoor
45.94,NOR,Tokyo,JPN,2021-08-03,Karsten Warholm,1996,Male,400H,NR,Outdoor
