result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3:52.57,LUX,Pfungstadt,GER,2023-09-06,Charles Grethen,1992,Male,Mile,NR,Outdoor
3:43.13,MAR,Roma,ITA,1999-07-07,Hicham El Guerrouj,1974,Male,Mile,NR,Outdoor
3:56.13,MEX,Concord,USA,2017-06-01,Daniel Herrera,1992,Male,Mile,NR,Outdoor
4:22.1,MLT,Marsa,MLT,1995-01-01,Xandru Grech,1974,Male,Mile,NR,Outdoor
4:01.56,MOZ,Paarl,RSA,2018-03-22,Flávio Seholhe,1990,Male,Mile,NR,Outdoor
4:18.20,MRI,Rose Hill,USA,1984-06-14,Jacques Legrand,,Male,Mile,NR,Outdoor
3:48.93,NED,Eugene,USA,2023-09-16,Niels Laros,2005,Male,Mile,NR,Outdoor
4:04.79,NGR,USA,USA,1994-01-01,Tony Osheku,1966,Male,Mile,NR,Outdoor
3:43.73,NOR,Eugene,USA,2023-09-16,Jakob Ingebrigtsen,2000,Male,Mile,NR,Outdoor
3:49.08,NZL,Oslo,NOR,1982-07-07,John Walker,1952,Male,Mile,NR,Outdoor
4:16.72,PAR,Asunción,PAR,2013-02-09,Derlis Ayala,1990,Male,Mile,NR,Outdoor
3:53.21,PER,Concord,USA,2017-06-01,David Torrence,1985,Male,Mile,NR,Outdoor
4:27.29,PNG,Brisbane,AUS,2005-06-05,Sapolai Yao,1982,Male,Mile,NR,Outdoor
3:49.11,POL,Oslo,NOR,2021-07-01,Marcin Lewandowski,1987,Male,Mile,NR,Outdoor
3:49.50,POR,Roma,ITA,2002-07-12,Rui Silva,1977,Male,Mile,NR,Outdoor
3:56.4,PUR,Ponce,PUR,1975-08-16,Antonio Colon,1953,Male,Mile,NR,Outdoor
3:47.97,QAT,Oslo,NOR,2005-07-29,Dahame Najem Bashir,1979,Male,Mile,NR,Outdoor
3:57.73,ROU,Dublin,IRL,2013-07-17,Ioan Zaizan,1983,Male,Mile,NR,Outdoor
3:50.70,RSA,Eugene,USA,2014-05-31,Johan Cronje,1982,Male,Mile,NR,Outdoor
3:49.83,RUS,Roma,ITA,2001-06-29,Vyacheslav Shabunin,1969,Male,Mile,NR,Outdoor
3:57.82,RWA,Falmouth,USA,2000-08-19,Alexis Sharangabo,1978,Male,Mile,NR,Outdoor
3:59.91,SAM,Wanganui,NZL,2008-02-16,Aunese Curreen,1985,Male,Mile,NR,Outdoor
4:02.48,SGP,Auckland,NZL,2005-02-24,Stu Foo Kerr,,Male,Mile,NR,Outdoor
3:58.89,SLO,Linz,AUT,1993-08-25,Bekim Bahtiri,1972,Male,Mile,NR,Outdoor
4:30.60,SMR,San Marino,SMR,1998-04-04,Gian Luigi Macina,1963,Male,Mile,NR,Outdoor
3:49.40,SOM,Oslo,NOR,1988-07-02,Abdi Bile,1962,Male,Mile,NR,Outdoor
3:52.24,SRB,Berlin,FRG,1983-08-17,Dragan Zdravkovic,1959,Male,Mile,NR,Outdoor
4:08.84,SSD,Des Moines,USA,2018-04-28,Dey Tuach Dey,1989,Male,Mile,NR,Outdoor
3:53.74,SUD,Berlin,FRG,1984-08-17,Omar Khalifa,1956,Male,Mile,NR,Outdoor
3:50.38,SUI,Koblenz,FRG,1982-08-25,Pierre Délèze,1958,Male,Mile,NR,Outdoor
4:33.1,SUR,Paramaribo,SUR,1990-03-23,Tommy Asinga,1968,Male,Mile,NR,Outdoor
3:58.20,SVK,Zagreb,CRO,1998-07-07,Róbert Štefko,1968,Male,Mile,NR,Outdoor
3:53.83,SWE,Oslo,NOR,2019-06-13,Kalle Berglund,1996,Male,Mile,NR,Outdoor
4:09.60,SWZ,Des Moines,USA,2000-04-29,Ozzie Mdziniso,1970,Male,Mile,NR,Outdoor
3:51.00,TAN,Kingston,JAM,1975-05-17,Filbert Bayi,1953,Male,Mile,NR,Outdoor
3:57.87,THA,Nashville,USA,2020-08-15,Kieran Tuntivate,1997,Male,Mile,NR,Outdoor
4:07.72,TJK,Tula,RUS,2004-06-06,Yevgeniy Stakanov,1980,Male,Mile,NR,Outdoor
4:02.43,TTO,Port of Spain,TTO,2000-01-01,Sheldon Monderoy,1972,Male,Mile,NR,Outdoor
