result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
8:52.57,AFG,Molde,NOR,2010-09-03,Aman Haidari,,Male,3000,NR,Outdoor
8:48.13,AHO,Weinstadt,GER,1993-08-07,James Lynch,,Male,3000,NR,Outdoor
7:51.84,ALB,Nembro,ITA,2022-08-02,David Nikolli,1994.0,Male,3000,NR,Outdoor
7:25.02,ALG,Monaco,MON,2000-08-18,Ali Saïdi-Sief,1978.0,Male,3000,NR,Outdoor
8:01.65,AND,Sabadell,ESP,2023-02-03,Nahuel Carabaña,1999.0,Male,3000,NR,Outdoor
7:58.5,ANG,San Diego CA,USA,1996-03-02,João N'Tyamba,1968.0,Male,3000,NR,Outdoor
8:45.40,ANT,Coral Gables FL,USA,2007-04-10,Elliott Mason,,Male,3000,NR,Outdoor
7:49.54,ARG,Mataró,ESP,2009-08-04,Javier Carriqueo,1979.0,Male,3000,NR,Outdoor
8:09.8,ARM,Tiraspol,URS,1976-07-17,Artanas Mikoyan,1950.0,Male,3000,NR,Outdoor
8:24.8,ARU,Middelburg,NED,1988-07-06,Kimball Reynierse,1961.0,Male,3000,NR,Outdoor
10:52.6,ASA,Utulei,ASA,1992-10-04,Afutolu Lefaoseu,,Male,3000,NR,Outdoor
7:28.02,AUS,Roma,ITA,2020-09-17,Stewart McSweyn,1995.0,Male,3000,NR,Outdoor
7:43.66,AUT,Lausanne,SUI,1980-08-15,Dietmar Millonig,1955.0,Male,3000,NR,Outdoor
7:34.57,AZE,Doha,QAT,2013-05-10,Hayle Ibrahimov,1990.0,Male,3000,NR,Outdoor
8:43.59,BAH,Philadelphia PA,USA,1993-04-23,David Bell,,Male,3000,NR,Outdoor
8:33.97,BAR,Stanford CA,USA,1998-05-16,Kenrick Sealy,,Male,3000,NR,Outdoor
7:25.93,BDI,Monaco,MON,2022-08-10,Thierry Ndikumwenayo,1997.0,Male,3000,NR,Outdoor
7:26.62,BEL,Monaco,MON,2000-08-18,Mohammed Mourhit,1970.0,Male,3000,NR,Outdoor
8:38.53,BEN,Dakar,SEN,1998-08-20,Imorou Zato,,Male,3000,NR,Outdoor
8:05.88,BER,Kingston,JAM,2017-05-20,Lamont Marshall,1984.0,Male,3000,NR,Outdoor
9:28.0,BHU,Punakha,BHU,2001-01-12,Kuenzang Norbu,,Male,3000,NR,Outdoor
8:07.15,BIH,Maribor,YUG,1981-06-02,Vinko Pokrajcic,1958.0,Male,3000,NR,Outdoor
8:35.52,BIZ,Eugene OR,USA,2004-03-20,Patrick Fuller,,Male,3000,NR,Outdoor
7:46.3,BLR,Vilnius,URS,1978-06-24,Aleksandr Fedotkin,1955.0,Male,3000,NR,Outdoor
8:06.51,BOL,Trujillo2,PER,2018-08-26,Daniel Toroya,1992.0,Male,3000,NR,Outdoor
7:51.8,BOT,Stellenbosch,RSA,1979-02-15,Matthews Motshwarateu,1958.0,Male,3000,NR,Outdoor
7:39.70,BRA,Lausanne,SUI,2002-07-02,Hudson de Souza,1977.0,Male,3000,NR,Outdoor
7:32.02,BRN,Saint-Denis,FRA,2016-08-27,Albert Rop,1992.0,Male,3000,NR,Outdoor
9:48.21,BRU,Darwin,AUS,2007-05-15,Hj Mohd Is'srah,,Male,3000,NR,Outdoor
7:46.34,BUL,Oslo,NOR,1987-07-04,Evgeni Ignatov,1959.0,Male,3000,NR,Outdoor
8:53.85,BUR,Berlin,GER,2022-06-05,Moctare Simpore,1998.0,Male,3000,NR,Outdoor
8:17.3,CAF,Saint-Maur,FRA,1996-07-24,Christian Yago,1967.0,Male,3000,NR,Outdoor
9:59.54,CAM,Ho Chi Minh,VIE,2009-06-06,Samphors Soum,,Male,3000,NR,Outdoor
7:36.46,CAN,Zagreb,CRO,2023-09-10,Kieran Lumb,1998.0,Male,3000,NR,Outdoor
8:44.03,CAY,Philadelphia PA,USA,2019-03-23,Dominic Dyer,,Male,3000,NR,Outdoor
8:14.30,CGO,Bondoufle,FRA,2023-05-21,Alex Ngouari-Mouissi,1991.0,Male,3000,NR,Outdoor
8:15.57,CHA,Nembro,ITA,2019-06-28,Mahamat Ali Hissein,2000.0,Male,3000,NR,Outdoor
7:53.37,CHI,Madrid,ESP,2015-07-11,Carlos Díaz,1993.0,Male,3000,NR,Outdoor
7:56.19,CHN,Praha,TCH,1987-06-23,Zhang Guowei,1959.0,Male,3000,NR,Outdoor
8:31.08,CIV,Bouaké,CIV,1994-08-04,Alain Kra Kouadio,1973.0,Male,3000,NR,Outdoor
8:19.82,CMR,Saint-Maur,FRA,1999-07-20,Pierre Foka,1972.0,Male,3000,NR,Outdoor
7:57.52,COD,Sotteville-lès-Rouen,FRA,2002-06-12,Patrick Tambwé,1975.0,Male,3000,NR,Outdoor
9:39.3,COK,Nikao,COK,1979-01-01,Muriaroa Ngaro,,Male,3000,NR,Outdoor
7:53.8,COL,Firenze,ITA,1976-05-18,Victor Mora,1944.0,Male,3000,NR,Outdoor
8:21.82,COM,Aix-les-Bains,FRA,1995-07-05,Mohamed Ahmed,,Male,3000,NR,Outdoor
8:07.40,CPV,Lisboa,POR,2019-06-01,Samuel Freire,1990.0,Male,3000,NR,Outdoor
8:07.3,CRC,Richmond,CAN,2001-05-29,Eric Quiros,1973.0,Male,3000,NR,Outdoor
7:48.50,CRO,Zagreb,CRO,2023-09-10,Dino Bošnjak,1994.0,Male,3000,NR,Outdoor
7:58.3,CUB,La Habana,CUB,2009-06-20,Maurys Surel Castillo,1984.0,Male,3000,NR,Outdoor
7:59.11,CYP,Athína,GRE,1982-09-01,Marios Kassianidis,1954.0,Male,3000,NR,Outdoor
