result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
21.65,0.3,AFG,Mashhad,IRI,2022-05-30,Sha Mahmood Noor Zahi,1991.0,Male,200,NR,Outdoor
20.08,0.4,AHO,Lausanne,SUI,2010-07-08,Churandy Martina,1984.0,Male,200,NR,Outdoor
20.15,0.0,AIA,George Town,CAY,2015-05-16,Zharnel Hughes,1995.0,Male,200,NR,Outdoor
21.19,0.5,ALB,Chorzów,POL,2023-06-22,Franko Burraj,1998.0,Male,200,NR,Outdoor
20.53,1.9,ALG,Alger,ALG,2016-07-16,Soufiane Bouhada,1990.0,Male,200,NR,Outdoor
21.93,1.8,AND,Basauri,ESP,2000-07-22,Daniel Gómez,1979.0,Male,200,NR,Outdoor
21.05,-1.4,ANG,Budapest,HUN,2023-08-23,Marcos Santos,2004.0,Male,200,NR,Outdoor
19.88,1.2,ANT,Kingston,JAM,2016-06-11,Miguel Francis,1995.0,Male,200,NR,Outdoor
20.37,0.7,ARG,Lisboa,POR,1998-07-18,Carlos Gats,1969.0,Male,200,NR,Outdoor
21.15,,ARM,Volgograd,URS,1991-07-07,Hovanes Mkrchyan,1972.0,Male,200,NR,Outdoor
20.59,-3.9,ARU,Assen,NED,1994-07-17,Miguel Janssen,1970.0,Male,200,NR,Outdoor
22.43,0.2,ASA,Sydney,AUS,2014-03-12,Faresa Kapisi,1997.0,Male,200,NR,Outdoor
20.06,0.9,AUS,Ciudad de México,MEX,1968-10-16,Peter Norman,1942.0,Male,200,NR,Outdoor
20.45,0.8,AUT,Ebensee,AUT,1996-06-08,Christoph Pöstinger,1972.0,Male,200,NR,Outdoor
20.04,0.1,AZE,Beograd,SRB,2009-07-10,Ramil Guliyev,1990.0,Male,200,NR,Outdoor
19.75,0.3,BAH,Coral Gables FL,USA,2018-04-07,Steven Gardiner,1995.0,Male,200,NR,Outdoor
21.15,,BAN,Kathmandu,NEP,1999-09-28,Mahabub Alam,1976.0,Male,200,NR,Outdoor
