result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
12.75,,DJI,Djibouti,DJI,2008-04-17,Ahmed Ali,,Male,TJ,NR,Outdoor
17.48,1.6,DMA,Göteborg/U,SWE,1995-08-05,Jérôme Romain,1971.0,Male,TJ,NR,Outdoor
16.44,0.9,DOM,Santo Domingo,DOM,2023-04-01,Juander Bueno,1998.0,Male,TJ,NR,Outdoor
17.03,0.3,ECU,Sucre,BOL,2009-11-25,Hugo Chila,1987.0,Male,TJ,NR,Outdoor
16.48,,EGY,El Maadi,EGY,2022-09-14,Hossam Salamah Shoman,1999.0,Male,TJ,NR,Outdoor
13.51,-0.3,ERI,Riehen,SUI,2015-08-29,Awet Eoyb,,Male,TJ,NR,Outdoor
14.93,-0.5,ESA,Léon,MEX,2023-04-29,Fernando Reyes,2004.0,Male,TJ,NR,Outdoor
17.87,1.2,ESP,Nerja,ESP,2022-06-26,Jordan Alejandro Díaz,2001.0,Male,TJ,NR,Outdoor
17.35,-0.2,EST,Moskva,URS,1980-07-25,Jaak Uudmäe,1954.0,Male,TJ,NR,Outdoor
16.41,,ETH,Addis Ababa,ETH,2024-02-01,Del Match,,Male,TJ,NR,Outdoor
16.08,-2.9,FIJ,Marion IN,USA,2012-05-26,Eugene Vollmer,1989.0,Male,TJ,NR,Outdoor
17.14,-0.5,FIN,Bydgoszcz,POL,2017-07-16,Simo Lipsanen,1995.0,Male,TJ,NR,Outdoor
18.04,0.3,FRA,Moskva,RUS,2013-08-18,Teddy Tamgho,1989.0,Male,TJ,NR,Outdoor
12.68,,FSM,Abay,FSM,2001-07-26,Estephan Dadius,,Male,TJ,NR,Outdoor
15.53,0.5,GAB,Johannesburg,RSA,1999-09-17,Yvon Nguena N'Goua,,Male,TJ,NR,Outdoor
15.05,,GAM,Banjul,GAM,1978-01-07,Jim Malleh Wadda,,Male,TJ,NR,Outdoor
18.29,1.3,GBR,Göteborg/U,SWE,1995-08-07,Jonathan Edwards,1966.0,Male,TJ,NR,Outdoor
15.37,0.4,GBS,Coimbra,POR,2021-06-12,Rinelmo Sami,2000.0,Male,TJ,NR,Outdoor
17.44,0.0,GEO,Sukhumi,USA,1972-10-17,Viktor Sanejev,1945.0,Male,TJ,NR,Outdoor
15.28,1.7,GEQ,Los Realejos,ESP,2011-06-18,Luis Dyangani Oko,1989.0,Male,TJ,NR,Outdoor
17.66,,GER,Frankfurt,GER,1991-06-30,Ralf Jaros,1965.0,Male,TJ,NR,Outdoor
17.23,-0.5,GHA,Dakar,SEN,1998-08-19,Andrew Owusu,1972.0,Male,TJ,NR,Outdoor
12.06,1.6,GIB,Visby,SWE,1999-07-01,Nicholas Vasquez,1970.0,Male,TJ,NR,Outdoor
17.55,0.8,GRE,Thessaloníki,GRE,2006-06-18,Dimítrios Tsiámis,1982.0,Male,TJ,NR,Outdoor
17.49,0.0,GRN,São Paulo,BRA,2008-05-22,Randy Lewis,1980.0,Male,TJ,NR,Outdoor
15.95,0.2,GUA,Ciudad de Guatemala,GUA,2019-06-08,Fredy Enrique Lemus,1998.0,Male,TJ,NR,Outdoor
14.80,1.7,GUI,Talence,FRA,2021-05-09,Souleymane Soumah,2000.0,Male,TJ,NR,Outdoor
14.01,,GUM,Canberra,AUS,1996-03-03,David Wilson,1977.0,Male,TJ,NR,Outdoor
17.18,1.7,GUY,Clermont FL,USA,2016-05-14,Troy Doris,1989.0,Male,TJ,NR,Outdoor
17.39,1.3,HAI,Bogotá,COL,2009-07-24,Samyr Laine,1984.0,Male,TJ,NR,Outdoor
15.76,1.1,HKG,Hongkong,HKG,2013-04-07,Ng Ka Wai,1990.0,Male,TJ,NR,Outdoor
