result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
15:52.68,AFG,Ravnanger,NOR,2010-08-06,Aman Haidari,,Male,5000,NR,Outdoor
14:49.6,AHO,Panama City,PAN,1970-03-03,Ronald Mercelina,,Male,5000,NR,Outdoor
16:45.79,AIA,St. Georges,GRN,2000-04-23,Michael Gumbs,,Male,5000,NR,Outdoor
14:12.6,ALB,Elbasan,ALB,1990-05-31,Isuf Curri,1963.0,Male,5000,NR,Outdoor
12:50.86,ALG,Roma,ITA,2000-06-30,Ali Saïdi-Sief,1978.0,Male,5000,NR,Outdoor
14:05.16,AND,Marsa,MLT,2023-06-03,Nahuel Carabaña,1999.0,Male,5000,NR,Outdoor
13:40.12,ANG,Göteborg/U,SWE,1995-08-11,Aurelio Miti,1973.0,Male,5000,NR,Outdoor
15:13.4,ANT,Bridgetown,BAR,1988-07-11,Dale Jones,1964.0,Male,5000,NR,Outdoor
13:11.57,ARG,Stanford CA,USA,2023-04-21,Federico Bruno,1993.0,Male,5000,NR,Outdoor
13:53.0,ARM,München,FRG,1976-05-30,Artanas Mikoyan,1950.0,Male,5000,NR,Outdoor
14:18.31,ARU,Leiden,NED,1986-05-08,Kimball Reynierse,1961.0,Male,5000,NR,Outdoor
16:32.4,ASA,Utulei,ASA,1992-10-04,John Wasco,,Male,5000,NR,Outdoor
12:55.76,AUS,London,GBR,2004-07-30,Craig Mottram,1980.0,Male,5000,NR,Outdoor
13:13.44,AUT,London,GBR,2005-07-22,Günther Weidlinger,1978.0,Male,5000,NR,Outdoor
13:09.17,AZE,Zürich,SUI,2014-08-28,Hayle Ibrahimov,1990.0,Male,5000,NR,Outdoor
14:33.99,BAH,Gainesville FL,USA,2021-04-02,Gabriel Curtis,2001.0,Male,5000,NR,Outdoor
14:47.19,BAN,Madras,IND,1995-12-21,Mohamed Eliysuddin,,Male,5000,NR,Outdoor
14:20.2,BAR,Bridgetown,BAR,1992-06-05,Leo Games,,Male,5000,NR,Outdoor
12:59.39,BDI,Roma,ITA,2022-06-09,Thierry Ndikumwenayo,1997.0,Male,5000,NR,Outdoor
12:49.71,BEL,Bruxelles,BEL,2000-08-25,Mohammed Mourhit,1970.0,Male,5000,NR,Outdoor
14:49.1,BEN,Niamey,NIG,1998-05-31,Imorou Zato,,Male,5000,NR,Outdoor
14:23.35,BER,Raleigh NC,USA,2017-03-24,Lamont Marshall,1984.0,Male,5000,NR,Outdoor
15:16.84,BHU,Kathmandu,NEP,2019-12-06,Gawa Zangpo,,Male,5000,NR,Outdoor
14:00.2,BIH,Nova Gorica,YUG,1980-04-13,Bilko Kacar,1956.0,Male,5000,NR,Outdoor
