result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
2:05:01,SUI,Barcelona,ESP,2024-03-10,Tadesse Abraham,1982,Male,Mar,NR,Outdoor
2:31:48,SUR,Rotterdam,NED,2022-04-10,Janiek Pomba,2000,Male,Mar,NR,Outdoor
2:09:53,SVK,London,GBR,1998-04-26,Róbert Štefko,1968,Male,Mar,NR,Outdoor
2:07:36,SWE,Sevilla,ESP,2024-02-18,Suldan Hassan,1998,Male,Mar,NR,Outdoor
2:12:55,SWZ,Christchurch,NZL,1974-01-31,Richard Mabuza,1946,Male,Mar,NR,Outdoor
2:26:27,SYR,Latakia,SYR,1985-12-06,Ahmed Saker,,Male,Mar,NR,Outdoor
2:03:00,TAN,Valencia,ESP,2022-12-04,Gabriel Gerald Geay,1996,Male,Mar,NR,Outdoor
2:45:04,TGA,Phoenix,USA,2013-02-03,Tongia Vakaafi,1975,Male,Mar,NR,Outdoor
2:16:56,THA,Frankfurt,GER,2018-10-28,Tony Payne,1989,Male,Mar,NR,Outdoor
2:18:40,TJK,Moskva,URS,1980-06-20,Anatoli Belugurov,,Male,Mar,NR,Outdoor
2:15:53,TKM,Uzhgorod,URS,1980-10-05,Rashid Kakadzanov,1957,Male,Mar,NR,Outdoor
3:47:57,TKS,Chicago,USA,2004-10-10,Todd Foss,,Male,Mar,NR,Outdoor
2:26:46,TLS,Dili,TLS,2017-08-19,Romenio De Deus Maia,,Male,Mar,NR,Outdoor
2:30:17,TOG,Lomé,TOG,1990-11-11,Outcha Améwouho,1969,Male,Mar,NR,Outdoor
2:14:35,TPE,Oita,JPN,1995-02-05,Hsu Gi-Sheng,1964,Male,Mar,NR,Outdoor
2:13:03,TTO,Cleveland,USA,2001-04-29,Ronnie Holassie,1971,Male,Mar,NR,Outdoor
2:12:36,TUN,Marrakech,MAR,1996-01-14,Tahar Mansouri,1965,Male,Mar,NR,Outdoor
2:04:16,TUR,Valencia,ESP,2019-12-01,Kaan Kigen Özbilen,1986,Male,Mar,NR,Outdoor
2:23:42,UAE,Dubai,UAE,2002-01-11,Jassim Ali Abbas,,Male,Mar,NR,Outdoor
2:04:48,UGA,Hamburg,GER,2022-04-24,Stephen Kissa,1995,Male,Mar,NR,Outdoor
2:07:15,UKR,Fukuoka,JPN,2006-12-03,Dmytro Baranovskyy,1979,Male,Mar,NR,Outdoor
2:10:35,URU,Hamburg,GER,2023-04-23,Ernesto Zamora,1983,Male,Mar,NR,Outdoor
2:05:38,USA,London,GBR,2002-04-14,Khalid Khannouchi,1971,Male,Mar,NR,Outdoor
2:07:02,UZB,Valencia,ESP,2023-12-03,Shokhrukh Davlyatov,1996,Male,Mar,NR,Outdoor
3:01:04,VAN,Dubai,UAE,2018-01-26,Armon Napuat,,Male,Mar,NR,Outdoor
2:11:25,VEN,Cleveland,USA,2000-04-30,Carlos Tarazona,1965,Male,Mar,NR,Outdoor
2:18:42,VIE,Hongkong,HKG,2024-01-21,Nguyen Thanh Hoang,1995,Male,Mar,NR,Outdoor
2:15:30,VIN,Port of Spain,TTO,2003-01-26,Pamenos Ballantyne,1973,Male,Mar,NR,Outdoor
2:40:41,YEM,Atlanta,USA,1996-08-04,Mohamed Al-Saadi,1968,Male,Mar,NR,Outdoor
2:11:35,ZAM,Duluth,USA,2015-06-20,Jordan Chipangama,1988,Male,Mar,NR,Outdoor
2:06:48,ZIM,Valencia,ESP,2022-12-04,Isaac Mpofu,1988,Male,Mar,NR,Outdoor
