result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
10.72,-2.0,AFG,Tehran,IRI,2022-07-12,Sha Mahmood Noor Zahi,1991.0,Male,100,NR,Outdoor
9.93,0.0,AHO,Beijing,CHN,2008-08-16,Churandy Martina,1984.0,Male,100,NR,Outdoor
10.12,1.3,AIA,Kingston,JAM,2014-03-28,Zharnel Hughes,1995.0,Male,100,NR,Outdoor
10.56,1.1,ALB,Donnas,ITA,2003-07-15,Arben Makaj,1967.0,Male,100,NR,Outdoor
10.29,1.6,ALG,Alger,ALG,2017-07-28,Djamil Skandar Athmani,1992.0,Male,100,NR,Outdoor
10.92,,AND,Alcobendas,ESP,2016-06-18,Mikel De Sa,1990.0,Male,100,NR,Outdoor
10.49,0.0,ANG,Maia,POR,1992-07-08,Afonso Ferraz,1964.0,Male,100,NR,Outdoor
9.91,-0.2,ANT,Saint-Denis,FRA,2009-07-17,Daniel Bailey,1986.0,Male,100,NR,Outdoor
10.11,0.5,ARG,Cascavel,BRA,2022-09-29,Franco Florio,2000.0,Male,100,NR,Outdoor
10.37,0.6,ARM,Canyon,USA,2021-05-16,Alexander Donigian,1993.0,Male,100,NR,Outdoor
10.42,1.7,ARU,Mayaguez,PUR,2012-05-05,Geronimo Goeloe,1981.0,Male,100,NR,Outdoor
10.81,-1.7,ASA,Honolulu,USA,2001-04-28,Kelsey Nakanelua,1966.0,Male,100,NR,Outdoor
9.93,1.8,AUS,Mito,JPN,2003-05-05,Patrick Johnson,1972.0,Male,100,NR,Outdoor
10.08,1.2,AUT,St. Pölten,AUT,2023-06-08,Markus Fuchs,1995.0,Male,100,NR,Outdoor
10.08,1.3,AZE,Istanbul,TUR,2009-06-13,Ramil Guliyev,1990.0,Male,100,NR,Outdoor
9.91,-0.5,BAH,Osaka,JPN,2007-08-26,Derrick Atkins,1984.0,Male,100,NR,Outdoor
9.91,1.0,BAH,Gainesville,USA,2023-04-15,Terrence Jones Jr.,2002.0,Male,100,NR,Outdoor
10.11,1.1,BAN,London,GBR,2023-09-03,Imran Rahman,1993.0,Male,100,NR,Outdoor
9.87,-0.2,BAR,Johannesburg,RSA,1998-09-11,Obadele Thompson,1976.0,Male,100,NR,Outdoor
10.84,,BDI,Casablanca,MAR,1989-07-13,Kassiem Ntahimpera,,Male,100,NR,Outdoor
10.14,1.0,BEL,Oordegem,BEL,1997-06-29,Patrick Stevens,1968.0,Male,100,NR,Outdoor
10.31,1.1,BEN,Lugano,SUI,2004-06-05,Souhalia Alamou,1979.0,Male,100,NR,Outdoor
10.27,0.4,BER,Glendora,USA,1996-05-11,Devon Bean,1975.0,Male,100,NR,Outdoor
11.64,0.0,BHU,Doha,QAT,2019-09-27,Dinesh Kumar Dhakal,1996.0,Male,100,NR,Outdoor
10.42,0.2,BIH,Velenje,SLO,2010-07-01,Nedim Čović,1988.0,Male,100,NR,Outdoor
10.41,1.3,BIZ,Clermont,USA,2008-04-19,Jayson Jones,1977.0,Male,100,NR,Outdoor
10.27,0.9,BLR,Biała Podlaska,POL,1994-05-28,Sergey Kornelyuk,1969.0,Male,100,NR,Outdoor
10.36,2.0,BOL,Sucre,BOL,2012-05-19,Bruno Artur Rojas,1993.0,Male,100,NR,Outdoor
9.88,0.0,BOT,Budapest,HUN,2023-08-20,Letsile Tebogo,2003.0,Male,100,NR,Outdoor
9.96,1.0,BRA,São Bernardo do Campo,BRA,2023-09-09,Felipe Bardi,1998.0,Male,100,NR,Outdoor
10.03,0.9,BRN,Kingston,JAM,2016-05-07,Kemarley Brown,1992.0,Male,100,NR,Outdoor
10.59,0.0,BRU,Singapore,SGP,2015-06-09,Mohd Fakhri Ismail,1991.0,Male,100,NR,Outdoor
10.13,1.3,BUL,Moskva,URS,1980-07-24,Petar Petrov,1955.0,Male,100,NR,Outdoor
10.14,1.6,BUR,Saint-Etienne,FRA,2002-07-13,Idrissa Sanou,1977.0,Male,100,NR,Outdoor
10.33,1.7,CAF,Tomblaine,FRA,2006-07-21,Yvon Rodrigue Sialo-Ngboda,1984.0,Male,100,NR,Outdoor
10.75,1.2,CAM,Frauenfeld,SUI,2014-07-25,Pin Wanheab,1985.0,Male,100,NR,Outdoor
9.84,0.7,CAN,Atlanta,USA,1996-07-26,Donovan Bailey,1967.0,Male,100,NR,Outdoor
9.84,0.2,CAN,Sevilla,ESP,1999-08-22,Bruny Surin,1967.0,Male,100,NR,Outdoor
9.95,1.8,CAY,Madrid,ESP,2012-07-07,Kemar Hyman,1989.0,Male,100,NR,Outdoor
10.27,0.0,CGO,Schifflange,LUX,2021-08-22,Dorian Rostan Keletela,1999.0,Male,100,NR,Outdoor
10.25,0.3,CHA,Sassari,ITA,2012-06-17,Abdourahim Haroun,1992.0,Male,100,NR,Outdoor
10.10,2.0,CHI,São Leopoldo,BRA,1998-04-26,Sebastián Keitel,1973.0,Male,100,NR,Outdoor
9.83,0.9,CHN,Tokyo,JPN,2021-08-01,Su Bingtian,1989.0,Male,100,NR,Outdoor
9.93,1.9,CIV,Leverkusen,GER,2019-07-24,Arthur Gue Cissé,1996.0,Male,100,NR,Outdoor
9.96,-0.1,CMR,La Chaux-de-Fonds,SUI,2023-07-02,Emmanuel Eseme,1993.0,Male,100,NR,Outdoor
10.28,1.7,COD,Sasolburg,RSA,2021-03-06,Olivier Mwimba,1994.0,Male,100,NR,Outdoor
10.97,,COK,Brisbane,AUS,1993-12-04,Mark Sherwin,1970.0,Male,100,NR,Outdoor
9.99,0.8,COL,São Paulo,BRA,2023-07-28,Ronal Longa,2004.0,Male,100,NR,Outdoor
10.32,1.6,COM,Saint-Ouen,FRA,2002-06-23,Hadhari Djaffar,1978.0,Male,100,NR,Outdoor
10.64,,CPV,Praia,CPV,2022-10-09,Eskilson Nascimento,,Male,100,NR,Outdoor
10.32,0.8,CRC,Ypsilanti,USA,2004-05-01,Bob Colville,1981.0,Male,100,NR,Outdoor
10.20,1.5,CRO,Azusa,USA,2013-05-11,Dario Horvat,1992.0,Male,100,NR,Outdoor
9.98,0.6,CUB,Guadalajara,ESP,1977-08-11,Silvio Leonard,1955.0,Male,100,NR,Outdoor
9.98,1.0,CUB,Camagüey,CUB,2019-02-22,Roberto Skyers,1991.0,Male,100,NR,Outdoor
10.11,1.5,CYP,Réthimno,GRE,1996-05-25,Yiannios Zisimides,1967.0,Male,100,NR,Outdoor
10.16,1.7,CZE,Tábor,CZE,2018-07-18,Zdeněk Stromšík,1994.0,Male,100,NR,Outdoor
10.16,1.6,CZE,Brno,CZE,2019-07-26,Jan Veleba,1986.0,Male,100,NR,Outdoor
10.16,1.0,CZE,Zlín,CZE,2021-08-14,Dominik Záleský,1995.0,Male,100,NR,Outdoor
10.14,0.9,DEN,Odense,DEN,2021-06-26,Kojo Musah,1996.0,Male,100,NR,Outdoor
11.39,,DJI,Vorst,BEL,2001-05-24,Ismael Abdallah Ismael,,Male,100,NR,Outdoor
10.33,1.9,DMA,Houston,USA,2008-05-03,Chris Lloyd,1980.0,Male,100,NR,Outdoor
10.04,1.7,DOM,Fort-de-France,FRA,2023-05-27,José González,1995.0,Male,100,NR,Outdoor
10.09,2.0,ECU,Medellín,COL,2013-05-25,Alex Quiñónez,1989.0,Male,100,NR,Outdoor
10.13,1.8,EGY,Maputo,MOZ,2011-09-12,Amr Ibrahim Mostafa Seoud,1986.0,Male,100,NR,Outdoor
10.58,1.5,ERI,Lidingö,SWE,1996-04-06,Berhane Haile,1969.0,Male,100,NR,Outdoor
10.35,1.5,ESA,Fullerton,USA,1998-04-23,Ruben Benitez,1972.0,Male,100,NR,Outdoor
10.06,1.0,ESP,Madrid,ESP,2016-06-23,Bruno Hortelano,1991.0,Male,100,NR,Outdoor
10.18,1.4,EST,Jõhvi,EST,2023-06-16,Karl Erik Nazarov,1999.0,Male,100,NR,Outdoor
10.61,-0.4,ETH,Addis Ababa,ETH,2008-04-30,Wetere Gelelcha,1988.0,Male,100,NR,Outdoor
10.20,1.2,FIJ,Suva,FIJ,2016-07-08,Ratu Banuve Tabakaucoro,1992.0,Male,100,NR,Outdoor
10.12,0.9,FIN,Kuortane,FIN,2023-06-17,Samuli Samuelsson,1995.0,Male,100,NR,Outdoor
9.86,1.3,FRA,Saint-Denis,FRA,2015-07-04,Jimmy Vicaut,1992.0,Male,100,NR,Outdoor
10.83,,FSM,Tumon,GUM,2009-07-25,John Howard,1981.0,Male,100,NR,Outdoor
10.13,1.3,GAB,Nice,FRA,2000-08-04,Antoine Boussombo,1968.0,Male,100,NR,Outdoor
10.15,-1.1,GAM,Thonon-les-Bains,FRA,2022-06-19,Ebrahima Camara,1996.0,Male,100,NR,Outdoor
9.83,1.3,GBR,Randalls Island,USA,2023-06-24,Zharnel Hughes,1995.0,Male,100,NR,Outdoor
10.36,0.5,GBS,Salamanca,ESP,2009-07-08,Holder da Silva,1988.0,Male,100,NR,Outdoor
10.36,0.0,GBS,Salamanca,ESP,2013-06-12,Ancuiam Lopes,1991.0,Male,100,NR,Outdoor
10.35,1.5,GEO,Tsakhkadzor,URS,1987-05-22,Besik Gotsridze,1961.0,Male,100,NR,Outdoor
10.35,-0.2,GEO,Sofia,BUL,2000-06-04,Ruslan Rusidze,1973.0,Male,100,NR,Outdoor
10.60,,GEQ,Eugene,USA,1986-06-07,Gustavo Envela,1968.0,Male,100,NR,Outdoor
10.01,1.8,GER,Mannheim,GER,2016-07-29,Julian Reus,1988.0,Male,100,NR,Outdoor
9.90,2.0,GHA,Austin,USA,2022-03-25,Benjamin Azamati,1998.0,Male,100,NR,Outdoor
10.89,-0.5,GIB,Gibraltar,GIB,2019-06-12,Jessy Franco,1998.0,Male,100,NR,Outdoor
10.11,1.4,GRE,Athína,GRE,1997-08-02,Ággelos Pavlakákis,1976.0,Male,100,NR,Outdoor
10.11,0.6,GRN,Hobbs,USA,2023-05-20,Nazzio John,2003.0,Male,100,NR,Outdoor
10.32,,GUA,Caracas,VEN,1998-06-20,Oscar Meneses,1977.0,Male,100,NR,Outdoor
10.56,,GUI,L'Aigle,FRA,1997-05-01,Joseph Loua,1976.0,Male,100,NR,Outdoor
10.66,1.8,GUM,San Diego,USA,2004-06-17,Philam Garcia,1980.0,Male,100,NR,Outdoor
10.12,0.4,GUY,Port of Spain,TTO,2014-05-17,Adam Harris,1987.0,Male,100,NR,Outdoor
10.16,1.5,HAI,Greensboro,USA,2015-05-17,Darrell Wesh,1992.0,Male,100,NR,Outdoor
10.16,1.5,HAI,Columbia,USA,2022-04-23,Guinove Joanus,2001.0,Male,100,NR,Outdoor
10.28,1.3,HKG,Hongkong,HKG,2010-05-16,Tsui Chi Ho,1990.0,Male,100,NR,Outdoor
10.28,1.8,HKG,Hongkong,HKG,2021-09-11,Ng Ka Fung,1992.0,Male,100,NR,Outdoor
10.22,0.3,HON,Toluca,MEX,2008-07-18,Rolando Palacios,1987.0,Male,100,NR,Outdoor
