result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
20.04,+0.8,ESP,Getafe,ESP,2018-07-22,Bruno Hortelano,1991,Male,200,NR
20.43,+1.1,EST,Des Moines IA,USA,2011-06-09,Marek Niit,1987,Male,200,NR
21.30,-1.7,ETH,Kampala,UGA,2007-05-31,Wetere Gelelcha,1988,Male,200,NR
20.53,-1.5,FIJ,Port Moresby,PNG,2015-07-17,Ratu Banuve Tabakaucoro,1992,Male,200,NR
20.45,+1.7,FIN,Malmö/S,SWE,2022-07-17,Samuel Purola,2000,Male,200,NR
19.80,+0.8,FRA,Daegu,KOR,2011-09-03,Christophe Lemaitre,1990,Male,200,NR
21.65,+1.4,FSM,Apia,SAM,2003-06-27,John Howard,1981,Male,200,NR
20.44,+1.0,GAB,Eugene OR,USA,2022-07-18,Guy Maganga Gorra,1993,Male,200,NR
20.45,+1.8,GAM,Durban,RSA,2016-06-26,Adama Jammeh,1993,Male,200,NR
19.73,+1.6,GBR,London,GBR,2023-07-23,Zharnel Hughes,1995,Male,200,NR
21.01,+1.4,GBS,Salamanca,ESP,2009-07-08,Holder da Silva,1988,Male,200,NR
20.59,+1.1,GEO,Moskva,URS,1987-08-16,Besik Gotsridze,1961,Male,200,NR
21.33,,GEQ,Eugene OR,USA,1985-05-18,Gustavo Envela,1968,Male,200,NR
20.02,+0.6,GER,Kassel,GER,2023-07-09,Joshua Hartmann,1999,Male,200,NR
19.79,+1.3,GHA,Lubbock TX,USA,2023-04-29,James Dadzie,2001,Male,200,NR
21.31,+0.9,GIB,Gibraltar,GIB,2019-06-24,Jessy Franco,1998,Male,200,NR
19.85,-0.5,GRE,München,GER,2002-08-09,Konstadínos Kedéris,1973,Male,200,NR
20.35,+1.5,GRN,Hobbs NM,USA,2023-05-20,Nazzio John,2003,Male,200,NR
21.09,-1.5,GUA,Edwardsville IL,USA,1998-05-23,Oscar Meneses,1977,Male,200,NR
20.54,-2.2,GUI,Antananarivo,MAD,1997-09-05,Joseph Loua,1976,Male,200,NR
21.75,+0.7,GUM,Canberra,AUS,1996-03-03,David Wilson,1977,Male,200,NR
20.14,+1.8,GUY,Ingelheim,GER,1978-09-12,James Gilkes,1952,Male,200,NR
20.69,-0.9,HAI,Uniondale NY,USA,2011-08-06,Roudy Monrose,1978,Male,200,NR
20.94,+0.6,HKG,Hongkong,HKG,2005-04-16,Tang Yik Chun,1986,Male,200,NR
20.40,-0.9,HON,Toluca,MEX,2008-07-22,Rolando Palacios,1987,Male,200,NR
