result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
18:12.52,AUS,Melbourne,AUS,2023-03-05,Declan Tingay,1999,Male,5000W,NR
18:31.76,BLR,Villeneuve d'Ascq,FRA,1993-07-02,Frants Kostyukevich,1963,Male,5000W,NR
18:49.10,CHN,Fossano,ITA,2014-09-13,Wang Zhen,1991,Male,5000W,NR
22:57.29,COD,Amiens,FRA,2019-05-05,Harouna Loleko Mboyo,,Male,5000W,NR
18:47.10,CZE,Bydgoszcz,POL,2001-06-15,Jiří Malysa,1966,Male,5000W,NR
24:07.78,FIJ,Melbourne,AUS,2017-03-03,Pramesh Prasad,1974,Male,5000W,NR
18:43.17,FIN,Espoo,FIN,2018-06-13,Veli-Matti Partanen,1991,Male,5000W,NR
18:18.01,FRA,Villeneuve d'Ascq,FRA,2008-06-27,Yohann Diniz,1978,Male,5000W,NR
18:41.23,GBR,Birmingham,GBR,2019-08-25,Callum Wilkinson,1997,Male,5000W,NR
18:59.37,IRL,Barcelona,ESP,2007-06-30,Robert Heffernan,1978,Male,5000W,NR
18:20.14,JPN,Inzai,JPN,2020-10-25,Koki Ikeda,1998,Male,5000W,NR
20:28.70,KOR,Sokcho,KOR,2001-04-18,Lee Dae-Ro,1980,Male,5000W,NR
21:46.87,MAD,Amiens,FRA,2008-06-18,Pietron Randrianandrasana,,Male,5000W,NR
20:09.63,MRI,Blois,FRA,2017-05-07,Jérome Caprice,1983,Male,5000W,NR
19:15.0,NZL,Williamstown MA,USA,2014-06-12,Quentin Rew,1984,Male,5000W,NR
18:17.22,POL,Reims,FRA,1992-07-03,Robert Korzeniowski,1968,Male,5000W,NR
18:55.60,RSA,Budapest,HUN,2017-06-30,Lebogang Shange,1990,Male,5000W,NR
18:05.49,TUN,Tunis,TUN,1997-05-01,Hatem Ghoula,1973,Male,5000W,NR
19:10.3,TUR,Izmir,TUR,2023-09-05,Salih Korkmaz,1997,Male,5000W,NR
