result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
15.45,AFG,Papenburg,GER,2018-06-17,Said Gilani,1996,Male,110H,NR
13.93,AHO,Budapest,HUN,1995-07-01,James Sharpe,1962,Male,110H,NR
18.70,AIA,Amherst NY,USA,2001-05-11,Andre Samuel,,Male,110H,NR
13.93,ALB,Pergine Valsugana,ITA,2007-07-07,Elton Bitincka,1985,Male,110H,NR
13.37,ALG,Eugene OR,USA,2022-07-17,Amine Bouanani,1997,Male,110H,NR
14.47,AND,Schaan,LIE,1999-05-26,Esteve Martín,1975,Male,110H,NR
14.11,ANG,Noisy-le-Grand,FRA,2004-06-08,Jonas Mateus,1983,Male,110H,NR
14.07,ANT,Iowa City IA,USA,2000-05-06,Randy Gillon,1976,Male,110H,NR
13.74,ARG,Buenos Aires,ARG,2014-01-25,Agustín Carrera,1988,Male,110H,NR
14.01,ARM,Donetsk,URS,1980-09-06,Zhan Mkhitaryan,1954,Male,110H,NR
14.58,ARU,Vught,NED,1986-07-06,Freddy Burgos,1959,Male,110H,NR
15.42,ASA,Turlock CA,USA,2010-03-06,Aaron Victorian,1988,Male,110H,NR
13.29,AUS,Göteborg/U,SWE,1995-08-11,Kyle Vander-Kuyp,1971,Male,110H,NR
13.14,AUT,Paris,FRA,1994-09-03,Mark McKoy,1961,Male,110H,NR
13.63,AZE,Leningrad,URS,1986-06-08,Gennadiy Chugunov,1963,Male,110H,NR
13.35,BAH,Canyon TX,USA,2022-05-15,Jahmaal Wilson,2001,Male,110H,NR
14.09,BAN,Pescara,ITA,2012-07-15,Mahfuzur Rahman,1988,Male,110H,NR
13.14,BAR,Berlin,GER,2009-08-20,Ryan Brathwaite,1988,Male,110H,NR
14.63,BDI,Nairobi,KEN,1987-11-08,Joseph Niyonkuru,,Male,110H,NR
13.25,BEL,Budapest,HUN,1998-08-22,Jonathan Nsenga,1973,Male,110H,NR
14.68,BEN,Narbonne,FRA,1988-06-25,Brice de Souza,,Male,110H,NR
14.21,BER,Charleston IL,USA,2015-05-08,Tristan Joynes,1992,Male,110H,NR
13.82,BIH,Istanbul,TUR,2005-06-19,Damir Haračič,1984,Male,110H,NR
13.90,BIZ,Cerritos CA,USA,2009-03-21,Jonathan Williams,1983,Male,110H,NR
13.30,BLR,Minsk,BLR,2021-06-25,Vitali Parakhonka,1993,Male,110H,NR
14.79,BOL,Cochabamba,BOL,1994-09-03,Vladimir Aponte,,Male,110H,NR
13.92,BOT,Réduit,MRI,2019-07-06,Kemorena Tisang,1995,Male,110H,NR
13.17,BRA,Río de Janeiro,BRA,2022-06-23,Rafael Henrique Pereira,1997,Male,110H,NR
14.24,BRN,Al-Kuwait,KUW,1983-11-05,Ahmad Hamada,1961,Male,110H,NR
15.51,BRU,Kuching,MAS,1995-07-22,Mohd Aries Mujang,,Male,110H,NR
13.33,BUL,Haniá,GRE,2000-06-14,Zhivko Videnov,1977,Male,110H,NR
13.90,BUR,Mulhouse,FRA,2018-07-01,Florian Somé,1994,Male,110H,NR
14.76,CAF,Montgeron,FRA,1994-02-07,Jacques-Henri Brunet,1967,Male,110H,NR
15.79,CAM,Jakarta,INA,1962-08-26,Pech Iev,,Male,110H,NR
13.08,CAN,Villeneuve d'Ascq,FRA,1993-07-02,Mark McKoy,1961,Male,110H,NR
13.36,CAY,Clermont FL,USA,2016-04-30,Ronald Forbes,1985,Male,110H,NR
14.19,CGO,Harare,ZIM,1995-09-17,Hakim Mazou,1970,Male,110H,NR
15.62,CHA,Viry-Châtillon,FRA,1994-09-24,Alio Hassana,1976,Male,110H,NR
13.60,CHI,Santiago de Chile,CHI,2023-05-27,Martín Sáenz,2001,Male,110H,NR
12.88,CHN,Lausanne,SUI,2006-07-11,Liu Xiang,1983,Male,110H,NR
13.86,CIV,Argentan,FRA,1992-07-08,Marcellin Dally,1962,Male,110H,NR
13.87,CMR,Commerce TX,USA,2023-05-05,Jorim Bangue,2003,Male,110H,NR
13.95,COD,Saint-Etienne,FRA,2002-05-31,Tino Ngoy,1980,Male,110H,NR
16.44,COK,Nouméa,FRA,1987-12-15,Akanoa William,,Male,110H,NR
13.27,COL,Guadalajara2,MEX,2011-10-28,Paulo Villar,1978,Male,110H,NR
14.04,COM,Ypsilanti MI,USA,2004-05-01,Abdallah Mohamed,1981,Male,110H,NR
13.78,CPV,Modesto CA,USA,1996-05-11,Henry Andrade,1962,Male,110H,NR
14.51,CRC,San José3,CRC,2020-12-29,Emmanuel Niño Villalta,1995,Male,110H,NR
13.54,CRO,Bydgoszcz,POL,2003-07-20,Jurica Grabušić,1983,Male,110H,NR
12.87,CUB,Ostrava,CZE,2008-06-12,Dayron Robles,1986,Male,110H,NR
13.25,CYP,London,GBR,2017-07-09,Milan Trajkovic,1992,Male,110H,NR
13.27,CZE,Praha,CZE,2010-06-14,Petr Svoboda,1984,Male,110H,NR
13.50,DEN,København,DEN,2017-06-20,Andreas Martinsen,1990,Male,110H,NR
14.44,DMA,Jacksonville FL,USA,2023-05-12,Felix Lawrence,2001,Male,110H,NR
13.61,DOM,San Juan,PUR,1984-06-16,Modesto Castillo,1959,Male,110H,NR
13.44,ECU,Athína,GRE,2004-08-24,Jackson Quiñónez,1980,Male,110H,NR
13.71,EGY,Radès,TUN,2023-05-20,Yousuf Badawy Sayyed,2002,Male,110H,NR
15.8,ERI,Asmara,ERI,2011-06-26,Yared Berhane,,Male,110H,NR
14.09,ESA,Tampa FL,USA,2023-05-14,Víctor Steiner,2001,Male,110H,NR
13.04,ESP,Monaco,MON,2016-07-15,Orlando Ortega,1991,Male,110H,NR
13.62,EST,Xalapa,MEX,2006-05-13,Tarmo Jallai,1979,Male,110H,NR
14.49,ETH,Rabat,MAR,2019-08-26,Ibrahim Jemal,1999,Male,110H,NR
13.82,FIJ,Athína,GRE,1997-08-05,Joe Naivalu,1978,Male,110H,NR
13.31,FIN,Jyväskylä,FIN,2021-06-02,Elmo Lakka,1993,Male,110H,NR
12.95,FRA,Monaco,MON,2014-07-18,Pascal Martinot-Lagarde,1991,Male,110H,NR
16.00,FSM,Kolonia,FSM,2002-07-23,Isaac Saimon,,Male,110H,NR
13.85,GAB,Pontoise,FRA,2018-06-22,Junior Effa Effa,1996,Male,110H,NR
14.70,GAM,Porto Novo,BEN,2012-06-28,Mensah Elliott,1976,Male,110H,NR
12.91,GBR,Stuttgart,GER,1993-08-20,Colin Jackson,1967,Male,110H,NR
14.73,GBS,Lisboa,POR,1998-06-14,Edivaldo Monteiro,1976,Male,110H,NR
13.58,GEO,Sliven,BUL,2012-06-15,David Ilariani,1981,Male,110H,NR
16.52,GEQ,Mataró,ESP,2009-03-05,Alfonso Ekwunezi Ikuga,,Male,110H,NR
13.05,GER,Bremen,GER,1995-07-02,Florian Schwarthoff,1968,Male,110H,NR
13.59,GHA,Jacksonville FL,USA,2021-06-27,Yakubu Ibrahim,1995,Male,110H,NR
13.33,GRE,Székesfehérvár,HUN,2015-07-07,Konstadínos Douvalídis,1987,Male,110H,NR
13.52,GRN,Sacramento CA,USA,2007-06-06,Alleyne Lett,1983,Male,110H,NR
14.04,GUA,Ciudad de México,MEX,2018-05-12,Wienstan Christopher Mena,1998,Male,110H,NR
14.67,GUI,Cincinnati OH,USA,2017-01-04,Moussa Conde,1996,Male,110H,NR
15.50,GUM,Saipan,FRA,2008-06-27,Kenneth Karosich,1990,Male,110H,NR
13.73,GUY,Clemson SC,USA,2002-04-06,Charles Allen,1977,Male,110H,NR
13.25,HAI,Edmonton,CAN,2001-08-09,Dudley Dorival,1975,Male,110H,NR
13.74,HKG,Taipei,TPE,2018-05-25,Chan Chung Wang,1991,Male,110H,NR
13.72,HON,Greensboro NC,USA,2011-05-15,Esteban Guzman,1984,Male,110H,NR
13.15,HUN,Székesfehérvár,HUN,2017-07-04,Balázs Baji,1989,Male,110H,NR
14.02,INA,Jakarta,INA,2018-08-27,Rio Maholtra,1993,Male,110H,NR
13.48,IND,Phoenix AZ,USA,2017-06-10,Thingalaya Siddhanth,1991,Male,110H,NR
13.50,IRI,Almaty,KAZ,2012-07-01,Rohallah Ashgari,1982,Male,110H,NR
13.30,IRL,Hechtel,BEL,1999-08-07,Peter Coghlan,1975,Male,110H,NR
13.78,IRQ,Baghdad,IRQ,2019-07-25,Mohamed Al-Khafaji,,Male,110H,NR
13.91,ISL,Reykjavik,ISL,1997-06-06,Jón Arnar Magnússon,1969,Male,110H,NR
13.85,ISR,Bucureşti,ROU,2007-06-10,Michael Illin,1984,Male,110H,NR
13.31,ISV,San José3,CRC,2015-08-08,Eddie Lovett,1992,Male,110H,NR
13.27,ITA,Rovereto,ITA,2021-06-26,Paolo Dal Molin,1987,Male,110H,NR
15.66,IVB,Walnut CA,USA,1997-04-18,Steve Augustine,1977,Male,110H,NR
12.90,JAM,Kingston,JAM,2017-06-24,Omar McLeod,1994,Male,110H,NR
14.78,JOR,Amman,JOR,2009-09-26,Mu´ath Al Qusairin,1986,Male,110H,NR
13.04,JPN,Osaka,JPN,2023-06-04,Shunsuke Izumiya,2000,Male,110H,NR
13.49,KAZ,Tallinn,URS,1988-07-05,Igor Khitryakov,1965,Male,110H,NR
13.69,KEN,Christchurch,NZL,1974-01-26,Fatwell Kimaiyo,1947,Male,110H,NR
14.08,KGZ,Almaty,KAZ,1996-05-19,Yevgeniy Shorokhov,1974,Male,110H,NR
16.80,KIR,Apia,SAM,2007-06-09,Beteru Ateri,,Male,110H,NR
13.39,KOR,Bangkok,THA,2017-06-13,Kim Byung-Jun,1991,Male,110H,NR
13.36,KSA,Praha,CZE,2018-06-04,Ahmad Al-Moualed,1988,Male,110H,NR
13.35,KUW,Doha,QAT,2019-04-24,Yaqoub Al-Yoha,1993,Male,110H,NR
13.96,LAO,Bangkok,THA,2017-06-13,Xaysa Anousone,1994,Male,110H,NR
13.08,LAT,Lausanne,SUI,2003-07-01,Staņislav Olijar,1979,Male,110H,NR
15.08,LBA,Riyadh,KSA,2009-12-05,Zouhair Rajab Al-Menghawi,,Male,110H,NR
13.87,LBN,Beyrouth,LBN,2013-06-07,Ahmad Hazer,1989,Male,110H,NR
13.36,LBR,São Paulo,BRA,2022-05-01,Wellington Zaza,1995,Male,110H,NR
14.28,LCA,Naperville IL,USA,2022-05-13,Giovanni Alfred,2001,Male,110H,NR
15.59,LIE,Ciudad de México,MEX,1968-10-15,Franz Biedermann,1946,Male,110H,NR
13.60,LTU,Bryansk,URS,1987-07-17,Jonas Jakstis,1959,Male,110H,NR
13.79,LUX,Luxembourg,LUX,2023-07-09,François Grailet,1994,Male,110H,NR
14.23,MAC,Incheon,KOR,2014-09-28,Iong Kim Fai,1989,Male,110H,NR
13.46,MAD,Athína,GRE,2004-08-24,Joseph Berlioz Randriamihaja,1975,Male,110H,NR
13.57,MAR,Rabat,MAR,2021-04-11,Mohamed Koussi,1994,Male,110H,NR
13.67,MAS,Weinheim,GER,2017-05-27,Rayzamshah Wan Sofian,1988,Male,110H,NR
18.54,MAW,München,FRG,1972-08-09,Wilfred Mwalawanda-Ngwenya,1944,Male,110H,NR
13.58,MDA,Gomel,BLR,1995-07-06,Aleksandr Yenko,1972,Male,110H,NR
13.64,MEX,Ciudad de México,MEX,2018-03-30,Genaro Rodríguez,1990,Male,110H,NR
16.36,MGL,Sofia,BUL,1977-08-05,Gombo Munlhsaikhan,,Male,110H,NR
18.01,MHL,Kolonia,FSM,2002-07-23,Martin Motuahala,,Male,110H,NR
14.46,MKD,Sofia,BUL,1993-07-21,Robert Kosev,1973,Male,110H,NR
13.62,MLI,Saint-Denis,FRA,2015-07-04,Bano Traore,1985,Male,110H,NR
14.69,MLT,Marsa,MLT,2021-07-17,Daniel Saliba,1995,Male,110H,NR
14.35,MNE,Bar,MNE,2023-05-01,Darko Pešić,1992,Male,110H,NR
16.14,MNT,Hackensack NJ,USA,2000-05-30,Gavin Lee,1980,Male,110H,NR
16.12,MON,Nice,FRA,2005-05-12,Anthony de Sevelinges,1978,Male,110H,NR
14.77,MOZ,Pretoria,RSA,1974-04-27,Abdul Ismail,1948,Male,110H,NR
13.54,MRI,Bondoufle,FRA,2023-07-22,Jeremie Lararaudeuse,2001,Male,110H,NR
14.43,MYA,Manila,PHI,1981-12-13,Hpone Myint,,Male,110H,NR
14.12,NAM,Sasolburg,RSA,1980-11-19,Flip Bredenhann,1953,Male,110H,NR
15.70,NCA,San Salvador,ESA,2008-06-22,Miguel Angel Quezada,,Male,110H,NR
13.15,NED,Lausanne,SUI,1999-07-02,Robin Korving,1974,Male,110H,NR
15.60,NEP,Kathmandu,NEP,2019-12-05,Jeevan Chaudhari,,Male,110H,NR
13.27,NGR,Sapele,NGR,2016-07-08,Antwon Hicks,1983,Male,110H,NR
13.67,NIG,Kinshasa,COD,2023-08-01,Saguirou Badamassi,2000,Male,110H,NR
20.17,NIU,Suva,FIJ,1979-03-09,John William Tutaki,,Male,110H,NR
17.31,NMI,Kolonia,FSM,2002-07-23,Wayne Pua,,Male,110H,NR
13.42,NOR,La Chaux-de-Fonds,SUI,2021-08-14,Vladimir Vukicevic,1991,Male,110H,NR
18.93,NRU,Apia,SAM,2006-12-15,Deamo Baguga,1986,Male,110H,NR
13.67,NZL,Brisbane,AUS,2023-04-02,Joshua Hawkins,1994,Male,110H,NR
14.41,OMA,Dubai,UAE,2005-03-10,Jalal Salem Al-Ghabshi,1983,Male,110H,NR
14.11,PAK,Islamabad,PAK,1989-10-21,Ghulam Abbas,1968,Male,110H,NR
13.65,PAN,Ciudad de México,MEX,1998-05-23,Curt Young,1974,Male,110H,NR
14.36,PAR,Asunción,PAR,2023-06-10,Kevin Mendieta,2003,Male,110H,NR
13.52,PER,Cali,COL,2016-06-26,Javier McFarlane,1991,Male,110H,NR
13.53,PHI,Torrent,ESP,2023-07-30,John Cabang,2001,Male,110H,NR
16.63,PLE,Damascus,SYR,2004-09-11,Ahmed Al Saleh,,Male,110H,NR
16.52,PLW,Nouméa,FRA,2011-09-09,Leon Mengloi,1989,Male,110H,NR
14.04,PNG,Allendale MI,USA,2014-05-23,Wala Gime,1985,Male,110H,NR
13.25,POL,Suwalki,POL,2022-06-11,Damian Czykier,1992,Male,110H,NR
13.47,POR,Lisboa,POR,2012-07-08,João Almeida,1988,Male,110H,NR
14.15,PRK,UNKNOWN,???,1990-06-01,Cha Won Bok,,Male,110H,NR
13.41,PUR,Des Moines IA,USA,2016-04-30,Will Barnes,1994,Male,110H,NR
