result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
16.48,EGY,El Maadi,EGY,2022-09-14,Hossam Salamah Shoman,1999,Male,TJ,NR
13.51,ERI,Riehen,SUI,2015-08-29,Awet Eoyb,,Male,TJ,NR
14.93,ESA,Léon,MEX,2023-04-29,Fernando Reyes,2004,Male,TJ,NR
17.87,ESP,Nerja,ESP,2022-06-26,Jordan Alejandro Díaz,2001,Male,TJ,NR
17.35,EST,Moskva,URS,1980-07-25,Jaak Uudmäe,1954,Male,TJ,NR
16.41,ETH,Addis Ababa,ETH,2024-02-01,Del Match,,Male,TJ,NR
16.08,FIJ,Marion IN,USA,2012-05-26,Eugene Vollmer,1989,Male,TJ,NR
17.14,FIN,Bydgoszcz,POL,2017-07-16,Simo Lipsanen,1995,Male,TJ,NR
18.04,FRA,Moskva,RUS,2013-08-18,Teddy Tamgho,1989,Male,TJ,NR
12.68,FSM,Abay,FSM,2001-07-26,Estephan Dadius,,Male,TJ,NR
15.53,GAB,Johannesburg,RSA,1999-09-17,Yvon Nguena N'Goua,,Male,TJ,NR
15.05,GAM,Banjul,GAM,1978-01-07,Jim Malleh Wadda,,Male,TJ,NR
18.29,GBR,Göteborg/U,SWE,1995-08-07,Jonathan Edwards,1966,Male,TJ,NR
15.37,GBS,Coimbra,POR,2021-06-12,Rinelmo Sami,2000,Male,TJ,NR
17.44,GEO,Sukhumi,USA,1972-10-17,Viktor Sanejev,1945,Male,TJ,NR
15.28,GEQ,Los Realejos,ESP,2011-06-18,Luis Dyangani Oko,1989,Male,TJ,NR
17.66,GER,Frankfurt,GER,1991-06-30,Ralf Jaros,1965,Male,TJ,NR
17.23,GHA,Dakar,SEN,1998-08-19,Andrew Owusu,1972,Male,TJ,NR
12.06,GIB,Visby,SWE,1999-07-01,Nicholas Vasquez,1970,Male,TJ,NR
17.55,GRE,Thessaloníki,GRE,2006-06-18,Dimítrios Tsiámis,1982,Male,TJ,NR
17.49,GRN,São Paulo,BRA,2008-05-22,Randy Lewis,1980,Male,TJ,NR
15.95,GUA,Ciudad de Guatemala,GUA,2019-06-08,Fredy Enrique Lemus,1998,Male,TJ,NR
14.80,GUI,Talence,FRA,2021-05-09,Souleymane Soumah,2000,Male,TJ,NR
14.01,GUM,Canberra,AUS,1996-03-03,David Wilson,1977,Male,TJ,NR
17.18,GUY,Clermont FL,USA,2016-05-14,Troy Doris,1989,Male,TJ,NR
17.39,HAI,Bogotá,COL,2009-07-24,Samyr Laine,1984,Male,TJ,NR
15.76,HKG,Hongkong,HKG,2013-04-07,Ng Ka Wai,1990,Male,TJ,NR
16.04,HON,Ciudad de Panamá,PAN,2015-08-18,Jason Castro,1991,Male,TJ,NR
17.24,HUN,Tivoli,ITA,1998-05-31,Zsolt Czingler,1971,Male,TJ,NR
16.21,INA,New Clark City,PHI,2019-12-10,Sapwaturrahman,1994,Male,TJ,NR
17.37,IND,La Habana,CUB,2023-05-06,Praveen Chithravel,2001,Male,TJ,NR
16.62,IRI,Mashhad,IRI,2021-04-11,Hamid Reza Kia,2001,Male,TJ,NR
15.89,IRL,Søllerød,DEN,1977-06-26,Colm Cronin,1957,Male,TJ,NR
16.48,IRQ,Baghdad,IRQ,1996-05-08,Majed Abdulsada Jabbar,1974,Male,TJ,NR
16.70,ISL,Reykjavik,ISL,1960-08-07,Vilhjálmur Einarsson,1934,Male,TJ,NR
17.20,ISR,Sevilla,ESP,1992-06-06,Rogel Nachum,1967,Male,TJ,NR
