result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
2:19:18,INA,Jakarta,INA,1993-09-12,Edwardus Nabunome,1968,Male,Mar,NR
2:12:00,IND,Jullundur,IND,1978-05-28,Shivnath Singh,1946,Male,Mar,NR
2:17:14,IRI,Berlin,GER,2023-09-24,Mohammad Jaafar Moradi,1990,Male,Mar,NR
2:17:36,IRI,Sevilla,ESP,2022-02-20,Mohammadreza Abootorabi,1989,Male,Mar,NR
2:21:54,IRQ,Baghdad,IRQ,1982-02-05,Saadoun Nasser Hafidh,1955,Male,Mar,NR
2:13:37,ISL,Dresden,GER,2021-03-21,Hlynur Andrésson,1993,Male,Mar,NR
2:04:53,ISR,Sevilla,ESP,2024-02-18,Gashau Ayale,1996,Male,Mar,NR
2:05:33,ISR,Sevilla,ESP,2023-02-19,Gashau Ayale,1996,Male,Mar,NR
2:17:45,ISV,Sacramento CA,USA,2021-12-05,Eddie Garcia,1992,Male,Mar,NR
2:17:09,ISV,Valley Cottage NY,USA,2023-10-14,Eddie Garcia,1992,Male,Mar,NR
2:07:19,ITA,Sevilla,ESP,2020-02-23,Eyob Ghebrehiwet Faniel,1992,Male,Mar,NR
2:07:16,ITA,Barcelona,ESP,2023-03-19,Iliass Aouani,1995,Male,Mar,NR
2:06:06,ITA,Sevilla,ESP,2024-02-18,Yemaneberhan Crippa,1996,Male,Mar,NR
2:36:54,IVB,Baltimore MD,USA,2008-10-11,Rasa Alula Nagarit,,Male,Mar,NR
2:16:39,JAM,Philadelphia PA,USA,1984-11-25,Derrick Adamson,1958,Male,Mar,NR
2:17:24,JOR,Marrakech,MAR,2015-01-25,Methgal Marouf Abu Drais,1983,Male,Mar,NR
2:04:56,JPN,Otsu,JPN,2021-02-28,Kengo Suzuki,1995,Male,Mar,NR
2:11:59.0,KAZ,Praha,TCH,1978-09-03,Nikolay Penzin,1950,Male,Mar,NR
2:01:09,KEN,Berlin,GER,2022-09-25,Eliud Kipchoge,1984,Male,Mar,NR
2:00:35,KEN,Chicago IL,USA,2023-10-08,Kelvin Kiptum,1999,Male,Mar,NR
2:11:16,KGZ,Moskva,URS,1980-05-24,Satymkul Dzhumanazarov,1951,Male,Mar,NR
2:07:20,KOR,Tokyo,JPN,2000-02-13,Lee Bong-Ju,1970,Male,Mar,NR
2:29:36,KOS,Las Vegas NV,USA,1997-02-09,Rexhep Ajvazaj,,Male,Mar,NR
2:20:35,KSA,Budapest,HUN,2001-09-30,Abdullah Al-Sadiq,,Male,Mar,NR
2:19:17,KUW,Mesa AZ,USA,2022-02-12,Abdul Mohsen Mubarak Al-Ali,1998,Male,Mar,NR
2:43:45,LAO,Vientiane,LAO,2013-02-24,Sysavath Thammavongchit,,Male,Mar,NR
2:14:24,LAT,Riga,LAT,2017-05-14,Valērijs Žolnerovičs,1985,Male,Mar,NR
2:13:33,LBA,Milano,ITA,2008-11-23,Ali Zaied,1974,Male,Mar,NR
2:20:31,LBN,Beyrouth,LBN,2010-11-07,Hussein Awada,1973,Male,Mar,NR
3:00:16,LBR,Monrovia CA,USA,2013-08-25,Raymond Dovenon,,Male,Mar,NR
2:16:06,LCA,St. Paul MN,USA,2003-10-05,Zepherinus Joseph,1975,Male,Mar,NR
2:09:47,LES,Paris,FRA,2017-04-09,Motlokoa Nkhabutlane,1984,Male,Mar,NR
2:23:55,LIE,Chicago IL,USA,2011-10-09,Marcel Tschopp,1974,Male,Mar,NR
2:12:35,LTU,Frankfurt,GER,1997-10-26,Ceslovas Kundrotas,1961,Male,Mar,NR
