result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
12.68,FSM,Abay,FSM,2001-07-26,Rams Ramgen,,Male,SP,NR
16.30,GAB,Saint-Etienne,FRA,2019-07-28,Mve Siegfried-Lucci,1988,Male,SP,NR
14.40,GAM,Banjul,GAM,2019-06-29,Momodou Cham,,Male,SP,NR
21.68,GBR,Cwmbrân,GBR,1980-05-18,Geoff Capes,1949,Male,SP,NR
17.29,GBS,Salamanca,ESP,2018-06-09,Otoniel Badjana,1998,Male,SP,NR
20.40,GEO,Sochi,URS,1989-05-27,Tariel Bitsadze,1966,Male,SP,NR
12.53,GEQ,Malabo,GEQ,1995-06-17,Benitu Alu,,Male,SP,NR
23.06,GER,Haniá,GRE,1988-05-22,Ulf Timmermann,1962,Male,SP,NR
17.97,GHA,Charlottesville VA,USA,2012-04-20,Kwabena Keene,1989,Male,SP,NR
12.30,GIB,Gibraltar,GIB,1986-06-21,Stanley Olivero,1945,Male,SP,NR
21.05,GRE,Scottsdale AZ,USA,2020-06-28,Nikólaos Skarvélis,1993,Male,SP,NR
18.70,GRN,Portales NM,USA,2019-05-04,Josh Boateng,1997,Male,SP,NR
16.61,GUA,La Jolla CA,USA,2004-05-01,Edson Monzon,1969,Male,SP,NR
12.68,GUI,Conakry,GUI,1988-05-27,Fode Sidibe,,Male,SP,NR
14.63,GUM,Santa Rita,GUM,1999-09-06,René Delamar,,Male,SP,NR
17.17,GUY,Tuscaloosa AL,USA,2001-03-25,Patrick Harding,1980,Male,SP,NR
18.84,HAI,Auburn AL,USA,2021-03-20,Rickssen Opont,1997,Male,SP,NR
15.70,HKG,Hongkong,HKG,2010-12-12,Chiu Lap San,,Male,SP,NR
19.80,HON,Eugene OR,USA,2022-03-12,Zack Short,1997,Male,SP,NR
20.56,HUN,Debrecen,HUN,2002-07-26,Szilard Kiss,1975,Male,SP,NR
16.87,INA,Jakarta,INA,1999-07-01,Sukraj Singh,1975,Male,SP,NR
21.77,IND,Bhubaneshwar,IND,2023-06-19,Tajinderpal Singh,1994,Male,SP,NR
20.66,IRI,Shahrekord,IRI,2021-06-28,Shahin Mehrdelan,1995,Male,SP,NR
20.66,IRL,Leiria,POR,2023-03-12,Eric Favors,1996,Male,SP,NR
18.30,IRQ,Baghdad,IRQ,1989-08-21,Khaled Mohamed Wajih,1963,Male,SP,NR
21.26,ISL,Mosfellsbaer,ISL,1990-11-10,Pétur Gudmundsson,1962,Male,SP,NR
19.09,ISR,Athína,GRE,1991-06-22,Igor Avrunin,1957,Male,SP,NR
12.49,ISV,Arkansas City KS,USA,2004-04-22,Darren Giddings,,Male,SP,NR
22.91,ITA,Viareggio,ITA,1987-08-12,Alessandro Andrei,1959,Male,SP,NR
21.47,IVB,Kingsville TX,USA,2019-05-25,Eldred Henry,1994,Male,SP,NR
22.22,JAM,Madrid,ESP,2023-07-22,Rajindra Campbell,1996,Male,SP,NR
18.33,JOR,Amman,JOR,2012-10-12,Musaeb Al-Momani,1986,Male,SP,NR
18.85,JPN,Osaka,JPN,2018-05-20,Daichi Nakamura,1993,Male,SP,NR
20.95,KAZ,Almaty,KAZ,2019-07-26,Ivan Ivanov,1992,Male,SP,NR
18.19,KEN,Nairobi,KEN,1989-06-10,Robert Welikhe,,Male,SP,NR
17.44,KGZ,Frunze,USA,1984-06-20,Konstantin Gavrilov,,Male,SP,NR
13.77,KIR,Nikao,COK,2009-09-25,Raobu Tarawa,1990,Male,SP,NR
19.49,KOR,Sapporo,JPN,2015-07-12,Jung Il-Woo,1986,Male,SP,NR
19.28,KOS,Leiria,POR,2023-03-12,Muhamet Ramadani,2002,Male,SP,NR
21.13,KSA,Doha,QAT,2009-05-08,Sultan Abdulmajeed Al-Hebshi,1983,Male,SP,NR
19.54,KUW,Kuala Lumpur,MAS,2016-09-30,Meshari Suroor Saad,1987,Male,SP,NR
13.30,LAO,Phonsavan,LAO,2022-06-12,Lilan Sirisak,,Male,SP,NR
21.74,LAT,Riga,URS,1984-07-14,Janis Bojars,1956,Male,SP,NR
17.18,LBA,Trípoli,GRE,1971-01-08,Omar Mousa Mejbari,,Male,SP,NR
18.00,LBN,Allendale MI,USA,2016-05-13,Chris Saikalis,,Male,SP,NR
16.86,LBR,Atlanta GA,USA,2008-03-29,Jangy Addy,1985,Male,SP,NR
14.57,LCA,Castries,LCA,2002-06-16,Akeem Herbert,,Male,SP,NR
11.82,LES,Teyateyaneng,LES,1987-11-05,Matete Matete,,Male,SP,NR
14.09,LIE,Gisingen,AUT,2001-04-29,Stefan Kaufmann,1979,Male,SP,NR
21.10,LTU,Kaunas,URS,1985-07-20,Donatas Stukonis,1957,Male,SP,NR
22.22,LUX,Luxembourg,LUX,2019-08-04,Bob Bertemes,1993,Male,SP,NR
14.70,MAC,Shanghai,CHN,2011-05-22,Hou Fei,1988,Male,SP,NR
14.20,MAD,Antananarivo,MAD,2007-06-22,Ignace Alssabano Djohnston,,Male,SP,NR
20.45,MAR,San José CA,USA,1972-05-06,Lachem Samsam Akka,1942,Male,SP,NR
