result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
10:52.46,AFG,Maria Enzersdorf,AUT,2017-05-13,Noor Ahmad Zoori,,Male,3000S,NR
8:43.26,ALB,Sérres,GRE,1989-08-12,Krenar Meçani,1966,Male,3000S,NR
8:10.23,ALG,Monaco,MON,2000-08-18,Laïd Bessou,1976,Male,3000S,NR
8:21.76,AND,Zagreb,CRO,2023-09-10,Nahuel Carabaña,1999,Male,3000S,NR
8:56.79,ANG,Lisboa,POR,1994-07-30,Aurelio Miti,1973,Male,3000S,NR
9:54.5,ANT,Port of Spain,TTO,1982-07-31,Tyrone Thibou,,Male,3000S,NR
8:25.63,ARG,Beograd,YUG,1989-06-04,Marcelo Cascabelo,1964,Male,3000S,NR
8:27.88,ARM,München,FRG,1976-05-29,Artanas Mikoyan,1950,Male,3000S,NR
9:35.9,ARU,Remscheid,GER,1980-08-16,Kimball Reynierse,1961,Male,3000S,NR
12:00.56,ASA,Tafuna,ASA,1997-08-16,Frank Paaga,1977,Male,3000S,NR
8:16.22,AUS,Villeneuve d'Ascq,FRA,1993-07-02,Shaun Creighton,1967,Male,3000S,NR
8:10.83,AUT,Sevilla,ESP,1999-08-21,Günther Weidlinger,1978,Male,3000S,NR
8:52.0,AZE,Baku,URS,1974-05-19,Nikolay Kotov,,Male,3000S,NR
9:38.3,BAH,Kampala,UGA,2016-03-19,Oneil Williams,1983,Male,3000S,NR
9:04.6,BAN,Dhaka,BAN,1981-01-01,Mohammad Shamsuddin,,Male,3000S,NR
9:07.3,BAR,Bridgetown,BAR,1992-06-07,Leo Games,,Male,3000S,NR
8:36.19,BDI,Evry-Bondoufle,FRA,1994-07-12,Hilaire Ntirampéba,1970,Male,3000S,NR
8:10.01,BEL,Bruxelles,BEL,1986-09-05,William Van Dijck,1961,Male,3000S,NR
9:21.21,BEN,Porto Novo,BEN,2012-06-29,Mohamet Adam,,Male,3000S,NR
8:49.71,BER,Nashville TN,USA,2017-06-10,Lamont Marshall,1984,Male,3000S,NR
8:31.0,BIH,Ardal,USA,1981-08-29,Bilko Kacar,1956,Male,3000S,NR
9:59.77,BIZ,Rock Hill SC,USA,2016-03-26,Novian Middleton,,Male,3000S,NR
8:25.2,BLR,Moskva,URS,1980-07-06,Aleksandr Vorobey,1957,Male,3000S,NR
8:58.6,BOL,Bucaramanga,COL,1979-10-31,Johnny Perez,,Male,3000S,NR
8:44.1,BOT,Wichita KS,USA,1981-05-29,Reuben Rathedi,,Male,3000S,NR
8:14.41,BRA,Mar del Plata,ARG,1995-03-22,Wander Moura,1969,Male,3000S,NR
8:06.13,BRN,Athína,GRE,2009-07-13,Tareq Mubarak Taher,1984,Male,3000S,NR
9:42.35,BRU,Singapore,SGP,1987-07-22,Roslan Baha,,Male,3000S,NR
8:20.87,BUL,Huelva,ESP,2014-06-12,Mitko Tsenov,1993,Male,3000S,NR
9:25.0,BUR,Ouagadougou,BUR,1986-06-25,Boukary Ouédraogo,1966,Male,3000S,NR
8:51.22,CAF,Saint-Maur,FRA,2000-06-14,Christian Yago,1967,Male,3000S,NR
10:05.0,CAM,Jakarta,INA,1963-11-14,Nhea Khay,,Male,3000S,NR
8:11.64,CAN,Moskva,RUS,2013-08-15,Matt Hughes,1989,Male,3000S,NR
12:12.29,CAY,St. Peter Port,GBR,2003-06-29,Julio Hurlston,,Male,3000S,NR
9:05.58,CGO,Los Angeles CA,USA,1984-08-06,Emmanuel Mpioh,1952,Male,3000S,NR
9:10.6,CHA,Libreville,GAB,1976-01-01,Docteur Ben Bagai,,Male,3000S,NR
8:28.99,CHI,Los Angeles CA,USA,1984-08-08,Emilio Ulloa,1954,Male,3000S,NR
8:10.46,CHN,Shanghai,CHN,1997-10-19,Sun Ripeng,1974,Male,3000S,NR
9:22.14,CIV,Sevilla,ESP,2021-02-05,Kone Yossodjo,,Male,3000S,NR
8:55.78,CMR,Warri,NGR,2013-06-14,Hamajam Soudi,1994,Male,3000S,NR
8:41.92,COD,Obernai,FRA,2001-07-29,Patrick Tambwé,1975,Male,3000S,NR
10:51.71,COK,Avarua,COK,1985-03-08,Uaongo Areai,1961,Male,3000S,NR
8:25.66,COL,Castellón,ESP,2021-06-29,Carlos Andrés San Martín,1993,Male,3000S,NR
9:15.95,COM,Saint-Paul,FRA,2022-05-28,Attoumane Abdoul-Had,1989,Male,3000S,NR
9:20.90,CPV,Hanover NH,USA,2018-05-12,Bruno Pires,,Male,3000S,NR
8:48.59,CRC,La Habana,CUB,2004-04-25,Francisco Gómez,1975,Male,3000S,NR
8:40.1,CRO,Karlovac,YUG,1987-05-31,Slobodan Cmorzak,1962,Male,3000S,NR
