Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
WR;;4×4;X;3:08.80;;Budapest;HUN;Outdoor;2023-08-19;United;States;USA;;Mixed
WR;;10K;M;26:11.00;;Valencia;ESP;Outdoor;2020-10-07;Joshua;Cheptegei;UGA;1996;Male
WR;;100;M;9.58;0.9;Berlin;GER;Outdoor;2009-08-16;Usain;Bolt;JAM;1986;Male
WR;;1K0;M;2:11.96;;Rieti;ITA;Outdoor;1999-09-05;Noah;Ngeny;KEN;1978;Male
WR;;11H;M;12.80;0.3;Bruxelles;BEL;Outdoor;2012-09-07;Aries;Merritt;USA;1985;Male
WR;;1K5;M;3:26.00;;Roma;ITA;Outdoor;1998-07-14;Hicham;El Guerrouj;MAR;1974;Male
WR;;200;M;19.19;-0.3;Berlin;GER;Outdoor;2009-08-20;Usain;Bolt;JAM;1986;Male
WR;;2K0;M;4:43.13;;Bruxelles;BEL;Outdoor;2023-09-08;Jakob;Ingebrigtsen;NOR;2000;Male
WR;;3K0;M;7:20.67;;Rieti;ITA;Outdoor;1996-09-01;Daniel;Komen;KEN;1976;Male
WR;;3KH;M;7:52.11;;Paris;FRA;Outdoor;2023-06-09;Lamecha;Girma;ETH;2000;Male
WR;;400;M;43.03;;Rio de Janeiro;BRA;Outdoor;2016-08-14;Wayde;Van Niekerk;RSA;1992;Male
WR;;40H;M;45.94;;Tokyo;JPN;Outdoor;2021-08-03;Karsten;Warholm;NOR;1996;Male
WR;;4×1;M;36.84;;London;GBR;Outdoor;2012-08-11;Jamaica;;JAM;;Male
WR;;4×2;M;1:18.63;;Nassau;BAH;Outdoor;2014-05-24;Jamaica;;JAM;;Male
WR;;4×4;M;2:54.29;;Stuttgart;GER;Outdoor;1993-08-22;United;States;USA;;Male
WR;;4×8;M;7:02.43;;Bruxelles;BEL;Outdoor;2006-08-25;Kenya;;KEN;;Male
WR;;5K0;M;12:35.36;;Monaco;MON;Outdoor;2020-08-14;Joshua;Cheptegei;UGA;1996;Male
WR;;800;M;1:40.91;;London;GBR;Outdoor;2012-08-09;David;Rudisha;KEN;1988;Male
WR;;DIS;M;74.08;;Neubrandenburg;GDR;Outdoor;1986-06-06;Jürgen;Schult;GDR;1960;Male
WR;;HAM;M;86.74;;Stuttgart;GER;Outdoor;1986-08-30;Yuriy;Sedykh;URS;1955;Male
