code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;5;3K0;M;7:30.76;;Doha;QAT;Outdoor;2005-05-13;Jamal Bilal Salem;;;QAT;1978;Male
AR;1;3K0;M;7:23.63;;Eugene;USA;Outdoor;2023-09-17;Jakob Ingebrigtsen;;;NOR;2000;Male
AR;2;3K0;M;7:25.47;;Eugene;USA;Outdoor;2023-09-17;Grant Fisher;;;USA;1997;Male
AR;6;3K0;M;7:28.02;;Roma;ITA;Outdoor;2020-09-17;Stewart McSweyn;;;AUS;1995;Male
AR;3;3K0;M;7:37.15;;Zagreb;CRO;Outdoor;2023-09-10;Santiago Catrofe;;;URU;1999;Male
AR;4;3KH;M;7:52.11;;Paris;FRA;Outdoor;2023-06-09;Lamecha Girma;;;ETH;2000;Male
AR;5;3KH;M;7:53.63;;Bruxelles;BEL;Outdoor;2004-09-03;Saif Saeed Shaheen;;;QAT;1982;Male
AR;1;3KH;M;8:00.09;;Saint-Denis;FRA;Outdoor;2013-07-06;Mahiedine Mekhissi-Benabbad;;;FRA;1985;Male
AR;2;3KH;M;8:00.45;;Saint-Denis;FRA;Outdoor;2015-07-04;Evan Jager;;;USA;1989;Male
AR;6;3KH;M;8:13.26;;Monaco;MON;Outdoor;2023-07-21;Geordie Beamish;;;NZL;1996;Male
AR;3;3KH;M;8:14.41;;Mar del Plata;ARG;Outdoor;1995-03-22;Wander Moura;;;BRA;1969;Male
AR;4;4×1;M;37.65;;Doha;QAT;Outdoor;2019-10-04;South Africa;;;RSA;;Male
AR;5;4×1;M;37.43;;Doha;QAT;Outdoor;2019-10-05;Japan;;;JPN;;Male
AR;1;4×1;M;37.36;;Doha;QAT;Outdoor;2019-10-05;Great Britain;;;GBR;;Male
AR;2;4×1;M;36.84;;London;GBR;Outdoor;2012-08-11;Jamaica;;;JAM;;Male
AR;6;4×1;M;38.17;;Göteborg;SWE;Outdoor;1995-08-12;Australia;;;AUS;;Male
AR;6;4×1;M;38.17;;London;GBR;Outdoor;2012-08-10;Australia;;;AUS;;Male
AR;3;4×1;M;37.72;;Doha;QAT;Outdoor;2019-10-05;Brazil;;;BRA;;Male
AR;4;4×2;M;1:20.42;;Yokohama;JPN;Outdoor;2019-05-12;South Africa;;;RSA;;Male
AR;5;4×2;M;1:20.83;;Xi'an;CHN;Outdoor;2021-09-23;China;;;CHN;;Male
AR;5;4×2;M;1:20.83;;Xi'an;CHN;Outdoor;2021-09-23;China;;;CHN;;Male
